IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2 30>;2 31>;2 41>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30 31>;30 31>30>;30 41>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31 41>;31 41>30>;31 41>41>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41 43>;41 44>;41>;41>14>;41>2>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;42>;43 44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
12626-7114;20130202;insucesso;1;1;;;21;;;;2;1;;;1;;;;;;;;4;;2;1;1;1;;;;;;;1;1;;2;2;;;;;;5;;;;2;1;;;;;;;;;;;;;;1;;;;;;;;;1;;;;5;;;;1;;;;;;;2;1;;;;1;3;;;;;;16;;;;1;;;3;;1;1;1;1;1;1;;;;;;;;;;2;;;1;;;;;;;2;1;;;;;;;;;;;;;;;;1;1;1;;10;;;;2;;;;2;;;;;;4;;1;;;3;2;124
13346-4434;20120102;insucesso;;;;;5;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;3;;;;1;;;;;;;1;1;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;1;1;;2;1;;;;;2;1;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38
13405-5490;20120202;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;;;;;;;;;;;;;;;;4;1;5;23;;;7;;;3;1;2;;4;1;1;22;;;;2;;;;;;;2;;;1;;;;;;;1;1;62;;1;3;;;;13;;;4;;;;;;;;;;;;;7;16;;;7;;2;;;;;27;;;;;;6;;;4;;;;;;;;1;;;;8;;;;;8;;;6;2;5;1;;;4;;2;;;;;278
1436-6400;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;1;;;1;;1;7;;;2;;;;;;;3;;1;8;;;;2;;1;;;;;;;;1;;;;;;;;;45;;1;1;;;;6;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;;4;;;2;;2;1;;;1;;1;;;;;103
14770-5489;20120202;insucesso;2;2;;;17;1;1;;2;1;3;3;;;;;;;;1;8;1;3;3;2;1;;1;1;1;;;;;;;;;;;;;7;;;;4;3;1;2;;1;1;1;;4;1;4;;;;1;;;;;;;;;;;;;3;1;;1;1;;;;;;;1;;;;;1;2;;1;1;;;15;;2;;1;1;;4;2;;4;2;2;1;1;2;1;2;1;;;;1;;4;;1;3;;3;;1;1;;5;2;;;1;1;4;1;;2;1;2;1;1;1;2;;2;2;2;;1;1;;;;;;;;;;;;;;;;;;;;183
15016-4433;20120102;insucesso;;;;;12;;;;;;;;4;;4;;2;;;;5;;3;3;1;;;3;3;1;;;;;;1;1;2;2;;;;3;;;;2;1;;;;;;;;;;;;;;8;1;;3;2;1;1;1;2;;;;;6;1;;1;6;1;3;2;1;;;;;;;;;;;;;;;8;;2;;1;;1;4;2;;3;1;;;;1;1;2;2;;;;;;3;;1;3;2;1;;1;1;1;3;2;1;1;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153
15247-6400;20130102;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;11;;;;;;;;1;;;;;;;;3;2;1;9;;;2;1;;1;1;;;5;1;1;21;;;;5;;1;;;;;1;;;2;;;4;;;;2;7;64;;;1;1;;;9;;;3;2;;;;;;1;;;;3;;2;10;;;3;;2;;;;;26;;;;;;9;;;4;;;;;;;;3;;;;4;;;;;;;;;;;;;;4;;;;;;;237
16014-5799;20130101;insucesso;1;;1;1;12;1;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;1;1;1;;;;;;;;;;;;;;;;3;1;;;;;;;1;;;;;6;1;;;1;;;;;;;3;;;1;1;;;;;;;;4;;;;;;;2;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;4;1;;;;;2;1;;1;1;;;;;2;1;1;;;1;;;;;;1;;;1;1;;;;;1;;;;;;;72
16014-6590;20130201;insucesso;1;1;;;14;1;;;1;;1;;;;;;;;;2;1;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;11;;1;;;;;2;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;;;;;;;;;;;;;;1;;;;;;;55
17228-6401;20130102;insucesso;1;1;;;17;1;;;2;;;;2;;;;;;;;3;;1;;;;;2;2;1;;;;;;;;;;;;;5;;;;1;;1;1;;;;;;2;;1;;;;;;;;;;;;;;;;;4;1;;1;;;;;;;;1;;;2;;;;;;;;;18;1;;;;;;5;;;2;1;;;;;;;;;;;;;4;;;3;;1;;1;1;;5;1;;;1;1;2;;;2;;1;;;;;;1;1;1;;1;;;;;;;;;;6;4;;;2;;;;2;1;1;123
17491-4917;20120201;insucesso;3;2;2;2;27;2;;;3;;3;2;1;;;;;;;;10;1;3;;;;;;;;;;;;;2;2;;;;;;8;2;2;2;2;;1;;;2;2;2;;3;2;2;;;;3;1;1;;;;2;1;;;;;;7;3;1;;3;1;;;;2;;;;1;1;;;1;1;;;;;26;;1;;1;;;4;;;1;;;;;;;2;2;;;;;;5;;;5;;1;;;;;13;1;1;1;;;2;1;1;1;1;;;;;;;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;203
