IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
12626-7114;20130202;insucesso;1;1;;;11;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;1;;;;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;3;;;;13;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;9;;;;2;;;;;;;;;2;;;;;3;2;64
13405-5490;20120202;SUCESSO;1;1;;;75;3;;1;1;;;;7;;6;;3;1;1;1;;;;;21;;7;2;1;1;5;5;1;1;;5;;1;1;1;;;;;;;4;;;;1;;1;;;1;1;1;;;;;15;4;1;1;1;7;2;2;2;1;3;2;1;;;1;16;1;;;11;1;1;6;2;2;1;1;1;2;;;1;;1;;;;;55;2;2;;;;17;;;;8;;3;1;1;;;;2;1;;;;14;;;11;2;4;3;2;1;26;3;;;2;2;7;2;;4;2;;3;1;1;;;;1;1;1;;8;;;;;9;5;2;4;4;4;1;1;4;;3;3;;;;485
1436-6400;20130102;SUCESSO;1;;1;1;39;2;;1;4;2;;;4;3;1;;;;1;1;;;;;17;1;4;2;;;5;5;3;1;1;;;3;;;;;;;;;5;1;1;1;3;;;;1;;;;;;;;9;2;;;;;;;;;4;3;;;;;15;7;1;4;8;1;;;;;4;3;;;;;;;1;3;;3;;39;1;;1;;;10;;;;2;;;;;;;;;;;;;8;;;7;2;5;2;2;1;23;5;1;;2;2;7;3;;4;2;;2;1;1;;;;1;;;1;4;4;;;;;;;;;;;;4;3;;;;;;333
14770-5489;20120202;insucesso;1;1;;;9;;;;1;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;3;;;;2;1;1;1;;;;;;1;;1;2;;;;;;;;;;;;;;;;4;1;;1;1;;;;;;;;;1;1;;;;;;;;;11;;;1;1;;1;;;;1;;;;;;;;;;;;;1;;;1;;1;1;1;;2;1;;;;;2;1;;2;1;;1;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;70
14932-4114;20120101;insucesso;;;;;6;;;;;;;;2;;;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;1;1;1;;1;1;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;1;;;6;;;;1;;;;;;;;;;;;1;;;3;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;1;1;;;;2;1;45
15247-6400;20130102;SUCESSO;1;1;;;52;7;;2;2;;;;16;1;10;;1;;2;2;2;2;;;14;1;2;;;1;1;1;;;2;3;;3;;;;;;;1;1;3;;;;;;;;2;1;1;1;1;1;;;36;3;1;;2;10;;6;3;1;6;5;4;;2;;34;4;;1;25;;;6;3;2;6;4;3;5;2;;4;2;1;;;;;59;;;3;;;16;;1;;3;;1;;;;;;1;1;1;;;7;;;6;;4;2;2;1;20;3;2;;;;9;3;2;7;3;2;5;3;4;;1;;1;1;1;;5;2;1;;;4;3;2;;;;;;6;1;;;;2;;523
16014-5799;20130101;insucesso;;;;;8;1;1;;1;1;3;3;;;;;;;;;;;1;1;4;;1;1;1;;;;;;;;;;;;;;;;;;3;;;;2;2;;1;;;;;;3;1;3;1;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;1;2;;1;1;7;;1;;;;1;1;;;1;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;1;;;;;;;;;;;;;;;;;;;69
16014-6590;20130201;insucesso;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;1;1;;3;1;;;;;2;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
17228-6401;20130102;insucesso;1;;1;1;13;1;;;;;;;4;;4;;2;;;;;;;;5;;3;3;1;;3;3;1;;;;;;;;;1;1;1;2;2;4;1;1;1;2;1;;;;;;;;;;;9;1;;;;3;;2;1;;1;1;;;3;;6;1;;1;6;1;;3;2;1;;;;;;;;;;;;;;9;;2;1;;1;4;2;;;3;;1;;;;1;1;2;2;;;;3;;1;3;2;1;1;1;1;3;2;1;1;2;;1;1;1;1;1;;1;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;166
17491-4917;20120201;insucesso;1;1;;;25;1;;;1;;1;;3;1;;;;;;;;;2;;1;;;;;;;;;;;;;1;;;;1;1;;;;2;;;;;;;;;1;1;1;;1;;;2;1;;;;;;;;;;;;;;;6;1;;;1;;;;;;;;;3;;;1;1;;3;1;;;17;;1;;;;7;1;;;2;;2;;;;;;;;;;1;1;;;1;;;;;;4;1;;;;;2;1;;1;1;;;;;;2;1;1;1;1;;1;;;;;1;;;1;1;;;;2;;;;;;;121
17491-5799;20130101;insucesso;1;1;;;9;;;;1;;;;2;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;3;;;;1;;;1;;;;;;2;;1;;;;;;;;;;;;;;;;;3;1;;1;;;;;;;;;;1;;;1;;;;;;;8;1;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;48
17491-6590;20130201;SUCESSO;3;1;2;2;20;2;;;1;;;;4;;3;;1;;1;1;1;;;;3;;1;1;;;;;;;1;3;2;;;;;;;;1;1;8;1;1;1;1;;;;;1;1;1;1;;;;4;;;;;1;;;;;1;1;1;;;;6;1;;;3;;;1;;;1;1;1;1;;;;;;;;;;6;;;;;;2;;;;2;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;2;2;1;1;;;4;1;2;;;;;;;;;;;;;125
18398-5384;20120202;SUCESSO;2;2;;;34;;;;6;;;;6;;2;;1;;;;2;;;;8;;;;;1;;;;;;;;2;1;1;;3;3;;;;7;;;;1;;;;1;1;1;1;;;;;14;4;;;;6;1;2;2;2;1;;;;;;16;5;2;1;8;1;;3;1;1;1;;;3;2;;2;;;;;;;23;;;;;;3;;;;1;;;;;;;;1;1;1;;;3;;;3;;1;1;1;1;11;3;2;;;;4;3;2;3;3;2;3;3;1;;1;;2;2;2;;;;;;;;;;1;1;17;6;3;3;;1;1;2;;;286
18432-5799;20130101;insucesso;1;1;1;1;10;1;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;;;;;;;;;;;;4;1;1;1;;;2;;;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;15;;;;;;1;;;;1;;;;;;;;2;2;;;;8;;;7;;2;1;1;;12;1;;;1;;3;;;2;;;1;;;;;;1;1;1;1;1;;;;;;;;;;6;4;;2;;;;2;1;1;117
18444-4114;20120101;insucesso;1;1;;;8;1;;;2;;1;;1;;;;;;;;1;;;;3;;1;;;;;;;;;;;;;;;1;1;;;;2;;;;;;;;;1;1;1;;2;1;;3;;;;;1;;1;1;;1;;;;;1;2;1;1;;2;;;1;1;1;1;;;1;;;1;1;;;;;;8;1;;;;;3;;;;1;;;;;;;;;;;;;1;;;1;;;;;;2;;;;;;;;;;;;;;;;;;1;1;1;;1;;;1;;;;;;;;;;;;;;;;;73
18444-5384;20120202;insucesso;1;;1;1;8;1;;;1;;3;2;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;4;1;1;1;2;;;;;;;;;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;1;;;1;;;;;;6;1;1;1;;;1;1;1;1;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;60
