IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
12626-7114;20130202;insucesso;2;2;;;17;;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;1;;;5;;;;2;;;;;;1;1;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;3;;;;20;;;;;2;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;2;2;;9;;;2;;;;;;;;;;2;;;;;3;2;91
13346-4434;20120102;insucesso;;;;;12;;;;;2;1;1;;;2;;;;;;;;;;3;;;3;2;2;2;;;;;;1;1;;;1;1;;;3;;;;2;;1;1;;;;;;;;;;2;1;;;1;;1;1;;;;;1;5;1;1;2;;1;1;1;;;2;1;1;;;;;;5;;1;2;;5;1;2;3;;2;2;2;1;;;;;;;1;;1;;;;;;2;1;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;3;1;1;;;;;103
13405-5490;20120202;SUCESSO;2;1;1;1;135;5;;;1;1;;;1;1;14;;12;;4;1;1;;;;44;1;;12;4;1;1;5;5;1;;7;1;1;1;;;;;;7;1;1;1;1;;;1;;;1;1;1;;1;;1;23;4;1;1;10;2;3;2;1;4;2;1;2;26;2;;18;1;8;3;2;1;1;2;;3;1;;;;;107;4;3;1;;34;;1;12;;4;2;2;2;;;2;1;;;14;;11;;4;3;2;;26;3;;7;2;;4;2;3;1;1;;;2;1;1;1;11;;;;13;7;2;5;5;7;2;2;;5;;4;4;;;;736
1436-6400;20130102;SUCESSO;3;1;2;2;64;5;;;2;7;3;;1;;4;3;1;;;;1;;2;;25;;;7;5;3;1;5;5;3;1;;3;;;;;;;;10;2;2;2;4;;1;;;1;;;;;1;;;9;2;;;;;;;;4;3;;;16;7;4;8;1;;;;4;3;;;;1;3;;3;3;73;2;;1;;22;;;10;;6;1;;;;;1;1;1;;9;;8;;6;3;3;;24;5;1;8;3;;5;2;3;1;2;;;3;1;1;2;4;4;;;;;;;;;;;;4;3;;;;;;476
14770-5489;20120202;insucesso;2;2;;;13;3;;;;2;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;5;;;;2;;1;2;3;;1;1;1;;3;;2;2;;;;;;;;;;;;;4;1;1;1;;;;;;;1;1;;;;;;;11;;;1;;1;;;1;;;;;;;;;;;;1;;1;;1;1;1;;2;1;;2;1;;2;1;1;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;93
14932-4114;20120101;insucesso;;;;;7;;;;;;;;;;2;;;;;;;;1;1;1;;;;;;;;;;;1;;;;1;1;1;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;6;;;1;;;;;;;;;1;;3;1;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;1;1;;;;2;1;45
15016-4433;20120102;insucesso;2;1;1;1;8;1;;;;2;;;;;1;;;;;;;;;;4;;;3;3;2;1;1;1;1;;;;;;;;;;;5;1;1;1;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;4;;;;;;;;;;1;;;;;;;;9;;2;;;5;2;;5;;4;4;3;3;2;1;2;1;;;3;1;2;;2;;;;2;1;;2;1;;1;1;1;;1;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;115
15247-6400;20130102;SUCESSO;2;1;1;1;82;13;;;4;3;1;;1;;22;2;14;;3;;4;2;;;27;;;5;2;;;1;1;;2;3;6;;;;;;1;1;7;1;1;1;1;;;1;;4;1;1;1;;3;;;49;3;1;2;17;;9;5;3;11;7;5;;49;6;2;37;;12;5;3;10;6;7;4;7;2;;;;;114;2;;8;2;34;;2;10;;6;3;2;1;;;2;2;1;;8;;7;;4;2;2;;26;4;3;10;4;3;7;3;5;3;4;1;;2;1;1;1;6;2;;;4;3;2;;;6;2;;;9;1;;;1;2;;817
16014-5799;20130101;insucesso;;;;;16;2;1;;;2;2;;7;5;;;;;;;;;2;1;7;;;2;1;1;1;;;;1;2;;;;;;;;;6;;;;3;;3;;3;;;;;3;7;3;5;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;1;3;1;1;1;14;;1;;;3;1;;1;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;4;1;3;;2;2;;;;;;;;;;;;;;;133
16014-6590;20130201;insucesso;;;;;12;2;;;;1;;;4;3;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;3;;;;1;;;;3;;;;;;4;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;13;;;;;5;;;3;;2;1;1;;;;;;;;1;;1;;1;1;1;;3;1;;2;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;82
