aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
36347-5799;1;17;5;;;3;;42;;;1;8;10;6;16;;5;7;2;1;3;2;1;;;;;;;2;3;1;1;1;1;1;1;4;;;;;;;;;;11;2;;;;;;3;;;2;;2;;;1;;1;9;1;2;;;;;2;2;;1;1;;;2;;;;;4;2;1;;1;;;6;2;;;;3;1;;;5;;;1;3;4;2;1;2;1;;1;4;;;;;;;;;;1;;;;;;5;2;1;;;;;2;1;;;;2;;;;;;;;;2;1;1;;2;1;;;1;;
30982-4435;;7;;4;20;3;;8;;;;2;3;;16;;2;2;;;2;1;;;;;;;;;;;2;;;;;;2;9;4;2;2;;;;;1;;;;;;;;;;1;;1;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;1;1;1;;1;6;;;;;;;;;;1;1;1;;;;2;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
35700-5489;2;18;;;3;4;;91;3;6;1;39;40;2;84;;19;43;;2;6;2;1;1;1;1;1;1;2;;1;1;4;;;;;;;1;;;;;1;2;;6;;;;1;;;1;;;16;1;12;1;4;1;;;35;1;8;3;;;;6;4;;;1;2;6;13;3;10;3;;3;2;2;5;2;;2;27;7;9;2;;1;;2;2;1;2;1;2;;2;1;3;6;8;;4;27;2;6;12;4;2;2;2;3;3;6;5;1;1;;2;14;1;1;;1;1;;7;4;1;2;1;5;2;1;3;2;1;1;;;;1;1;1;;1;4;1;;1;
12626-7114;1;5;;2;;4;3;21;2;;;1;5;3;16;;2;2;;1;10;;1;;;;;;;;2;1;;;;;;;;;;;1;;;;2;2;1;;;1;1;;;;;1;;;;;;;;4;;2;1;1;1;;;;;;;2;;;;;;;;;;1;;;;1;;;;;;;2;1;;;;1;;;;;;1;;;3;;1;1;1;1;1;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;2;;;
30969-5799;;;;;4;7;1;14;2;;;8;8;1;13;;3;5;;;3;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;3;;;;;;3;;2;1;;;;;3;;2;;;;;;;;1;1;2;;3;;1;1;;;;1;;1;;;4;2;;;;;;2;;;;;;1;;;;;2;;1;4;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
31743-5061;;7;2;;;1;;48;1;;;12;15;6;58;;16;17;1;;1;;;;;;;;;1;3;2;1;;;;1;2;;;;;;;;1;;3;2;1;;1;;;3;;3;2;;;;;;;2;20;1;8;5;2;1;1;4;3;3;;;1;;2;1;;;;4;2;;;2;;;11;2;;;;4;2;;;3;;;1;1;4;4;3;2;2;;2;17;;;8;3;2;1;1;1;1;3;3;1;1;3;1;11;1;7;;4;2;1;1;1;;;;8;;;5;;3;;2;1;1;;;;;;1;;;;
28198-5490;1;4;;;26;5;;14;1;;;3;5;2;10;;3;2;;1;1;;;1;1;1;1;1;;;;;2;;;;;;;9;7;3;;;2;1;;3;;;;3;;;;;;2;;1;;;;;;1;;1;;;;;;;;1;;1;;;;1;;;;;;;1;1;;3;;1;;;;;1;;1;2;1;;1;1;;;;1;;1;4;;;;;;;;;;;;;;;;2;;1;;1;1;1;1;;;;;1;1;;1;1;1;1;1;1;;;;1;1;;;;;;
36350-5799;;10;5;1;;1;2;42;3;1;;13;27;11;30;2;3;2;1;1;2;;;;;;;;;1;;;3;;;;5;1;1;;;;1;1;;;;1;;5;5;;;;4;;1;9;3;2;;;1;2;8;11;1;3;2;;;;1;1;1;;;2;1;2;;4;2;1;5;3;;1;9;;2;11;1;2;;;3;2;5;2;;;;1;;9;2;1;;1;1;;11;;;6;3;1;;;;;;;;;1;;2;;1;;1;;;1;;;;;1;1;;1;1;;;;;;;;;;;;;;;
23182-6895;;2;;1;8;3;;6;;;;;1;;1;;;;;;1;1;;;;;;;;;;;;;;;;;1;4;1;;1;1;;;;1;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;
35751-5799;1;9;2;;;1;1;30;;1;;10;12;;31;1;2;2;;1;4;1;;1;;;;;;;1;;;;;;2;;;;;;;;;;;3;;;;;;;5;2;1;3;;;;;;2;;5;1;;;;;;2;2;;1;;;1;3;;2;1;1;2;2;1;2;1;1;;9;2;1;1;1;;;2;2;;;;;;;;1;1;1;;1;2;;;;;;;;;;;;;;;;2;;1;;1;;;1;;;1;1;1;1;;1;1;;;;;;;;;1;;;1;;;
