aluno;1>;2>;3>;5>;6>;7>;16>;17>;30>;31>;32>;41>;43>;44>;46>;48>;49>;2>2>;2>41>;2 30>;2 31>;2 41>;5>5>;6>6>;7>5>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>30>;31>30>30>;31>31>;31>41>;31 41>;31 41>30>;31 41>41>;41>2>;41>30>;41>31>;41>41>;41>41>41>;41>41>41>41>;41>43>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43 44>;44>44>;44>44>44>;
30996-4435;1;9;2;;17;3;2;;8;12;3;12;1;2;1;5;3;1;;2;;1;;5;;;;1;;;1;;;3;;1;1;2;1;;1;1;;3;1;;;;;;;;1;;;
35950-6590;1;4;1;;;;;;3;4;;13;8;23;1;;;;;;;;;;;;;1;;;;;;2;;1;;1;1;;;1;2;2;1;;;1;2;4;3;2;3;3;3;
36992-5384;3;16;6;;26;3;;;11;14;;43;15;17;3;3;;2;4;3;1;6;;8;;2;2;1;;2;2;;3;3;1;1;;3;1;;1;1;;7;1;;3;2;5;4;7;1;6;5;1;
41365-7297;;;;5;11;3;1;;1;6;;7;1;3;;;;;;;;;;6;1;;;;;;;;;1;;1;;2;;;;;;;;;;;;;1;;;;;
36189-5490;;2;;;33;2;;;;;;1;;;;1;;;;;;;;7;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
21169-6402;3;9;;;;;;2;10;11;;11;1;;3;3;5;;1;1;;1;;;;3;1;1;1;2;3;2;1;5;1;3;1;4;2;1;;2;1;1;;;1;;;;;;;;;
31077-4434;2;8;1;1;3;1;;;5;10;;21;3;4;2;6;;1;;1;1;;1;;1;1;;1;;;1;;;1;;2;1;;;;;;2;6;2;2;2;;1;;1;;;;;
40270-6401;2;5;;2;29;6;2;;9;13;;52;3;8;2;3;1;;;;;2;2;11;1;3;;1;;1;2;;2;3;1;1;;2;;;;;;12;2;;;1;1;1;1;;;1;1;
41281-6401;3;19;3;;26;6;1;2;20;27;3;50;2;;3;5;2;;;2;;1;;11;;5;1;3;1;2;2;;3;10;2;2;2;5;;1;1;;1;9;2;1;;;;;;;;;;
39383-6401;1;6;;1;9;2;1;;6;7;6;21;9;10;1;;2;1;;;;1;1;1;;2;1;;;1;1;1;;3;1;1;;;;;;;3;7;3;1;2;;;;4;2;2;6;5;
