aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
41520-6401;2;10;;;;1;1;25;;;1;1;1;;23;;6;13;;2;3;;1;1;1;1;1;1;1;;3;3;;;1;1;1;;;;;;;;;;5;;3;;;;2;1;;;;;;;;;4;;2;;;;1;1;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;15;2;;;9;6;2;1;;1;1;3;3;1;1;6;1;5;3;1;2;2;7;;;3;;1;;;1;1;1;;1;;;;
32035-4114;2;4;;;45;6;5;39;1;;5;2;6;;28;1;3;2;;2;6;5;1;1;;1;1;;;;1;;1;1;1;1;1;;;;16;8;;;3;1;2;;;;;3;4;;;;3;;;;;;12;;5;4;4;2;;;;2;1;;1;1;;;;;1;;;;;2;;2;1;;;;1;;1;;;2;;;;1;2;2;1;16;1;2;1;6;4;2;2;2;2;1;3;2;1;;2;;1;;;1;;1;1;;;;;;;1;1;;4;3;3;4;;
36347-5799;1;3;;2;;3;1;31;;;;3;5;3;34;1;6;5;3;1;2;;1;;;;;;;;;;;;1;1;1;;;2;;;2;2;;;2;;;;;;4;;2;1;2;1;;;;;12;;3;1;;;2;2;;;;;;;;;;;;;2;1;;;;1;;;;;;;;;1;2;2;;;;1;;;7;;;;2;;;;;;;2;2;2;;5;;5;3;2;3;1;5;3;1;3;2;2;1;3;1;1;;;;;;;
14932-4114;;;;;;1;2;7;1;1;;3;6;3;4;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;1;1;1;;;;;;;;;1;1;1;;;;;;;;;1;;;;;1;;;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
41365-6401;1;25;4;1;;5;;44;;;;6;12;;30;1;9;20;5;1;2;;;1;1;;;;6;1;6;1;1;1;;;;2;1;1;;;1;1;;;9;2;2;1;;1;12;4;2;4;5;3;2;;;;14;;9;6;5;3;3;3;;;;;;;2;;2;;;;;1;1;2;1;5;;2;2;;;;1;;3;1;;;;1;3;3;;18;;3;;12;9;7;5;3;1;1;4;4;;1;8;2;3;3;3;4;2;6;4;2;5;3;5;3;4;;;1;;;;;;
44169-6895;2;13;13;1;16;9;2;58;;;;5;11;3;45;1;2;;4;2;4;6;1;1;1;;;;2;1;2;;1;;1;1;1;5;1;1;4;1;1;1;;;3;1;;10;5;1;3;;1;1;2;;;;;;17;;7;3;2;;;;;2;;;1;;;;;;;;;;;1;;3;;;;;;;;;1;1;1;;;3;;;;14;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;;2;2;3;
35700-5489;5;21;;9;;14;;94;6;4;;41;67;3;95;;11;15;1;6;2;;3;3;3;3;3;3;2;;6;1;2;2;1;1;1;;;9;;;9;9;;;8;2;4;;;6;3;;;1;33;16;3;;1;;29;2;12;8;3;1;1;1;;;6;3;19;10;10;3;3;2;7;5;1;5;2;16;4;37;15;8;2;2;5;4;4;4;3;1;1;1;;3;;7;5;38;1;3;1;18;8;5;1;1;;;1;1;1;;10;;7;2;2;2;;10;2;;3;;3;2;1;3;3;3;;;;;;
12626-7114;2;5;;;;2;3;17;1;;;;2;3;20;;1;;;2;9;;2;;;;;;;;2;;;;1;1;1;;;;;;;;;2;1;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;2;;;
30969-5799;;;;;;;;14;;;;;;;15;;3;11;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;5;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;3;;;;;;;1;;;;;;;;;;;9;;;;;
31743-5061;4;19;;9;38;7;;23;1;;;4;6;;29;;3;3;;4;3;1;2;3;3;1;1;1;;;;;;2;2;2;2;;;5;20;10;5;2;;;5;;;;;2;;;;;1;1;;;;;3;;2;;;;;;;;1;;;;1;;1;;;;;1;;1;;3;;;;;;;2;;1;;;;;1;1;3;2;13;;2;1;3;3;1;1;1;;;1;1;1;;3;;1;;;;;1;;;;;;;;2;2;3;;;2;;;
