aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
30996-4435;1;4;;3;13;6;;16;1;;;7;11;;19;7;10;;1;1;1;;1;1;;;;;;;;;;;2;6;;;3;2;;1;1;;;1;1;1;;;5;;2;;;;;;1;1;;2;;2;;;;;;;;;;;1;;;;;;3;;1;1;;;;;;;2;;1;;;5;;;2;;;;;;;1;;2;;;;;;;1;;10;1;1;;;;;1;1;1;1;;;6;;4;2;;;2;1;;;4;1;1;2;1;;;;;;;1;;;;;;;
31746-4434;1;9;;;;;;29;1;;;3;5;;48;6;11;;1;;;1;;;;;;;6;;;;;;;;;;;;;;3;3;;;;;5;2;1;;1;1;;;;;;;;14;;3;1;;;3;3;1;;;;;1;;3;1;;;;;;;;;;;;;;;2;;2;2;2;1;;;;;;;;1;1;;;;;;2;;;;7;;2;;;;;;;;;;;5;2;2;;;;2;2;1;1;3;;;;;;;;;1;1;;;;;;;;
35950-6590;1;4;;;;;;29;1;1;;4;5;;10;2;7;;1;;;;1;1;1;1;1;;;1;;;;;;;;;;;;;2;;;;;;1;1;1;;;;;;;;;;;2;;2;1;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;5;;3;;1;1;1;;;1;1;1;;1;;1;1;1;1;1;;;;1;1;;1;1;1;1;1;;;;1;;;;;;;
41365-7297;1;4;;;;1;;13;;;;4;4;;5;2;4;;1;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;3;;;;;1;1;;;;;;;;;2;;;1;2;1;;;;;;;;;;;;;;4;1;;2;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;;;1;;;1;1;;1;;;;1;1;;;1;;;;;;;;;1;1;;;;;;;;
27129-7297;1;6;1;1;;1;;20;1;;;8;8;;8;;;;1;1;3;;1;1;1;1;1;1;2;2;;;;;1;;;;1;1;;;6;1;1;1;1;1;2;1;5;1;3;;;;;;1;;;4;;2;2;2;;;;;;;2;2;1;;2;;;;1;1;1;;;;;;;;;;2;;;7;1;;1;1;;;;;;1;1;;;;;;;2;1;;3;;3;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;3;
28835-4435;1;6;;;;;;11;;;;3;4;;2;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;4;;;;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;1;1;;;;;;;;3;;;1;1;1;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
30696-4435;1;3;;;;;;14;;;;1;1;;8;2;10;;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;1;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;1;3;1;;;;;;;;;;;;2;;1;;;;;;;;3;;;1;;;;;;;;;;;;;;;
40640-6402;1;2;;1;;1;;17;;;;10;5;;20;11;28;1;1;;;;1;1;;;;;1;;;;;;1;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;7;;1;1;;;2;2;2;1;;;;;;;;;;2;;1;1;1;1;2;1;;;;;;;;2;;;2;1;1;1;;;;;;;;;;;;;;;6;;4;;;;;4;3;4;3;1;2;11;;6;2;1;;3;2;;;11;2;2;5;1;3;1;1;;;;1;;;;;;;
29011-4114;1;6;5;1;;2;;32;1;;;7;9;1;40;16;20;1;1;2;3;;1;1;;;;;1;1;;;;1;1;;;;1;1;;;;;4;;;;1;1;2;;1;;1;;;;;;;13;;5;1;1;2;6;6;1;1;;1;;1;;3;;;1;4;3;1;1;;;;;;;2;;;;;6;;;3;1;1;;;;;1;1;;;2;;;3;1;2;1;17;1;9;1;4;2;1;3;1;6;3;;1;12;2;2;2;1;;3;2;1;1;3;2;2;3;2;1;1;;1;;;1;;;2;;;1;
31077-4434;1;5;;2;6;6;;30;;;;3;7;;16;3;3;;1;;1;;1;1;1;1;1;;1;1;;;;;2;2;1;1;2;2;1;1;4;;;2;1;1;1;;5;;1;;;;;;2;1;;7;;1;;;2;1;1;1;;;1;1;;;1;;;1;1;;1;1;1;;;;;;;;;;;3;1;;1;1;1;1;;;;2;2;2;;;;;1;1;;;2;;;;;;;1;1;3;3;;;3;2;1;;;;3;1;;;1;1;;;;;;;;;;1;;;;;;1;
44049-6590;1;5;;1;;3;;47;;1;;10;11;2;9;;;;1;2;;1;;;;;;;2;;1;1;1;;1;;;;1;1;;;3;;;2;1;1;4;1;7;1;4;2;1;1;1;1;;;1;7;;3;1;1;;;;;;;;;;1;6;1;1;1;2;;1;;;;2;2;1;1;;1;2;1;;8;5;1;1;1;;;2;2;1;;;;;;1;1;;;2;1;3;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;1;;;
21169-6402;;1;;;;;;8;;;;;;;10;5;16;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;4;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;1;2;2;1;;4;;1;;;;1;1;;;3;;;1;;;;;;;;;;;;;;;
40270-6401;2;18;1;1;8;2;;49;;;;7;7;;28;4;10;1;2;2;1;2;;;;;;;2;1;1;1;1;;1;2;;;1;1;1;;11;2;;1;;;5;2;3;;1;;;;;;;;;15;;6;1;1;1;;;;;1;;;;;1;;;;4;1;1;1;;;;;;;;;;;;4;;;3;;;;;;;;;;;1;;;1;;2;2;7;;1;;1;1;1;;;1;1;;;4;;2;1;1;1;3;1;;;3;2;1;1;1;1;1;1;1;2;2;;;;;;;;
27532-4114;1;1;;;;;;14;;1;1;4;3;;11;3;4;;1;5;5;;1;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;;;1;;2;1;1;;;;;;;;;5;;2;;;;2;2;;;;1;;;1;;;;;1;;;;;;1;;;;1;1;1;;;2;;;1;;;;1;;;;;;;1;;;;;1;1;3;;;;;;;;;;;;;3;;1;1;1;;2;;2;2;3;2;;2;1;2;1;1;;;;1;1;1;;1;4;1;
