aluno;2>;4>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;48>;49>;9>11>;11>9>;11>9>11>;11>48>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>30>30>;16>31>48>;17>30>;17>31>;29>14>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>14>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>31>30>31>30>31>30>31>;30>31>48>;30>32>;30>48>;30>48>31>;30>48>31>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>31>41>;31>32>;31>41>;31>41>41>;31>41>41>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>36>36>;36>36>36>36>;36>37>;37>38>;38>14>;38>31>;38>33>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
31751-5102;;;;;;;;;19;2;;;;6;17;;1;1;1;1;3;22;;4;;;;;;;;1;;;;6;;1;;;;;;;1;;;1;4;;3;2;;;2;;;;;;;;1;;;3;1;2;1;2;1;;;;;;;;1;;;;;;;;;;1;;;;;2;2;;;;;3;;;;1;1;1;1;;;;;;;;1;;;;;1;1;;3;;2;;;;;;;1;1;1;1;1;1;1;1;;1;;;1;;1;;8;1;3;1;;;;2;;1;;;;;;;
34979-4912;;1;8;1;3;1;2;;52;3;6;4;;47;62;11;;;;;;22;2;7;7;1;;;1;;;2;;1;;25;1;15;5;2;3;3;2;;;2;2;;8;1;1;1;1;2;3;1;2;;;3;3;;8;5;3;11;2;7;2;;;;;;2;4;3;;19;5;4;13;1;9;8;4;3;2;1;2;1;;;9;6;3;2;1;1;40;5;3;2;10;6;;10;2;9;7;6;4;2;1;5;1;1;1;3;1;1;1;1;;;3;2;5;4;;;;;;;;;;;;;;;;1;1;1;4;;2;;;1;;;;;;2;1;4;1;4;
15735-5786;;;;1;1;1;2;;11;1;;;;7;11;;;;;;;11;;9;3;;1;;1;1;;5;1;3;;5;;;;;;;1;;2;;;;2;;2;;;1;1;1;;;;;;;1;;;3;;1;;;;;;;;;;1;2;;;2;;;;;;;;;3;1;;1;1;;;;;7;1;;;2;1;;1;;1;;;;;2;1;1;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;2;1;3;;;;;;;2;1;1;;;;;;2;
35637-5102;;1;;1;;;;1;39;3;1;1;1;13;19;2;2;2;6;2;3;8;;7;1;;;;;;;2;;;1;15;1;6;;;;;1;1;1;;;1;5;;2;;;;3;;2;1;1;1;;;1;;;2;;1;;;;;;;;;;1;;;;;;;;;;;;1;2;;;1;1;;;1;1;9;;;;1;1;;;;;;;;;1;1;;;;;1;;;3;;1;2;2;;;;;1;2;1;3;1;1;3;3;1;1;;;2;1;;;4;;1;;;;1;2;1;;;1;;1;;;
31390-5102;;;;;;;;;4;1;;;;4;5;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;2;2;2;;;;;;;;;;;;
35677-6547;;;;;;;;;15;1;;;;10;12;;;;;;;7;;;;;;;;;;;;;;4;;1;;;1;;;1;;;;;3;;;;;;1;;;;;;;;2;1;1;5;1;2;;1;;;;;1;1;1;;4;;;3;;2;2;1;1;;;;;;;;;;;1;1;6;1;;;2;1;1;4;;3;1;1;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18200-6547;1;;;;;1;8;;30;3;1;;2;10;20;;;;;;3;10;;4;;;1;;;6;;2;;;;6;1;;;;;;3;;1;;;2;6;2;1;;;;3;1;;;2;;1;;2;;;3;;3;;2;2;2;;;;;;;;;;;;;;;;;;;;;;3;;;1;1;1;3;1;;;1;1;;;;;;;;;;3;1;1;;;;;;4;1;2;;;;;;;;;;;;;;;;;1;2;;;2;;2;;;;;;2;2;;;;1;;;;;
15183-5786;;;;;;1;1;;11;;1;;;1;2;;3;3;4;3;8;3;;3;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;1;;1;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;1;1;1;;;2;1;;;3;1;;;2;;1;1;1;1;;;;;;1;;;1;;
18344-4912;;1;;;;1;2;;21;3;2;;;16;19;2;1;1;1;1;2;14;;7;5;;1;;2;2;2;1;;;;12;2;9;3;2;3;3;1;1;;;;;3;;1;;1;4;3;;3;;;1;1;;2;2;2;8;;5;;3;2;2;2;2;;;;1;7;1;;5;2;2;2;2;2;1;;1;4;1;1;3;1;1;;;;15;2;2;2;7;4;2;7;1;5;2;2;2;2;2;1;1;1;;2;2;1;;;;;2;2;1;1;;;1;;;;;;;;;;;;1;;2;1;2;1;;;;4;;;;1;1;1;1;3;2;;
33410-6547;;;;;;2;3;;17;2;1;;;6;12;9;;;;;;18;1;3;;2;2;2;;;;1;;;1;5;;;;;;;;3;;4;1;;3;;2;;;;2;;;;2;;1;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;1;1;1;;;;;1;1;3;;;;;;;;;;;;;;1;1;;;;1;3;1;1;2;;2;2;;2;1;;;;;;;;;;;;;;;;1;;;6;;1;1;1;;;2;1;1;1;;;;;;
24303-7111;;;;;;;;;3;;1;;;;2;;;;;;;3;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23859-6395;;1;;;;;;;5;;;;1;1;4;;;;;;;5;;1;;;;;;;;;;;;2;;;;;;;1;1;;;;;1;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2;;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4;2;;;1;1;1;;;1;;;;;
35880-5786;2;;;1;;2;4;;26;;;;6;5;8;;1;1;2;2;5;20;;6;1;2;2;2;2;2;2;2;;1;;5;;2;1;;1;1;;2;;;;1;8;;2;;1;;;;;;;;;2;1;;;3;1;1;1;1;;;;;;;;2;1;;;1;;;;;;;;;2;;;;;;;;;4;;;;3;1;1;1;;1;;;;;;;;;;;3;;;1;1;;;;;;1;1;;1;;;;;;;1;;;;1;1;2;;4;1;1;1;;;6;;;;;1;;1;;;
35921-5102;;3;;1;4;;;3;33;3;4;;6;12;16;9;1;1;11;1;2;25;3;12;10;;;;;;;8;6;;2;1;;;;;;;;;1;3;2;;6;1;2;2;1;1;2;;1;1;;4;;;;;;5;;1;;;;;;;;1;;;1;;;;;;;;;;;1;1;1;1;;;;;1;1;3;;;;1;1;;;;;;;;;;2;;;1;;2;1;;3;2;;;;3;;1;1;;1;;7;;;1;1;1;;;;;;4;;7;1;5;1;1;2;5;;;1;1;3;2;;2;4;
31456-4912;;;;1;1;;;;15;1;;;;1;6;;;;;;;7;1;1;;;;;;;;;;;;2;;;;;;;;;;;;;3;;1;;;;1;;;;1;;;;;;;1;;1;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;2;1;;;;1;;;;;;;;;;;
27813-7111;;;;;;;2;;13;;1;;4;3;6;;;;;;;;;8;;;;;2;2;2;2;;1;;5;;2;1;1;1;;;;;;;;;;;;3;;;;;;;;1;2;;;;2;;2;;1;1;1;;;;;;2;1;;;;;;;;;;;;2;;;1;;;;;;2;;;;1;1;1;1;;;;;;;;1;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;;;;1;;;;;
30698-5102;;;;;;;;;10;1;;;;1;5;;3;3;3;3;4;4;;;;;;;;;;;;;;4;;1;;;;;;1;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;1;2;1;;;;;;1;1;1;;3;;1;;;;;;;;;;;;;;;;;;
22435-4912;2;;;1;;1;5;1;37;2;1;;1;20;37;;1;1;4;1;3;12;;4;1;1;1;1;2;2;1;3;;1;;18;3;10;1;;;;1;;;;;1;3;1;2;1;1;1;2;;1;1;;;1;1;2;1;1;6;;2;;;;;;;;;;;2;;;1;1;;;;;;;;1;;;5;1;;;;;15;1;;;5;2;;;;;;;;;1;3;;;1;;3;1;;;;;;;;;;;1;1;1;1;1;1;;;;1;1;1;;;3;;4;1;2;;;3;1;;;;;1;1;1;;;
35677-5786;;;;;;1;4;;25;;1;;;19;24;;1;1;2;1;3;14;;14;;1;1;1;1;1;;2;;;;8;;5;;;4;1;1;;;;;2;9;2;2;1;;;;;;;;;1;;1;1;1;3;;1;;;;;;;;2;1;;13;4;1;8;1;5;5;4;4;2;2;;4;2;2;6;2;1;2;;;16;1;1;1;3;1;;13;4;8;5;5;4;4;3;2;1;;;;;;;3;;2;;;;;;;;1;;;;;;;;;1;;1;2;4;2;3;1;2;;;2;;3;;2;2;;;;;;
30698-6019;;;;;;;;;5;2;;1;1;1;5;;;;;;;;;1;2;;;;;;;1;;1;;3;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;
32897-4912;;;;;1;;;;2;;;;;;1;;;;;;1;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;
15183-6547;;;;;;;;;19;1;1;;;7;13;;;;;;1;10;;2;;;;;;;;;;;;6;;2;;;1;1;1;;1;;;1;7;;1;;;;1;;;;;;1;;1;1;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;3;;;;;;;1;;1;;;;;;2;;1;;;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;
31256-5102;;1;;;;;;;9;;;;;;3;;1;1;2;1;2;1;;1;;;;;;;;;;;;3;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
21782-5786;;;;;;1;2;;15;1;1;;;4;6;;;;;;2;9;;;;1;1;1;;;;1;1;;1;5;1;2;;;1;;;;;;;1;2;1;1;1;;;1;;1;;;;1;;3;3;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;3;3;3;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;2;;1;1;1;;;;;;;;;;;;
30609-5102;;;;;;;;;1;1;;;;2;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31489-6019;;;;;;1;3;;24;3;1;;;8;18;;2;2;8;2;4;;;3;1;1;;;;1;;1;;;;8;;2;1;1;;;1;;1;;;3;;;;;;1;3;1;;;;;1;;1;;;5;1;4;;3;3;2;2;2;1;1;1;;3;;;2;1;;;;;;;;;;;2;;;;;;5;;;;3;2;1;;;;;;;;;2;;;;;;;;2;;2;;;;;2;2;;2;;3;1;;;;2;1;1;1;2;;;;;;;;;;;2;1;;;1;1;;1;;
35659-6547;;;1;1;;;;;11;2;1;;;2;7;;;;;;;4;;1;;;;;;;;1;;;;4;;1;;;1;1;;;1;;;;;;;;;;1;;;;;;1;;;;;1;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;;;;2;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
35923-4912;;;;2;;1;3;;25;1;;;2;7;17;;1;1;1;1;3;9;;5;3;;1;;;1;;1;;;;6;;2;;;;;;;;;;1;2;;;;;1;1;;1;1;;;;;1;;;5;1;3;1;2;1;1;1;1;;;;1;;;;;;;;;;;;;1;;;1;;;;;;4;;;;2;1;1;;;;;;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;2;;1;;;;2;;;;;;1;1;1;1;;;;;;;
