aluno;2>;3>;4>;6>;7>;8>;9>;11>;12>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;48>;49>;2>31>;2>41>;3>2>;9>11>;11>9>;11>9>11>;11>11>;11>31>;11>48>;14>2>;14>3>;14>7>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>31>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>41>;30>48>;30>48>31>;31>14>;31>14>31>;31>14>41>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>41>41>;31>48>;31>48>30>;31>48>30>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>37>;37>36>;37>38>;38>14>;38>14>38>;38>33>;39>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>49>;49>14>;49>48>;49>49>;49>49>48>;
31751-5102;;;;;;;;;;21;2;;;;6;17;;1;1;1;1;3;;22;;4;;;;;;;;;;;;;;;;1;;;;;6;;1;;;;;;;;1;;;1;;;;4;;3;2;;;2;;;;1;;;3;1;2;1;2;1;;;;1;;;;;;;;;;;2;2;;;;3;;;1;1;1;1;;;;;;;;1;;;;1;1;3;2;;;;;;;1;1;1;1;1;1;;;1;;;1;;;1;;8;1;3;1;;;;2;;1;;;;;;;;
34979-4912;1;;1;8;1;3;1;2;;52;3;6;4;;47;62;11;;;;;;;22;2;7;7;;;;1;;;;;1;;;;;;2;;;1;;25;1;15;5;2;3;3;2;1;;;2;2;;;;;8;1;1;1;1;2;3;2;3;3;8;5;3;11;2;7;2;;;;4;;19;5;13;1;9;8;4;3;1;1;;9;6;2;1;1;40;5;3;10;6;;10;2;9;7;6;4;2;1;5;1;1;3;1;1;1;;;3;5;4;;;;;;;;;;;;;;;;1;1;1;4;;2;;;1;;;;;;2;3;4;1;4;1;
15735-5786;1;;;;1;1;1;2;1;37;2;9;1;;29;36;1;3;2;2;2;5;;31;;21;4;;;;;1;;;;1;1;;;1;;16;3;1;7;4;18;1;6;1;1;;;2;1;;2;1;1;1;1;;;10;1;3;1;;1;2;;6;2;3;1;;7;;3;;1;1;1;;2;4;;2;;;;;;;8;1;2;2;;;;19;1;;4;2;1;3;;1;;;;;4;4;2;;;;;5;1;;;1;;1;1;1;;;;;;1;1;1;2;1;3;;1;5;3;8;1;1;;;2;;3;1;2;1;3;1;;1;3;1;
35637-5102;1;;1;;2;;1;4;;58;3;2;3;1;14;26;2;6;4;8;3;9;1;13;;7;1;;;;;1;;1;;;1;;;2;;3;;;;1;19;1;6;;;;;1;;1;1;;;5;2;2;;7;;2;;;;3;2;1;1;1;;;2;;1;;;;;;1;;;;;;;;;;2;;2;1;;1;1;10;;;1;1;;;;;;;;;1;1;;;;1;;3;1;1;2;;;1;;1;2;1;3;1;1;1;1;1;3;1;5;1;1;;;5;;1;;;;1;2;1;;;1;;1;;;;
31390-5102;;;;;;;;;;5;1;;;;4;5;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;4;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;1;2;2;2;;;;;;;;;;;;;
35677-6547;3;5;;;;;1;2;3;26;1;;;;17;18;1;1;1;1;1;3;5;10;3;1;;1;;2;;1;;1;;;1;5;;;;1;;;;;9;;2;;;2;;;;1;1;1;1;;;;2;5;;1;;;;1;;;;5;2;1;5;1;2;;1;;;1;;6;1;3;;2;2;1;1;;;;1;;1;1;1;9;3;1;2;1;1;5;;3;1;1;1;1;;1;;;;2;;1;1;;;1;1;;;1;1;1;;;;;;;2;;1;1;;;;1;;;;;;;1;;;;;;;;;;
18200-6547;2;;;;;;1;10;1;61;4;3;1;3;24;41;1;1;1;8;1;6;;18;;6;;;;;;1;;1;;1;2;;;7;;3;;;1;;26;2;11;2;;;;3;1;;1;;;3;1;;;10;3;1;;;;4;;2;1;5;1;1;6;2;4;1;2;2;2;;;1;;1;;;;;;1;;;4;;1;1;1;15;3;;4;1;;;;;;;;;;3;1;1;1;;;6;4;2;;1;1;;;1;1;1;1;1;1;;1;;3;;;;;3;;2;;;;;;3;4;2;1;;2;;;;;;
15183-5786;1;;;;;;1;2;;29;;4;;;4;11;2;5;5;8;5;13;;8;;3;1;;;;1;1;1;;1;1;1;;;;;1;;;;;4;;;;;;;1;;;;;;7;1;1;;4;;2;1;;1;;;1;3;;;;;;;;;;;;;1;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;1;;1;1;;;;;;1;1;1;3;3;2;2;2;1;1;1;3;;2;1;;5;;2;1;;4;;1;1;1;1;;;;;;1;;;1;;;
33410-6547;10;5;;;;;2;7;4;51;2;5;;;14;28;16;5;5;5;5;10;4;31;1;4;;1;3;4;2;2;2;1;;;3;4;;1;;1;;;;1;14;;4;;;1;1;1;;3;;7;2;1;;;1;8;1;2;;1;;2;;2;3;1;1;1;1;;1;;;;;;;4;2;1;;;;;;;1;1;2;;;1;1;9;;;;;;3;2;1;;;;;1;3;;;2;3;1;2;2;1;4;4;2;;;3;5;3;2;1;1;1;2;;;;2;2;2;1;1;12;;2;1;1;;;2;1;1;1;;;;;;;
18344-4912;;;1;;;;1;2;;22;3;2;;;16;19;2;1;1;1;1;2;1;14;;7;5;;;;;1;;;;2;;;;2;2;1;;;;;12;2;9;3;2;3;3;1;;1;;;;;;;;3;;1;;1;4;3;3;1;1;2;2;2;8;;5;;3;2;2;;1;7;1;5;2;2;2;2;2;;4;1;3;1;;;;15;2;2;7;4;2;7;1;5;2;2;2;2;2;1;1;1;2;2;1;;;;2;1;1;;;1;;;;;;;1;;;;1;;;2;1;2;1;;;;4;;;;1;1;1;1;3;2;;;
