aluno;4>;5>;6>;7>;9>;11>;13>;14>;15>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;48>;49>;6>6>;9>11>;11>9>;11>14>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;15>31>;16>31>;16>31>14>;16>31>30>;16>31>30>30>;17>30>;17>30>14>;17>30>31>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>36>36>;36>37>;37>34>;37>38>;38>14>;38>33>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>14>31>;48>29>;48>29>48>;48>30>;48>30>30>;48>48>;48>48>48>;49>49>;
35937-4912;;1;;2;1;8;;64;;4;3;;;22;45;3;2;2;2;2;7;22;;2;;;1;;1;2;4;;;27;;9;1;2;1;;2;;4;1;;;;3;1;11;3;;;;;;4;;3;2;2;1;;1;;;3;1;1;;7;;3;1;1;1;;1;2;;5;2;1;1;;;;;2;2;;;;17;1;;7;;3;1;1;1;3;1;;;5;;1;;1;2;3;;;;2;1;;;;1;1;1;2;;1;1;;3;1;1;3;1;;;;;;;;;;;1;1;;
35709-5102;;;1;1;;;;37;;1;;;2;36;43;2;1;1;8;1;4;20;;6;4;;;;;;;2;2;14;;8;;2;;;1;1;4;2;;1;1;2;;7;;3;;;1;;1;;1;;;;;;;;3;;;1;19;2;11;6;4;4;2;2;2;1;7;;4;3;2;;;1;1;;;;;25;;;11;;6;3;2;2;5;3;1;1;12;;6;3;;1;3;2;1;;;1;;1;1;;;;5;1;1;;1;1;1;1;1;;5;;1;1;;;2;;2;1;1;1;3;
35876-4912;;;;1;1;4;;43;;3;2;;;16;35;4;3;3;4;3;4;26;1;2;1;;;1;;;2;1;;15;3;5;;2;;;2;2;;;2;2;;;;10;2;1;;;1;;3;1;2;;1;;1;1;;;1;;;1;4;;;;;;;;1;;8;2;5;;2;;;1;10;3;;1;;10;1;;2;;;;;;5;4;2;;1;;;;;;1;2;;;3;;;2;1;1;1;1;;;1;1;1;1;2;;4;;3;;1;;;;;;1;;1;;;
32107-5786;;;;;1;5;;24;;4;6;2;;37;33;1;3;3;6;3;8;27;;1;;;1;1;1;;1;;;10;;6;;1;;;;;1;1;;;;;;6;1;1;;;;;4;;3;1;5;1;1;1;;;3;1;;2;15;1;8;4;3;2;1;1;2;1;5;1;2;1;;1;3;;1;;;1;;18;;;6;;4;1;1;;2;;;;1;;1;1;;;1;1;;1;;1;1;1;;1;1;1;1;;2;2;;;2;;3;2;5;;;;;;;;1;;;;;
35880-6547;;;;1;1;2;;19;;;;;3;3;6;;;;;;1;10;;4;;;;1;;1;1;1;;5;;1;;;;;;;;;1;;;;;7;1;3;3;1;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;1;1;3;;3;2;2;;1;;;;;;;
35745-4912;;;9;1;1;2;;61;;3;5;;1;34;53;;1;1;5;1;3;19;1;5;;8;;1;1;1;1;8;2;33;4;13;3;5;4;2;1;;2;1;2;;;2;1;7;;;;1;;;3;1;2;1;2;1;;2;;;10;3;2;1;19;4;12;5;4;3;2;2;2;;4;2;1;;;;;;11;5;2;1;;21;4;2;12;1;10;5;4;3;2;1;;;6;;2;1;;;1;3;;3;;;;;;;;;1;;1;1;;2;1;1;2;;1;;;;;;1;;3;2;;;;
27548-6547;1;;;1;1;3;;22;1;2;1;1;3;11;16;7;;;;;;6;;6;;;1;;;;1;1;1;7;;1;;;;;;;;;;4;1;;;2;;;;1;;1;2;;;;;;;1;1;2;;;;;3;;1;1;;;;;;;1;;1;;;2;;2;;;;;1;4;;;;;;;;;1;1;;;1;;1;;;1;;3;1;1;2;3;2;;;;;;;;;;;;;;;;2;;;;;;3;1;2;1;1;1;;
31743-5102;;;2;1;;;;13;;2;1;;;13;16;2;3;2;9;3;8;4;;2;1;1;;;;;;1;;5;;4;;2;;;;;;;;;;1;;1;;;;1;;;2;1;1;;1;1;;;;;1;1;1;;4;;;;;;;;;;;;;;;;;;1;;;;;9;;;4;;;;;;;;;;2;;;;1;;1;1;;;1;1;1;1;;;;;6;5;2;2;;1;1;;;;2;;1;;;;;;;;1;;1;
31451-5102;;;;;;;;25;;3;;1;;9;14;;1;1;3;1;2;14;;;;;;;;;;;;6;;3;2;;;;;;;;;;;;;6;;1;;;;;3;;2;;;;;;1;;6;;;2;2;1;1;1;;;;;;;2;;2;1;;;2;;1;;;;;8;5;;2;1;1;1;;;1;1;;;1;;1;;;;;;;;;;;;;1;1;1;2;2;;;1;;1;;1;1;2;1;;;;;;;;;;;;
35729-4912;;;5;1;1;7;;56;;5;4;;;45;58;1;1;1;2;2;6;11;;3;;1;1;;;1;4;1;;19;3;7;2;1;;;;;1;1;;;;3;;2;;1;;;;;5;;1;;3;1;;1;;;9;5;2;2;15;2;6;2;1;1;;;1;;7;1;1;;;;;;4;1;;;;22;5;2;5;1;2;;;;2;;;;9;1;4;;;;2;1;;;;;;;;1;;;1;;;;;;;;2;;3;2;1;;1;;;;1;1;1;;;
