aluno;1>;2>;3>;5>;6>;7>;9>;11>;14>;15>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;6>6>;6>6>6>;6>6>6>6>;7>5>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;15>31>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>38>;31>41>;31>48>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>30>;48>48>;
35937-4912;1;6;1;1;;2;1;12;155;;5;17;3;;54;96;7;6;6;20;4;23;1;47;;1;2;;;;;;1;2;6;2;8;13;3;51;4;21;4;5;4;2;2;5;1;;;12;2;4;24;3;3;;;;;5;4;9;5;8;2;15;5;5;;10;1;6;3;1;1;;2;13;6;1;3;;;14;4;2;2;;37;6;3;10;6;3;1;1;8;3;7;;1;;1;1;3;;;6;1;;2;;2;2;3;2;8;1;2;2;;4;1;6;5;;;1;4;2;7;1;;;;;;1;
35709-5102;;5;2;;1;1;1;6;57;;1;;;2;48;62;2;2;2;10;2;6;;24;;;10;4;;;;;;;1;;2;2;2;27;;17;;5;2;1;5;4;2;;1;2;;;8;1;3;;;1;;1;1;;;;;3;;;1;26;2;14;7;4;4;2;5;14;5;4;2;;1;2;;;;;35;;;16;9;4;2;2;9;4;12;;6;3;;;6;2;;;1;;2;1;;;;;6;1;2;1;1;1;;;2;1;1;1;2;;6;;1;1;;2;2;1;
35876-4912;1;8;;;;3;1;6;80;;4;6;;;21;57;4;6;6;8;5;12;;52;1;1;3;1;1;;;;;1;4;1;3;2;;23;5;8;;2;;;4;;;3;2;2;1;1;20;2;4;1;;1;;4;2;1;;5;;2;;;1;7;1;;;;;;3;12;7;1;3;1;2;19;4;1;2;;15;1;;4;;;;;9;6;1;;;;;;2;3;;3;;;2;1;2;2;4;2;1;;1;1;2;4;1;;4;;1;;6;2;10;1;2;;;;2;1;
32107-5786;;6;1;;;2;1;7;55;;5;18;3;2;65;71;2;6;6;12;6;19;2;39;1;1;3;;1;;;;;1;1;;1;;;25;1;16;;3;;;1;1;1;;;2;;;9;1;2;;;;;5;3;10;4;8;;6;2;1;2;22;1;11;6;5;3;1;3;9;3;2;;4;;5;1;1;2;;38;;;11;6;2;2;;5;1;3;1;2;1;1;;1;2;2;;1;1;3;1;2;1;3;2;1;;4;3;1;1;1;2;5;;1;;4;2;7;;;;;;2;;
35880-6547;;3;;1;;2;1;2;36;;;;;3;11;14;;;;;;4;2;28;;;5;;;;;;1;;2;1;1;1;;7;;1;;;;;;1;1;1;;2;1;;15;2;5;4;1;;;;;;;;;3;;;2;1;;;;;;;;;;;;;;1;1;;;;7;3;;;;;;;;;1;;1;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;3;2;2;7;;4;2;2;1;;;
35745-4912;1;7;;;10;5;1;4;112;;3;10;2;1;53;81;;3;3;9;2;10;1;45;1;2;5;;1;8;5;4;;1;4;4;1;20;5;51;6;21;6;5;4;2;4;3;2;2;;5;3;2;19;1;2;;1;;;3;2;5;2;4;1;15;6;3;1;20;4;12;5;4;3;2;2;9;4;;3;;;20;8;3;2;;35;7;4;13;10;5;4;3;7;4;10;2;3;1;;;3;3;3;;;;1;1;;1;1;;2;1;2;1;;6;3;;3;1;;1;5;2;4;1;;;;1;3;;
27548-6547;;1;1;;;1;1;3;29;1;3;3;3;3;20;24;8;1;1;1;1;2;;8;;;6;;;;;;;;;;1;2;1;8;;1;;;;;;;;;5;;;;2;;;;1;;1;3;;2;;1;3;;;;;4;;2;2;;;;;2;1;;;;2;1;;;;1;8;;;1;1;1;;;1;1;2;;2;;;;;3;1;2;4;3;1;1;;;1;;;;1;;1;1;;;1;;;;;;2;;;;;3;2;1;
31743-5102;;2;;;2;3;1;3;31;;2;2;;1;16;25;2;5;4;13;3;20;1;8;;;4;2;;1;;;;;;;;1;;7;;4;;2;;;;;;;;9;5;1;3;;;;2;1;;2;1;1;1;1;;1;1;1;;6;;1;;;;;;1;;;;;;1;;;;;12;;;6;1;;;;1;;3;;;;1;1;2;1;;1;1;1;1;;;3;2;;9;7;2;2;;8;;1;3;1;1;1;2;1;2;;1;;;1;;1;
31451-5102;1;5;;;;;1;1;75;;4;5;2;;21;30;;3;3;9;2;9;;45;;1;;1;1;;;;;1;2;;;3;1;16;;7;4;;;;1;3;1;;;4;2;1;18;1;6;2;;;;3;2;2;;3;2;10;1;;2;4;1;3;3;;;;;3;2;1;;4;;3;1;;1;;15;8;1;4;3;3;;;2;1;5;1;4;2;2;;2;;;;;;;;1;1;2;1;4;2;1;;1;3;;;3;;;;2;2;12;1;4;1;;;;;
19653-6547;2;7;;;;;1;2;28;;2;9;1;;24;23;;6;6;6;6;9;;17;;3;1;;;;;;;;1;;1;;;8;;5;1;;;;;;;;;;;;7;1;2;1;;;;2;1;6;;3;1;3;1;1;2;3;;;;;;;;1;1;;;3;;;;;;;11;2;;;;;;;1;1;1;;;;;;2;;;;;;1;1;3;;2;2;1;;3;2;3;2;;2;4;;;1;2;;5;1;1;1;;;;;
