aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;47>;48>;49>;6>6>;8>7>;14>7>;14>8>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>42>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>31>;16>31>48>;17>30>;17>30>30>;17>31>;28>30>;29>4>;29>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>32>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;31>48>48>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>36>;37>38>;38>14>;38>33>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;47>48>;48>13>;48>14>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;49>14>;49>48>;
14884-4428;;;;;;;6;1;;;;5;5;1;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;3;;2;1;1;1;;2;;1;1;1;;;;;;;;;3;;;1;;;;2;1;;;;;;;;1;;;1;;1;;;;1;1;;;;;;;;;;;;;;1;;1;1;1;;;;;;;1;;;;;;;
31751-5102;;;;;;;19;2;;;;6;17;;1;1;1;1;3;;22;;;4;;;;;;1;;;6;;;1;;;;;;;1;;;1;4;;3;2;;;;2;;;;;;;;;;;;1;;;3;1;2;2;1;;;1;;;;;;;;;2;2;;;3;;;1;1;1;;1;;;;;;1;;;;1;1;3;;2;;;;;;;;1;1;1;1;;;;1;;1;;1;;8;1;3;1;;;;;;2;;1;;;;;
31176-4429;2;14;8;9;;2;81;6;19;2;2;50;62;22;2;2;3;2;5;1;39;6;;5;;5;8;;4;13;6;4;36;7;1;21;3;;;8;2;;2;2;2;1;20;3;2;;4;1;;6;1;4;;;17;2;2;2;1;;1;9;6;4;3;;;;;;1;23;3;14;14;12;7;5;7;;14;4;1;1;37;6;4;1;;;;20;14;13;11;6;;5;2;;11;1;;4;;2;;5;2;14;12;;;;;;;2;2;;;2;1;2;7;4;4;1;1;1;;2;1;1;;2;;;;;;;
34979-4912;1;8;1;3;2;;52;3;6;4;;47;62;11;;;;;;;22;2;;7;7;;1;;3;2;;1;25;1;;15;1;5;2;3;2;;;2;2;;8;1;1;1;2;1;2;3;1;2;;;3;1;3;;;;;8;5;3;11;2;7;;;;4;19;5;13;9;8;4;3;2;1;9;6;3;2;40;5;3;10;6;;;10;9;7;6;4;1;5;1;1;3;1;1;1;;;;3;2;5;4;;;;;;;;;;;;;1;1;1;4;;2;;;;1;;;;;;2;1;4;1;
31398-4224;;;1;;;;31;2;1;;1;15;23;1;2;2;4;2;6;;9;;1;1;;;;;;2;;1;12;;;6;;2;;1;;1;;1;1;3;1;;1;1;;1;;2;1;;1;;;;1;;;;;1;;;4;;;;;;1;2;;;;;;;;;2;1;1;;9;1;;3;;;;1;;;;;;4;;;;2;;;;;;;;1;1;;;2;2;2;;;;;1;2;1;;1;;5;1;4;2;1;;;1;;;;;;;;;
30609-4429;;3;1;;;;19;2;2;;1;6;13;;2;2;3;2;4;;14;;;2;;;;1;;1;1;;4;;;1;;;;;;1;;;;1;5;1;;;;;;2;;;2;;1;1;1;;;;;1;;;2;1;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;1;;;1;1;1;1;;;;;;;1;1;1;1;1;;1;;;;1;1;;2;;1;;;;;;;1;;1;;;;;;;
31467-4429;1;9;3;3;;12;29;3;1;;;15;23;14;2;1;2;1;2;2;8;3;;15;;;1;1;2;;;;2;1;;;;;;;;;;10;7;1;3;;;;2;6;;3;;2;;;;;1;;;;;2;;;4;;1;1;;;1;2;1;1;1;;;;1;1;3;;;1;10;1;;3;1;1;;1;1;1;;;1;1;1;;1;;;;;;;1;;9;5;;;1;1;1;;;;;;1;2;;;;1;;;;;10;;;;;;;5;;;;
31390-5102;;;;;;;4;1;;;;4;5;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;2;2;;;;;;;;;;;;;
35677-6547;;;;;;;15;1;;;;10;12;;;;;;;;7;;;;;;;;;;;;4;;;1;;;;1;;1;;;;;3;;;;;;;1;;;;;;;;;;;;2;1;1;5;1;2;1;;;1;4;;3;2;2;1;1;;;;;;;6;1;;2;1;1;;4;3;1;1;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32986-4428;;;;;;;10;1;1;;2;6;12;;3;3;5;3;6;1;14;;;4;1;;;;;2;;1;4;1;;1;;1;;;;1;1;;;;4;;2;;;;;;;;;;;;1;;;;1;;;;3;;;;;;1;1;;;;;;;;;1;;;;4;;;3;;;;;;;;;;2;1;;;2;1;3;2;;;;;;;1;1;1;2;1;;1;;1;1;1;3;;1;;5;1;1;;;;1;2;;;;;;;;1;
