aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
31692-4428;1;;;;;1;20;2;1;4;7;7;19;2;1;1;2;1;2;11;;1;9;1;;;2;1;7;;;;;;;1;;2;5;4;;;1;2;;;;;;2;1;;1;;;1;1;1;7;4;3;4;3;;;;;;;;;;;;;1;;;;;;1;;2;;3;1;;1;1;;;;;;;;;;1;3;;1;;3;8;7;;1;;1;;1;1;;;;;1;;1;1;1;1;;3;;2;2;1;;1;;;7;1;7;3;3;;;1;;1;;;
31836-4224;1;;;;;;50;6;4;1;5;28;47;3;3;3;19;3;13;16;;;9;2;;;4;2;26;6;12;5;;;2;;;;4;3;;;7;8;1;1;;;;6;1;3;1;3;1;1;;2;1;;;8;5;2;2;;1;;;;;;;;;7;1;2;;1;;1;;1;;9;1;1;;21;6;3;;;;;4;1;1;1;1;1;;;;8;4;2;1;1;2;1;1;1;2;;;;1;;;3;1;3;4;2;1;3;;;;;;;5;2;1;;;2;1;;;1;1;2;
32525-4428;3;;;;;8;10;2;1;;5;7;10;;;;;;1;11;;;8;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;1;;1;1;;1;;;;;1;;2;;;;1;
35709-5102;;1;1;;;;37;1;;;2;36;43;2;1;1;8;1;4;20;;;6;4;;;2;2;14;;8;;2;;1;4;2;;;;1;1;2;7;;3;;;1;1;;1;;;;;;;;;;3;;;19;2;11;6;4;4;2;2;2;1;;7;;4;3;2;1;;;1;1;1;;;;25;;;11;6;3;2;5;3;1;1;12;6;;1;3;2;1;;;;1;;1;1;;;;5;1;;1;1;;1;1;1;;5;;1;1;;;;2;;;;;2;1;1;1;1;1;3;
31636-4224;;;1;;;;39;4;2;;;41;45;3;2;1;7;1;7;16;;;14;2;;;4;1;15;;6;1;2;1;;4;3;;2;;;;1;2;;;;;1;4;;;;1;;1;;;;;;2;1;1;14;1;4;3;3;2;2;3;3;;1;9;1;;;;;;2;2;2;2;2;;;17;1;1;2;1;1;1;4;;;1;10;5;4;2;2;5;;1;;;;;;;;1;;;1;;;1;;1;3;;;1;;;;;2;1;;;;;;6;1;4;2;;1;1;
31861-4428;2;;;;;1;23;3;1;;4;13;27;7;2;2;3;2;6;12;;;7;3;;;1;;2;;;;;;;;;;;;;;3;4;;;;1;;3;;1;2;;;1;;1;;1;;1;;;6;;1;;;;;;1;;;2;;;;;;;;;;1;;;;6;;;4;;;;;;;;;;;1;2;5;2;2;1;;2;1;1;;;;;1;2;2;;1;;2;1;1;1;2;;;;;;;4;1;;1;;2;;;;;1;;
31805-4224;;;;1;;1;60;4;2;;;11;35;2;2;2;6;3;6;25;2;;5;5;;;11;4;20;3;1;;;;1;2;;3;2;;;;2;11;1;6;2;;3;4;;2;;1;;1;;;;;;1;;;5;;2;2;1;;;1;1;;;3;2;1;;;;;1;;;8;4;1;3;7;;;4;2;2;1;2;1;;;5;;1;;3;5;;;;;;;1;1;1;2;1;;1;;2;1;1;1;;7;2;12;3;3;2;;1;;;;;;;;;;;3;;;
31675-4428;;;;;;1;51;4;5;4;;34;43;3;1;1;2;1;4;18;;;19;2;;;3;1;22;1;12;2;5;2;;1;;;3;;;;1;6;;2;1;;2;4;;2;;4;;1;4;;;;;7;5;4;17;3;6;3;2;;;1;2;2;4;6;;4;2;1;1;1;2;9;8;2;;;;22;3;1;8;3;2;;2;2;;4;5;3;2;;1;5;;1;2;1;1;;;;;1;;;;;;1;;1;;1;1;4;;3;;1;2;1;;;;;;8;4;5;3;;1;1;
31759-4428;7;;;;;2;27;2;1;;13;5;21;4;;;;;;11;;1;15;3;;;;;10;;;;;;;1;;1;2;2;2;;;;;;;5;1;2;;;2;;;1;;2;1;3;2;1;;;;;;;;;;;;;;;;;;;;1;;;;3;1;;;1;;;;;;;;;;;1;;;;1;4;4;;4;2;;;;;;;;;;;;;;;;1;1;2;;;;;2;2;9;2;1;2;2;;;1;1;;2;;
30864-4428;1;;;;;1;62;3;2;1;1;22;39;1;3;3;3;3;6;25;;;11;5;;;1;;24;1;8;;1;1;;5;1;2;2;;1;;3;12;2;3;2;;3;2;;2;;1;;1;1;;;;;4;2;1;9;3;3;;;;;;;;1;1;;;;;;;;2;;4;1;1;;13;;;5;2;;;;;;;7;1;;;3;3;;2;;;;;1;1;1;1;1;;2;1;;1;1;3;;5;;6;1;2;1;;1;1;1;;;;;3;1;1;;1;3;4;
28651-4428;;;;;;;32;3;5;;;15;29;;2;2;4;2;9;8;;;;;;;;;19;;3;;;;1;3;;2;;;;;3;3;2;;;;;3;1;2;;3;1;2;;;;;;3;1;1;8;1;3;1;;;;;1;1;;4;;3;3;;;;;;;3;2;;1;9;;;6;1;;;2;1;;;5;;3;;2;;;;;;;;1;1;1;2;1;2;1;;1;2;2;;;5;1;4;2;2;;;;;;;;;;;;;;;;;
