aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
31692-4428;1;7;2;1;1;;2;1;1;3;1;53;2;3;4;10;10;32;2;3;3;5;2;10;;24;;1;12;2;;1;;;1;1;1;4;;2;6;1;11;;2;1;;;1;1;;5;;7;1;2;10;3;3;2;;1;2;;;;3;1;5;6;3;;1;1;;;;;;2;;;;2;4;2;1;4;1;;1;;;;1;;3;;1;;;7;10;9;;1;1;;2;1;;1;1;;;1;1;;1;4;2;1;3;1;;2;6;;9;2;6;1;;10;4;;1;;;1;
31636-4224;1;8;;3;;1;3;;1;5;;64;4;4;;1;43;54;3;5;3;11;2;18;;30;;1;25;4;;;;;;;;2;1;3;7;1;17;;6;1;2;1;;4;3;2;;5;2;;7;1;2;1;;1;4;;1;;3;;;2;1;1;15;1;4;3;3;2;3;9;;;2;2;3;2;;18;1;1;3;1;1;1;4;;10;5;4;2;1;2;5;;1;;;;;;;2;2;;1;2;1;1;;6;;1;3;5;;1;1;;3;;1;;2;;;6;7;2;1;2;
31836-4224;1;8;;1;2;;4;;1;3;;124;6;10;1;8;48;80;5;7;6;33;6;30;2;31;;1;16;2;4;2;;;2;1;1;6;3;;9;3;54;11;26;9;;;3;2;1;8;;13;4;2;17;1;2;;1;;6;3;6;3;4;;;15;6;2;2;;1;;;;;8;2;1;;1;16;4;1;36;11;3;;;;;5;1;3;2;;1;;;12;7;2;3;2;1;2;1;2;2;2;;1;1;;1;1;9;5;;7;8;2;;2;1;4;;;;1;8;;2;;;1;2;
32525-4428;1;8;5;3;;;;;;;13;18;2;3;;5;7;13;;3;3;3;2;5;2;15;;1;8;2;;;;;;;;;;;1;;1;;;;;;;;;;;;;;3;;;;;;2;;;;3;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;4;;;;;1;;;;;;;1;1;1;1;1;;;1;;;;;;;;;;;;;2;;1;;1;1;;1;2;;;1;
35709-5102;;5;2;;;1;1;;1;6;;57;1;;;2;48;62;2;2;2;10;2;6;;24;;;10;4;;;;;;1;;1;;2;2;2;27;;17;;5;2;5;4;2;;1;2;;;8;1;3;;;1;1;1;;;;;;3;;;26;2;14;7;4;4;5;14;5;2;;1;2;;;35;;;16;9;4;2;9;4;12;6;;1;;6;2;1;;;1;;2;1;;;;;6;2;;1;1;1;;;2;1;1;1;2;;6;;1;1;;2;;2;1;1;1;3;
31861-4428;;6;1;2;;;2;;;1;1;48;3;3;;4;18;39;8;6;6;9;4;16;;34;1;1;8;3;1;;;;;;;2;1;1;3;;2;;;;;;;;;;1;6;;2;12;1;1;1;1;;3;1;;;3;;1;2;;;8;1;1;;;;1;3;;;1;;2;;;9;;;6;;;;;;;;;1;1;2;6;2;3;1;3;2;3;;1;2;2;1;1;2;3;3;;2;;1;5;1;1;1;3;1;5;;2;1;;4;1;3;;;1;;
31805-4224;1;12;2;;;;2;1;1;6;1;110;4;6;1;;16;55;2;7;7;13;7;20;;40;2;1;6;5;3;;;;;;2;7;;2;25;5;28;3;3;;;;1;2;;2;;7;3;;20;2;12;5;;3;4;2;2;2;4;;;3;;;5;;2;2;1;;1;3;1;;2;;13;4;6;11;1;;4;2;2;1;2;1;5;;1;;1;3;5;;;;;;2;1;2;3;4;2;3;3;1;2;2;6;1;;4;;2;1;8;2;20;3;7;4;2;;;;1;1;;;
31675-4428;1;9;;;2;8;6;;1;8;1;103;5;11;7;1;39;86;4;4;4;16;6;17;3;38;;1;37;2;2;2;6;6;;1;2;5;3;5;6;1;43;2;13;2;5;2;;1;;5;1;8;;2;9;;3;2;1;2;5;2;5;2;6;4;;7;5;4;17;3;6;3;2;;2;7;5;1;2;10;6;2;1;24;3;1;8;3;2;;3;3;11;3;4;;4;3;7;;1;2;1;;1;;;1;3;;6;1;1;1;;4;;2;3;1;3;;4;1;11;1;8;2;7;1;;9;10;5;1;1;
31759-4428;;;;7;;;;;1;1;2;43;2;2;;13;9;25;6;2;2;3;2;8;;20;;;15;3;;;;;;1;;;;1;;;13;;1;;;;;2;;2;3;2;1;;2;;;;5;1;2;;1;;1;;3;1;;;;;;;;;;;;;;;3;1;;3;;;;;;;;;2;;;;;1;4;4;;4;;;1;1;;1;2;;1;1;1;;1;2;1;;1;3;;;1;1;4;;2;;2;9;2;;1;1;2;;
28651-4428;1;19;;;1;;1;;1;3;;91;6;12;;;23;60;;6;6;11;7;36;;19;;1;1;;2;1;;;1;1;1;7;;1;;;32;;4;;;;1;7;;1;;18;2;;7;3;2;;;;6;2;4;3;8;;;4;1;1;10;1;4;1;;;1;6;5;;1;1;8;3;2;15;;;7;1;;;4;3;9;1;4;;7;3;1;;1;;;;4;2;2;;4;2;2;3;4;1;2;5;4;6;2;1;3;;7;2;11;4;6;1;;;;1;;;;;
