aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>41>;2>14>;2>14>2>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>3>;14>3>2>;14>7>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30>48>30>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>31>;32>31>30>;41>2>;41>2>2>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
36337-5469;1;18;10;;7;2;39;4;3;;16;24;10;;19;1;2;;3;1;;3;;;2;1;1;1;2;9;;2;1;;;2;;2;;1;;;5;4;2;3;;6;;3;;2;1;1;1;;;5;;;2;1;;4;1;3;;;;3;1;;;;2;2;6;;1;4;1;2;2;2;1;1;;;;;;;;;;;;;10;2;1;1;5;3;2;2;2;1;1;;;;3;1;1;;1;1;9;4;;;2;;;;4;;;1;;;;;2;;;;;;
15217-7098;1;7;4;;;1;16;2;3;;12;12;1;2;4;1;;;1;1;;1;;1;2;2;;;;1;;;;;;;;4;;1;1;1;3;1;1;;;4;;4;;3;1;;;;;;;;;;;2;;3;1;;;2;1;;;;1;1;6;;1;2;;1;;;;;;;;2;1;;;;;1;2;;10;;1;1;6;2;1;;;;;1;;;1;1;2;1;;;1;1;;;;1;1;1;1;;1;;;;;;;;;;;;
36466-7118;;6;;1;;1;8;1;4;;15;14;;1;15;;;;1;;1;;;;;;;;2;;1;;;1;1;;;2;1;;;;;;;;;4;;3;;;;;;;;;;;;;;1;1;4;;1;;;;;;;1;1;2;;;1;;;;;;;;;;1;1;;;;;1;;;8;;1;1;1;1;;;;;;1;1;;1;;2;;;;;;;;;1;1;;2;;;;;;;;;;;;;;
35981-5388;;8;;;8;2;40;1;5;;24;33;;1;4;;3;1;;;;;;;1;1;;;;;;;;;;1;;5;;;1;1;;;1;;;28;;13;;4;1;;;1;;2;;1;;;;1;1;5;;2;1;1;;1;1;;1;1;8;1;;4;;2;1;1;;;;;1;;;;;1;;1;;;15;;1;1;4;1;;;;;;;;;1;;;;1;1;;;;;;1;;;;;;;;;;;1;;;1;;1;
36435-7118;1;25;;2;6;7;50;2;7;;39;31;;1;34;1;5;;9;2;;;;;6;3;1;;1;;1;;;2;1;1;;11;4;;3;1;;;4;1;;11;;8;;1;;;;1;;10;2;1;3;1;;2;1;6;;1;1;1;;;;;1;1;7;;;2;;;;;;;;1;1;1;;;3;2;;;1;;20;1;1;1;2;;;;;;;1;;;2;1;1;;1;1;;;3;2;1;2;2;;9;;;3;1;1;;;1;;;;;;
35890-5468;1;11;;;7;2;70;;4;;52;52;;3;20;1;4;2;2;;;3;;2;;;;;1;;;;;;;1;;6;1;1;;;;;;1;;42;;35;;19;9;4;2;2;;12;1;4;1;;2;;;4;1;;4;9;1;3;3;2;1;1;28;3;6;12;4;6;4;1;;;;3;1;2;2;2;3;1;1;;1;;43;1;1;1;25;11;5;3;1;;;1;1;;2;2;;;2;;;;1;;1;5;1;;2;;;;;;1;;1;;1;1;1;;
29688-6398;1;12;;;;;16;1;;;5;5;;;9;1;;;1;;;1;;;;;;;;;;;;;;;;4;1;;;;;;;;;1;;1;;;;;;;;5;1;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
36267-5468;;5;4;1;;3;21;;1;;5;6;;;4;;1;1;;;;;;;;;;;;2;;;;;;;;1;;;;;2;1;1;;;1;;;;;;;;;;3;;1;;;;;;1;;1;;2;1;;;;;;2;;1;;;;;;;;;;;;;;;;;;1;1;2;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;1;;;
35760-5469;;7;1;3;2;5;31;1;2;5;26;25;;;28;;19;;1;1;;;;;3;1;1;1;2;;2;1;;3;2;1;1;2;;;;;1;;1;1;;11;;5;;1;;;;1;;4;;;1;;;1;1;2;;1;;1;;;;;1;1;11;;1;5;;4;3;3;3;2;2;;3;4;2;1;;9;1;1;;;15;;;;5;3;3;2;2;2;2;1;;7;1;1;1;1;4;1;;;2;1;2;2;2;;8;;1;5;2;1;1;5;2;8;;;;;
36004-7118;;10;2;;;1;18;2;4;;18;19;;;15;;2;1;;;;;;;;;;;1;;;;;;;;1;4;;;;;;;;1;;7;;4;;4;2;1;;;;8;;2;1;;;2;2;4;;3;;1;1;;;;1;1;12;;1;7;1;4;3;1;1;1;3;3;;6;4;1;3;;;;4;1;14;;;;8;5;2;1;;;;5;3;;;;1;;2;;;;2;;;3;1;;2;;1;1;1;1;1;;;2;;1;;1;
