aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
36337-5469;5;44;21;;7;2;85;7;4;;28;43;15;2;1;3;8;2;45;4;3;;1;3;3;2;1;9;7;3;1;1;5;1;1;19;;2;;;2;8;;1;;1;11;9;2;5;11;4;;2;1;1;;2;1;12;3;1;2;1;;7;2;4;;1;1;6;2;;;1;2;2;12;3;5;1;2;2;2;1;;;;;;;;;1;17;2;1;1;8;4;2;2;2;1;;;;4;2;1;1;12;1;;1;2;1;2;1;1;;;;3;1;1;;3;4;1;1;;9;;1;;;1;;3;;2;;;;
15217-7098;2;11;8;;;2;30;2;3;;14;17;1;3;2;22;8;1;19;2;1;1;1;1;1;1;;4;2;2;2;;1;1;1;3;;;;;;6;1;1;1;;4;2;2;1;5;5;;3;1;;;;;6;;;1;;;2;;3;1;;;2;1;;;;1;1;7;1;2;;1;;;;;;1;2;1;;1;1;2;12;;1;1;7;2;1;;;;1;;;1;1;4;;1;;1;2;14;1;7;5;2;1;;2;;2;1;2;;1;2;2;1;5;1;1;1;;2;;1;;;;;1;
36466-7118;1;10;;2;4;4;50;2;16;1;62;61;;2;2;31;13;;58;3;4;3;;1;1;1;1;1;;1;;;2;;;;2;4;2;2;1;3;1;;1;;;;1;;20;12;;;;;2;3;;7;1;;2;;1;2;1;14;;8;;;;;;;2;2;17;;7;;2;2;1;;1;;;5;2;4;;1;1;36;;1;1;6;4;2;2;1;;3;1;;8;4;9;;;2;2;2;9;1;3;1;;;;;1;1;3;3;1;;3;2;1;11;;;;;;;1;;;;3;1;
35981-5388;2;20;;;10;5;73;1;8;;42;48;1;1;1;10;7;;28;3;4;1;1;1;1;2;1;1;;2;2;;5;2;2;;;1;;;1;8;;;1;2;;;3;;36;19;;5;2;;1;3;1;7;;1;1;;;1;1;7;;2;2;1;;1;1;;2;2;11;;5;;2;1;1;;;1;1;;;2;1;1;;27;;1;1;7;2;;;;;;;;1;;;1;;;1;1;4;;3;2;1;;;1;;1;3;1;;;3;2;1;2;;;;;2;1;1;;1;;;1;
36435-7118;3;36;4;3;11;9;112;3;19;;94;75;;3;1;34;23;;78;3;7;;2;2;1;2;2;12;;7;3;1;2;1;1;1;2;3;3;2;1;18;6;;4;;1;1;5;1;36;30;;8;5;;2;4;1;19;2;2;4;1;;3;1;18;1;5;1;2;;;;;2;2;24;;12;;3;3;3;3;1;1;1;2;;7;4;;2;56;1;2;2;12;6;1;1;1;1;1;;;4;3;4;1;;1;2;1;17;1;10;6;2;1;;1;;3;8;3;5;1;3;2;1;17;;5;1;1;2;2;1;;2;;;;
35890-5468;3;31;;1;9;7;172;;5;;90;106;;4;3;7;26;;54;3;8;4;2;2;2;2;2;2;4;10;6;3;1;2;2;;;2;1;;1;19;1;1;5;1;;;2;3;78;54;;30;15;9;9;14;2;30;1;6;4;;4;;;5;1;;5;19;3;6;5;3;2;2;51;14;24;8;16;9;3;2;3;4;1;7;4;6;2;2;4;79;2;1;1;47;23;15;8;3;2;3;1;1;9;6;2;4;;;;1;;;;;;;;2;4;4;4;1;1;1;7;2;1;6;;;;;2;2;2;2;1;;2;2;
29688-6398;2;17;;1;;1;43;1;;;5;5;;1;1;2;5;;20;2;;1;2;1;1;;;1;1;;;;2;2;2;;1;;1;1;;6;1;;;;;;;;1;1;;;;;;3;1;11;1;;1;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;2;;2;2;2;1;1;1;;1;1;;1;1;;;;2;;;;;2;1;1;;;;;1;
36267-5468;2;10;6;1;;3;35;;1;;5;6;;3;2;7;3;2;9;2;4;4;;2;2;1;1;;2;;;;;;;2;;;;;;4;;2;;;3;1;1;1;1;;;;;;;1;;4;;1;;;1;;;1;;1;;2;1;;;;;;2;1;;;;;;;;;;;;;;;1;2;;;;1;;;;;;;;;;;;;;1;;2;4;2;3;1;1;1;1;1;1;3;;;;;1;;;2;;1;;;;;2;1;1;2;3;3;
36004-7118;2;15;2;;;3;34;2;8;;31;29;;;;;4;;26;2;4;1;1;1;1;2;1;;2;1;;;2;1;1;;;;;;;7;;1;1;1;;;1;2;11;7;;7;3;2;;2;;11;;2;1;;;2;2;8;2;3;;5;1;2;1;;3;3;22;2;12;2;8;6;3;3;4;3;1;8;6;4;1;;4;23;1;;;16;10;6;4;2;2;5;3;;1;1;1;2;;;;;;;;;;;;;;;;1;2;;4;2;;3;1;2;2;2;1;1;1;1;;3;;1;
35760-5469;;12;2;4;5;8;51;2;2;5;32;33;;1;1;4;6;;45;1;27;2;;;;;;1;;4;1;1;2;;;1;3;1;4;3;3;3;;;1;1;2;1;1;1;13;6;;1;;;1;2;;8;;;2;;1;1;1;2;;1;;1;;;;;1;1;14;1;8;;6;4;4;4;2;;4;4;2;;10;1;;19;;;;6;4;3;2;2;2;1;;7;1;1;1;4;;;1;;3;;3;2;2;2;2;1;;;;;3;2;2;2;;12;1;7;2;1;;;;1;4;11;;1;
