aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>14>41>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>36>;34>38>;36>14>;36>34>;36>34>38>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;39>38>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
31481-4604;7;21;;4;27;9;90;1;2;1;35;35;;1;1;13;12;;50;7;16;7;3;5;5;2;1;4;3;2;1;;1;3;2;;4;12;4;4;4;2;9;;;;;;1;3;12;1;4;;2;1;;2;;7;5;23;;1;3;;4;;1;1;2;;;;8;3;2;1;1;18;5;15;4;8;6;5;3;6;1;8;6;1;1;;5;20;2;11;9;6;6;5;;;;2;1;2;2;;;;;3;;;4;2;2;1;;;1;2;;6;;;1;2;1;;1;7;;1;;3;2;6;;1;2;3;5;;;
18187-4605;3;21;;5;15;5;101;3;3;;26;42;;2;1;12;17;;34;4;25;28;;3;3;2;2;5;3;;5;;1;;;;3;5;3;2;2;3;8;3;1;;;;4;2;19;;7;;2;1;1;3;;4;3;13;2;;2;1;19;17;3;1;3;;1;;2;;;1;1;9;1;5;;4;3;2;1;1;;2;1;2;;2;1;15;;4;2;2;2;2;;;;6;2;6;1;;;;1;;1;1;4;;;;;;;1;2;8;1;;5;;2;1;3;11;1;4;1;;;3;;;;;13;23;11;
28454-4605;3;28;;;;1;98;2;1;;19;40;;2;1;9;11;;42;3;7;;2;1;1;1;1;4;1;;1;1;1;2;2;;;;;;;;12;2;1;1;;;1;4;26;1;8;;2;2;1;1;;4;;15;1;;2;;;;2;1;1;1;;4;2;1;1;1;1;7;1;6;1;5;1;1;1;;3;2;2;7;;3;3;18;;6;5;4;1;1;;;;2;2;7;2;;;1;;;1;;;;;;;;1;3;2;;1;;2;;2;2;4;6;;2;1;2;2;1;2;;2;;;;;
15217-7098;2;11;8;;;2;30;2;3;;14;17;1;3;2;22;8;1;19;2;1;1;1;1;1;1;;4;2;1;2;2;1;1;1;3;;;;;;;6;1;1;1;4;2;2;1;5;;5;;3;1;;;1;;;6;;;1;;;;2;;3;1;;;2;;;1;1;7;1;2;;1;;;;;;2;1;;1;1;2;12;;7;2;1;;;1;;;1;1;4;;1;1;1;;1;2;;14;7;5;2;1;;2;;2;1;2;1;;1;2;2;1;5;1;1;1;2;;1;;;;;;1;;
36466-7118;1;10;;2;4;4;50;2;16;1;62;61;;2;2;31;13;;58;3;4;3;;1;1;1;1;1;;;1;;2;;;;2;4;1;2;2;1;3;1;;1;;;1;;20;;12;;;;;2;;3;;7;1;;2;;1;;2;1;14;;8;;;;;2;2;17;;7;;2;2;1;;1;;5;2;4;;1;1;36;;6;4;2;2;1;3;1;;8;4;9;;;;;2;2;2;2;9;3;1;;;;;1;1;3;3;;1;;3;2;1;11;;;;;;1;;;;;3;1;1;
25130-4130;2;8;1;;;1;29;1;1;1;20;16;2;1;1;6;4;;32;2;11;;2;1;1;1;;;;;;;2;2;2;;;;;;;;5;;;;;;;1;5;;;;;;;1;1;2;;10;1;1;;;;;1;1;1;;;;2;1;;;;8;1;2;;1;1;1;1;1;1;1;;2;3;;;9;1;6;2;1;1;1;;;;1;;1;4;1;1;1;;;;;4;2;2;2;2;1;1;;1;;;;2;;3;3;;5;2;2;1;2;2;1;2;1;5;3;;;;
36435-7118;3;36;4;3;11;9;112;3;19;;94;75;;3;1;34;23;;78;3;7;;2;2;1;2;2;12;;;7;3;2;1;1;1;2;3;2;3;2;1;18;6;;4;1;1;5;1;36;;30;;8;5;;2;;4;1;19;2;2;4;1;;;3;1;18;1;5;1;2;;;2;2;24;;12;;3;3;3;3;1;1;2;;7;4;;2;56;1;12;6;1;1;1;1;;;4;3;4;1;;;;1;2;1;1;17;10;6;2;1;;1;;3;8;3;;5;1;3;2;1;17;;5;1;2;2;1;;;2;;;;;
30983-4604;3;22;1;;10;2;51;1;;1;16;20;1;1;1;1;7;1;32;3;5;;2;2;2;2;2;4;2;;2;2;1;2;2;;;3;1;;;1;13;2;;;;;1;2;8;;4;;3;1;1;;;;;13;;3;2;;;;1;;;;;2;3;;1;;;6;1;4;1;2;1;1;1;;;;;1;1;;1;9;1;5;3;2;1;1;;;;;;1;4;;;;1;;;;;;;;;;;;1;1;;;;2;6;2;1;8;;1;;2;2;2;1;1;3;;;;;
29688-6398;2;17;;1;;1;43;1;;;5;5;;1;1;2;5;;20;2;;1;2;1;1;;;1;1;;;;2;2;2;;1;;;1;1;;6;1;;;;;;;1;;1;;;;;;;3;1;11;1;;1;;;;1;;;;;;;;;;;1;;;;;;;;1;;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;2;2;2;2;1;1;1;;1;1;;;1;1;;;;2;;;;2;1;1;;;;;;1;;
28169-4605;4;16;;;1;1;75;2;5;;32;49;;2;2;11;9;;46;5;4;1;3;1;1;2;1;3;6;1;4;3;;3;3;;;;;;;;6;1;3;1;;;;13;31;13;16;;1;;;2;;3;;16;;2;1;;;;2;1;5;4;1;1;6;;;1;1;6;1;;;;;;;;3;11;8;8;;;18;29;1;5;;;;;10;7;;2;;4;2;;;1;1;1;1;1;3;;;;;;1;2;2;;1;;1;2;2;1;2;7;;2;;3;2;2;2;;;;1;1;;
