aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;3>2>;3>2>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31>48>30>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>49>;
37448-5469;1;3;;1;4;2;;5;;;1;4;3;;4;;1;5;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;1;1;;;;;;;;;;;;2;;2;1;1;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
31698-5714;2;11;;;;;;12;1;;;4;8;;7;;2;1;;4;2;1;;;;;;2;1;;1;;;;;;;;;;;;;6;2;;;;1;;;;;;;3;;1;;;;;1;;;;1;;;1;;;1;1;;;;2;1;1;;;;1;1;1;1;;;;;;;;1;;;;3;;1;1;1;;;;;1;;;2;;;;;;;1;;;1;;2;;1;;;;;;;;;;;
31543-6398;;3;;;;1;;8;1;1;;13;10;;5;;;1;;;;;;;;;;1;;;2;;;;;;;;;;;;1;1;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;1;;1;;1;;;;;;;3;;2;1;;;;;;;1;;;;;7;;2;1;1;;;;1;;2;1;1;1;;;;;;;;;1;1;1;;;1;;;;;;;;;;
31753-5714;;6;;;;1;;13;;1;;7;11;;15;;;1;;1;;;;1;;;;3;;;1;1;;;;;;;;;;;1;3;1;;1;;1;;;1;;;1;5;;2;;1;;;1;;;;2;;;1;;;;;1;;1;;;;;;;1;;;;;;;;;;1;;1;;;3;;1;;;;;;;;;;3;1;1;;;;;1;;;1;1;5;1;;2;1;;;;1;;;;;
24794-4130;1;5;;1;5;3;;11;1;;;5;7;;5;;1;;1;;;;;3;1;;;;;;;;;;;1;;;1;1;1;;1;4;;3;;;;;;2;1;1;;3;2;1;;;;;;;;;4;;;;;1;1;1;;;;2;1;1;;;;;;;;;;;2;1;;;;;3;1;5;2;;;;;2;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;1;
22611-4130;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31964-4605;;;;;;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;
15073-5714;1;4;1;;;;;12;;1;;4;6;;2;;1;;;;;;1;3;1;1;;;;;;;;;1;;;;;;;;;4;;3;;;;;;;;;;6;2;2;;;;;;;;;2;;;2;;;;;1;1;;3;1;2;;;;;;;;;;;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;
35642-5469;1;6;;;;1;;15;2;4;;12;14;1;9;;1;2;;1;;;;;;;;3;2;;1;;;;;;;;;;;;1;1;;;1;1;;;;;;;1;5;;1;;;;;;;;;2;;1;1;;;2;;4;;1;2;;1;;2;2;3;;1;;;;;1;1;;;1;;;;8;2;2;;;;;;;1;2;2;4;1;1;;;;;1;1;;2;1;3;;;;;;;;2;;;;;
19683-4605;;6;1;1;;2;;21;;1;;3;3;;1;;;2;1;3;1;1;;;;;;1;1;;;;1;1;;1;;;;;;;;3;1;;;;;1;1;1;;;4;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;1;;1;;;;;;;;;1;;;;2;;1;1;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;1;;1;1;1;
