aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;24>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>41>;2 14>41>41>;2 14 41>;2 41>;3>2>;3 14>;5 14>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;6>6>6>6>6>6>;6>14>;6>41>;6 14>;6 41>;6 48>;7>5>;7>14>;7 14>;7 41>;8>7>;8>7>5>;8 14>;8 41>;14>2>;14>2>1>;14>3>;14>3>2>;14>7>;14>8>;14>8>7>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>31>;14>31>48>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>31>;14>41>41>41>;14>41>43>;14>42>;14>43>;14>43>44>;14>49>;14>49>48>;14>49>48>29>;14 29>;14 30>;14 31>;14 31>31>;14 31 41>;14 31 48>;14 32>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;14 49>;16>31>;16>31>14>;16 30>;16 30>31>;16 31>;16 31>31>;29>14>;29>30>;29>30>14>;29>48>;29>48>29>;30>14>;30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>32>;30>48>;30>48>29>;30 31>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>30>32>;31>30>48>;31>31>;31>31>30>;31>32>;31>32>31>;31>41>;31>48>;31>48>29>;31>48>29>30>;31>48>48>;31 41>;31 48>;32>14>;32>31>;32>31>30>;41>2>;41>6>;41>14>;41>31>;41>31>14>;41>31>30>;41>31>48>;41>31>48>29>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>49>;41 43>;41 48>;41 49>;43>14>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>43>;44>43>44>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;44>44>44>45>;44>44>44>45>43>;44>44>45>;44>44>45>43>;44>45>;44>45>43>;45>43>;45>43>44>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>29>14>;48>29>30>;48>29>30>14>;48>29>48>;48>29>48>29>;48>48>;49>14>;49>48>;49>48>29>;49>49>;49>49>14>;49>49>49>;49>49>49>14>;
17491-4917;3;11;5;1;2;2;3;22;2;;;6;7;4;15;;2;1;;3;6;2;1;;;;;;2;;1;;2;2;6;;;2;4;2;1;1;1;1;;;;;;1;1;;;;;1;1;;;;1;;3;2;;2;;2;;1;1;;;;1;1;1;;;;;;1;1;;;;;2;1;;;1;1;6;1;;;;;;3;;2;;;;1;1;;;;;;2;;1;;;;1;1;;1;;2;;3;2;;1;1;;3;1;1;1;1;;;;;;1;;4;3;1;;;;;;;;2;;;;;;;;;;;;1;1;2;1;;1;1;;;;1;1;;;1;1;1;1;;;;;;;;;2;1;;;;;;;;;1;1;;;2;1;2;1;
15016-4433;;;;;;;;1;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;1;1;1;1;;;;;;;1;;1;;;1;1;;;1;1;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;
22977-5799;1;1;;;6;1;;7;;;;;1;;9;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;3;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12626-7114;1;3;1;;;1;2;16;3;;;5;8;3;11;;1;1;;1;3;1;;;;;;;;;1;;1;1;2;1;;;;;;;;;;;;;;;;;;1;;;1;;1;1;1;;;;;1;1;;;3;;;2;;;;1;;;;;;;;;;;;1;3;1;1;;;6;1;;;;;1;;;3;1;2;2;1;1;;;;;;;2;2;2;1;1;1;1;;1;;2;2;1;;;1;;;4;;;;1;1;;;1;2;;1;;;1;;2;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;
17228-6401;1;2;2;;7;1;;4;;;;1;1;1;5;;;;;1;;;;1;;1;1;;1;1;;;;;1;;;;1;1;;;2;1;1;1;1;1;2;;2;;;;;;;;;;;;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;;;;1;1;;;;;;1;;;1;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22433-4434;2;6;1;;2;;1;13;1;;7;5;5;1;5;;;;;2;8;3;1;;;;;1;;;1;1;2;2;4;1;1;;1;;1;;;;;;;;;;1;1;;;;;;;1;;1;;;;;;;;;2;;;2;;1;1;2;2;2;1;;;;;2;2;2;1;1;1;1;;;;;;;;;;;2;1;1;1;1;1;;;1;2;1;2;1;1;1;2;1;;;;1;;;;1;;1;;;;;1;2;;;;;2;1;1;1;;;;1;;;;;2;1;1;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;5;1;2;1;2;1;2;;3;3;;;;;
22612-4603;;3;;;;;;4;;;;2;1;;2;;1;4;;;;;;;;;;;;;;;;;3;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13346-4434;;;;;;;;3;;;;;;;4;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21629-5061;1;7;3;;11;2;1;26;;;;6;8;3;20;;11;12;2;1;;;1;;;1;;;2;;;;;;3;;;;;1;;;3;1;1;;;1;1;3;1;;;;1;;1;;;;1;;;;;;;1;;2;;1;;;2;;4;1;;;1;;1;;;;;;1;3;;1;;;8;;;2;1;1;5;;;;;;;;;;;;;;;1;4;;2;2;;;;1;;;;4;;1;4;;;1;1;1;1;2;;;;;1;;1;1;;;;;1;;;;;5;;;2;1;1;;2;1;3;2;2;;5;;;;5;1;3;2;2;2;1;;;3;;2;2;1;1;1;1;2;1;1;1;1;1;;;;;;;;;;;;;;;;;
22271-4917;;1;;2;3;4;2;6;;;3;2;1;1;4;;2;3;;;5;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;1;1;2;;;;1;1;1;;;;;;1;;;1;1;;;;;;1;;1;;;;;;1;1;1;1;1;;;;;;;;;;;;;;1;2;;;;;;;;;2;1;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;1;;;1;1;2;1;;1;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;1;;;;;1;1;;;;;
