aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;24>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;2 14>;2 14>41>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5>14>;5 14>;6>6>;6>6>6>;6>41>;6 14>;6 41>;7>5>;7 14>;7 41>;8>7>;8>7>5>;8 14>;14>2>;14>2>46>;14>2>46>1>;14>3>;14>3>2>;14>3>14>;14>7>;14>8>;14>8>7>;14>14>;14>31>;14>31>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>49>;14>49>48>;14 30>;14 31>;14 31>31>;14 31 41>;14 32>;14 41>;14 41>2>;14 41>41>;14 43>;14 44>;14 48>;14 49>;16>31>;16 31>;29>30>;29>48>;30>14>;30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>48>;30 41>;31>14>;31>14>31>;31>30>;31>30>30>;31>30>31>;31>31>;31>41>;31>48>;31>48>29>;31 41>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>14>41>;41>31>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41 43>;41 48>;43>14>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;44>45>;45>43>;45>43>44>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>29>30>;48>29>48>;48>48>;49>14>;49>48>;49>49>;49>49>49>;
17491-4917;4;23;12;;1;1;3;31;1;;;4;4;5;20;;;;;5;;3;1;1;;;;1;2;4;4;3;2;1;13;1;5;7;4;2;2;;;;;;;;;;;;;;3;1;1;7;2;2;;2;;3;;;;2;1;3;2;;;;;;1;;;;2;11;2;;;;;;1;1;;;2;;1;;;1;;;;;3;;1;1;1;;;;;3;3;4;;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;1;1;
23668-5490;1;10;10;1;;3;6;27;;2;5;3;7;3;23;1;3;4;3;1;8;5;1;;;;;;1;4;2;;;;3;1;;;3;2;3;1;;;;;;;1;;1;2;1;1;4;;;5;2;1;;5;2;4;3;1;;;;4;1;;;;2;1;;;;;1;9;1;1;;;1;1;;;;3;;;3;1;1;1;;;3;2;3;;3;1;;2;;2;;1;;3;1;1;1;4;1;1;;;;;;1;1;;;1;;3;2;;;;3;1;;;;;;1;2;2;;;;4;3;;2;2;1;3;;;
15016-4433;;;;;;;;3;1;1;;;3;2;2;2;2;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;1;;;;;;;;1;1;;;;;2;;1;;;2;;;1;1;;;;;;;;;;;;;;;;;;
22977-5799;1;4;;2;1;3;2;16;1;1;2;3;3;1;13;;;;;1;3;2;;1;;1;1;;;;;;;;2;;1;2;;;;;1;;;;1;1;;;1;2;;;1;;;;;;;2;2;2;;;;;;;;;;;;;;1;;;;6;;;;;;1;1;;;;;1;;;;;1;1;;;;;;;;1;1;1;;1;;;2;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;1;
12626-7114;1;3;2;;;1;2;17;2;;;4;5;3;12;;4;6;;1;2;1;;;;;;;;;1;1;1;;2;1;;;;;1;;;;;;;;;;;1;;1;1;1;1;;;;;1;1;;2;;1;;;2;1;1;1;;;;1;2;1;;;6;1;;2;3;;;2;1;;;;2;1;1;1;1;1;;1;1;1;;1;3;1;;;1;1;;;1;1;;;2;;2;;;;;1;1;;;2;;1;;;;;;1;1;;1;1;1;;;;;1;;;;;;;;;;;;
17228-6401;3;6;9;1;2;3;2;18;1;;;1;7;3;14;1;3;4;1;2;5;2;;2;1;1;1;;3;;;1;;;2;;1;1;3;3;2;1;1;1;1;;1;1;;;2;1;;;;;;5;2;3;;1;;4;2;;1;2;1;4;;;1;1;;;;1;;1;;6;;;;1;3;;1;;;;;;;;;;1;;4;;1;;;2;1;;;1;1;2;;;;;3;;;;;;;;;1;1;;1;3;;3;2;1;1;1;2;1;;1;1;1;1;;1;1;;;1;;;;;1;1;;2;2;
22433-4434;1;8;;;5;2;3;16;;;2;3;3;;16;;2;3;;1;3;1;1;;;;;;;2;;1;1;1;4;;;;;;;;;2;2;3;1;2;;;;;;1;2;1;1;;;;;1;;1;2;1;;;;3;2;;;;;;;;;;;3;1;;;1;;;;;2;1;;;1;;;;1;;1;;1;;;;1;2;2;;;;;1;1;1;;5;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;2;1;;1;1;1;1;
22612-4603;2;6;1;;4;1;2;10;;;7;2;2;1;3;;;;;2;8;3;1;;;;;1;;;;1;1;1;4;;;1;;;1;;;;;;;2;;;;1;;1;1;;;;;;;1;1;;1;;1;1;1;;;;;;2;2;;;;;;;;;;;2;1;;;2;2;1;1;1;;;;;;;;;;;1;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;4;2;1;2;;3;;;
13346-4434;1;2;2;;;;;5;;1;;;;1;5;;1;2;1;1;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;3;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;
23182-4433;;;;;;;;3;;;1;;1;1;3;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;
