aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;47>;48>;49>;1>46>;1 2>;2>1>;2>1>46>;2>2>;2>14>;2>41>;2>46>;2 14>;2 14 41>;2 31>;2 41>;5 14>;6>6>;6>6>6>;6 14>;7>5>;7>14>;7 14>;13>48>;13 14>;13 14>48>;14>2>;14>7>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>32>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;14 30>;14 31>;14 31 41>;14 41>;14 41>41>;14 41 43>;14 43>;14 43 44>;14 44>;14 44>43>;14 48>;16>31>;16 31>;17>30>;17 30>;29>48>;30>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>48>;30 41>;31>14>;31>30>;31>30>30>;31>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31>48>29>;31 41>;31 41>30>;31 48>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>43>;41>43>44>;41>44>;41>48>;41 43>;41 43>44>;43>43>;43>43>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43 44>;44>14>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>2>;48>14>;48>29>;48>30>;48>48>;48>49>;49>48>;
21361-4917;2;9;;;1;8;;;26;;;2;2;17;;29;;11;15;;2;;3;;;1;1;;;1;2;;3;1;1;4;;;;1;;2;3;;;;;3;3;;5;2;1;;1;;;2;1;2;;1;6;4;10;;;1;1;5;;;;;;;1;;;;;;;;2;1;;;;1;;2;2;2;9;;1;;1;1;2;;1;;3;;1;;;;;1;1;1;1;5;1;3;3;5;3;2;2;2;2;;1;2;4;1;2;1;2;2;2;;1;1;;2;;1;;;
1436-6400;3;11;3;2;;4;1;;35;1;;2;8;17;2;40;;10;9;;3;;3;1;2;2;;;;1;2;3;2;;;;1;;;;1;;1;;;;2;;1;;4;1;1;;8;4;2;2;;;1;;3;2;10;3;;1;;6;1;;;1;;;1;1;5;2;2;1;;;3;7;4;2;2;1;1;1;2;1;6;2;;;2;2;1;2;5;1;11;3;5;1;2;2;2;1;;;;3;;2;1;2;1;1;1;;2;;;1;3;1;1;1;1;;;;1;;;1;1;;;;
18444-6895;;1;;;;3;1;;6;;;1;1;5;2;4;;1;2;;;;1;;;;;;;;;;;;1;;;;;;;2;1;;;;;1;1;;2;1;;1;2;2;1;;;;;1;1;;1;;;;;1;;;;;;;1;1;;;;;;;1;;;;;1;;;1;1;;;;1;;1;;;;;2;;1;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;
21169-6402;;1;;;1;1;1;13;16;;;;;1;;3;;;;;;1;14;;;;;;;;;;1;;;;;;;1;;;;7;11;7;;;;;;;;;;;;;;11;;;1;1;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
22700-5489;;;1;;;;;;4;;;;;;1;2;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;1;;;1;;;;2;1;;;;;;;;;;;;;;;;
23467-4433;1;1;;1;;1;1;;4;1;;;1;2;;3;;;;;1;1;2;;1;;1;1;1;;;;1;;;;;;;;1;;1;;;;1;1;;;;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17491-6590;;2;1;;;1;1;;14;1;1;;5;7;8;7;2;2;;1;;;;1;;;;;;;;;1;1;;1;;;;;;1;;;;;;;;;1;;;2;;;;;;;;;1;;4;;1;1;;;;;;;1;;;1;1;;1;;;;;5;1;;1;1;1;;;;;;;5;1;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13405-5490;2;3;1;;6;2;1;1;51;2;2;1;22;22;;32;1;17;13;1;2;1;17;12;2;;2;2;2;1;;;1;;;;;1;;1;;;;;;;3;1;1;1;7;;3;;7;3;;5;1;;2;1;6;2;12;2;2;5;2;7;2;6;1;;1;2;;2;6;2;3;;5;;1;13;4;2;2;2;1;;3;;4;2;2;;;1;;2;2;1;6;1;1;1;1;;;4;1;1;1;5;1;;;2;2;2;;2;4;3;1;2;4;3;3;2;1;1;1;1;;2;1;;3;2;7;4;
20796-4435;1;6;;5;12;7;10;3;31;2;;5;4;13;6;18;1;2;;1;1;1;11;3;;;;;1;1;1;1;2;1;;2;2;6;2;2;1;2;4;1;3;1;3;;1;;1;;;2;1;;;;;3;2;1;3;;6;1;;;;;;1;1;1;;;1;;;;1;;1;;2;1;;;;2;;3;1;;;;1;1;;;;;2;;3;1;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;4;;1;;1;
18398-5384;1;9;1;;2;2;;;35;1;3;;14;14;;24;;8;12;1;1;1;5;;;;1;;;3;1;;4;3;1;4;;1;1;1;;;1;;;;;;;2;4;;1;;6;2;1;3;1;1;;5;4;2;9;1;1;2;;3;;1;;1;3;2;;2;4;;2;;2;2;;3;;;1;1;;2;;;3;;;;2;;1;;2;2;5;1;3;1;2;1;1;2;1;;2;1;;;;3;1;1;1;;2;;2;1;2;1;1;1;1;;;1;1;;1;;;1;;;
