aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7>14>;7 14>;7 14 41>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>8>;14>8>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>49>;14 30>;14 30>31>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41>44>44>;41>44>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;43>44>44>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>14>43>44>44>;44>41>;44>41>41>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;44>44>44>44>44>44>44>;46>1>;48>14>;48>48>;49>48>;
17491-4917;1;4;;5;;2;;17;;;8;8;1;15;3;3;;1;3;1;;;;;;1;;;1;1;2;;;;1;;1;;2;;;;;;;1;;;;;1;;2;1;;1;;;;3;;1;1;1;1;;;;;;;;;1;;1;;5;;1;;;1;1;;;;;;1;;2;;;;2;1;3;2;2;;3;1;1;;;3;;1;;2;2;2;;;;;2;1;;;;;1;;1;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;1;1;;1;2;;;
28136-4114;;4;;;;;;3;1;;2;3;;5;2;2;;;1;;;;;1;;;1;;;;1;;;;1;1;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;1;;;;1;1;;;1;;;;;;;1;;1;1;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;1;;1;;;;1;;1;;1;1;1;;;;;
25326-5490;;;;;;;;3;;;;;;2;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;2;1;1;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;2;1;;;;;;;;;1;;1;1;1;;;;;2;1;1;;;2;;1;1;1;1;;1;1;1;1;;;;;;;;
27760-6030;;;;;;;;5;1;;6;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;2;1;;;;;;;;;;;3;1;;;;;;;;;;;;;1;;2;1;1;;;;;;1;1;1;;1;;;1;;2;;1;;1;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14932-4114;1;5;;;;;;6;;;3;3;;2;;;;1;3;1;;;;1;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;
29016-4114;2;9;1;6;1;4;;24;1;1;8;5;1;20;3;1;;2;2;5;1;1;1;;1;1;;;1;1;4;;;;1;;1;1;2;;;;;1;;3;;;;;;;1;;1;2;;;;1;;1;;5;1;;;;;;;;2;4;;2;1;8;1;1;1;;;;;;1;;;;;3;2;2;2;;;;;;1;;;1;1;;2;;2;2;;;;1;1;;;;2;;1;4;1;;;1;;1;2;;1;;;;;1;1;3;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
12626-7114;1;4;;1;2;3;;18;1;;3;8;;18;5;4;;1;6;;;;;1;;1;;1;1;1;2;1;;;;;1;;1;;;;;;1;;;;1;1;1;;1;;;2;;;;1;;;;5;4;2;2;1;2;1;1;;;1;;3;;5;;1;1;;;1;2;1;;1;1;;;;;;;;;;;;1;;;;;;2;;;;;;;2;1;;1;;1;1;;;;;1;;;;8;;6;2;2;2;2;2;1;2;1;;1;1;1;;;;1;2;;2;;;;;;;1;;1;1;1;1;1;1;2;1;;1;1;1;1;1;1;1;;1;;1;;
27482-6590;1;2;;;;;;7;;;4;4;;4;1;;1;1;;;1;1;1;;;;1;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;4;1;1;1;2;1;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;1;;;;;1;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30969-5799;;1;;;1;1;;6;;;1;1;1;8;1;2;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;5;1;1;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;1;;;2;;2;;;;;;;;;;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31476-6895;;5;;;;;;4;;;2;2;;4;1;1;;;;;;;;1;;1;;1;;;3;1;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;1;1;;;;;;;;;1;;;1;;1;1;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
