aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>41>;2 14 41>;2 31>;2 41>;3>2>;5>5>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14 30>;14 30>31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>31>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;46>2>;48>14>;
17491-4917;3;20;;;;4;;30;1;2;10;1;30;2;1;;3;1;2;3;1;1;2;2;;6;;5;1;;9;;;4;3;;4;;;;;;;;;;;;1;;6;2;;1;3;4;2;1;10;1;4;2;1;;;;;;1;;1;;;13;;4;1;;;;;1;1;1;;;1;;;1;;;;;;5;3;2;;1;;1;;1;;3;;2;;5;2;5;4;;9;3;2;2;;;;2;2;1;;;;;;;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;;1;;
25326-5490;2;8;;;;;;8;;1;;;;;;;2;;;;;;1;;;1;;;;;5;;1;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
28136-4114;;3;2;2;;1;1;7;;1;2;;3;1;1;1;;1;2;;;;;;1;;1;;;;2;;;;;;;;;;;;;;;1;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27760-6030;;2;;;;;;9;1;6;9;;8;5;4;;;1;1;;;;;;;;;;;;1;;;;1;1;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;1;1;1;;;3;1;1;5;1;;;1;1;1;;1;1;1;;;2;1;;;;;1;;;;;3;;1;;;;2;1;1;;1;;;;2;;1;1;;1;;;;;;;;;;1;;;1;2;1;1;1;1;1;;1;2;1;1;1;;1;1;;;;;
14932-4114;2;6;;;;;;5;;1;1;;2;;;;2;6;3;;;;1;;;;;;2;2;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
29016-4114;2;6;3;2;10;8;4;23;;2;4;;21;5;7;;2;2;;;1;;;;;1;;;1;1;3;;;;2;;2;1;;1;1;;3;3;3;1;;1;;3;;;;2;1;;;;5;;1;1;1;1;1;1;1;1;1;;;;;9;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;1;2;;;3;1;2;2;2;1;1;;1;1;2;1;3;2;1;2;4;4;3;3;2;1;1;1;1;4;1;3;1;3;2;2;2;;;
12626-7114;2;9;;1;2;4;;24;1;4;13;;27;5;4;;2;7;;1;1;1;2;1;;2;;2;1;1;4;1;;1;;;2;;;1;;;;;1;;;1;1;;3;;;2;1;3;;;8;;7;4;4;3;3;2;1;1;1;;5;;1;8;1;2;2;;;1;2;1;1;1;;;1;1;;;;;;;;2;;3;;1;1;;;2;1;3;;4;;2;;2;1;;13;1;11;6;5;5;3;2;2;1;1;1;;;;1;2;2;;;;1;;1;1;2;1;1;1;1;1;1;1;;;
27482-6590;1;1;;;;;;10;;3;3;;3;;;1;1;;;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;3;1;1;;1;2;1;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
30969-5799;1;3;2;;;;;11;;;4;;7;2;2;;1;4;2;;;;;;1;;;;;;3;;;;1;;1;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;2;;;3;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
27820-5061;;18;4;;6;3;;42;2;3;8;;37;13;15;;;4;2;;;;2;2;2;3;;4;;;14;2;;1;2;2;2;2;;;2;;2;2;1;;;1;2;;4;2;3;;;2;;;7;;2;2;2;2;1;1;;;;;3;;;11;;1;;4;4;5;3;1;1;;1;;;;;1;;;;;;2;1;1;;;;;;;;;2;1;;2;1;1;;1;12;1;8;5;5;1;;1;4;3;3;3;7;3;3;2;7;6;3;2;2;4;3;;1;8;3;6;2;3;3;1;;;;
