aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;6 41>;6 48>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>45>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
30813-5490;1;8;1;4;;3;;24;1;;6;6;1;17;5;8;;1;1;;;1;1;1;2;1;1;;1;;;6;2;;;;;1;;2;1;;;;;;;3;1;;;3;1;;1;1;;3;2;1;1;;;5;2;2;;;;;;;2;;;;2;;;;8;1;2;1;2;1;;1;;;1;1;;;;1;2;;1;1;;;1;2;1;;;;;;;;2;1;4;1;2;1;1;;;1;;3;1;;1;1;;;1;;;1;;;2;2;7;1;4;2;1;1;1;1;;;2;3;2;4;;1;;;2;;;1;;3;2;1;1;1;1;;;;;;;;;;
27129-7297;;2;1;;;;;6;1;;1;3;1;4;2;5;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;1;;;;;;1;;;1;;1;;;2;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;
1436-6400;3;17;;;;1;1;34;3;1;24;24;;19;3;5;1;3;14;;1;2;1;;;;3;;1;1;;9;;1;3;1;4;5;;;;;;;;;;;;1;;1;1;;;;1;10;8;3;1;;;3;1;1;3;3;2;;;;10;4;3;4;2;5;3;2;7;1;;;;1;2;2;2;2;1;;1;;1;3;11;2;2;;;;2;8;6;1;2;;;;;4;2;1;14;1;8;2;;;;2;1;4;3;;;;5;;;;;;1;;3;2;2;1;2;1;1;;2;2;1;;;1;;3;1;2;1;;2;;1;;;2;1;1;;;;;1;1;1;1;;4;;;
31316-5490;;6;1;;10;3;;10;1;1;4;5;;17;2;1;3;;;;;;;;2;1;;;1;;;2;;;;;;;;;;3;1;;;1;;;;;2;;;;;;2;1;;;;;;5;;;1;1;;;;;;;;;;;;;5;;1;;;;;1;1;1;;;1;;1;;1;;;;;;;2;1;1;;;;1;;;;2;3;;1;;;;;1;1;;;;;;;;;;2;2;1;;1;;7;;3;2;1;;1;;;;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;;2;;;;;;;;;
29011-4114;2;4;1;6;;3;2;28;1;;13;14;;26;8;8;2;2;1;3;1;1;1;1;1;1;2;;;1;1;1;1;;;;;1;;;1;;;;;;;3;;1;1;2;1;;1;1;1;3;2;;;;;7;3;;2;2;;;1;1;4;;;1;1;2;;;13;;3;1;;3;;;1;;1;;;;1;2;1;;;;;;;4;2;;2;;;1;;6;1;;5;2;;;;;;3;2;1;;;;;1;1;;;1;;1;1;1;1;6;;2;;;1;1;;;;3;4;3;4;3;1;;;3;;2;1;;1;;;;;;1;1;1;;;;;1;2;
22700-5489;1;2;;;;;;6;;;3;2;;2;2;2;;1;1;;1;1;1;1;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;2;;;;;;1;;;;;;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;1;1;;1;;;;1;1;;;1;;;;;;;1;1;;;;;;;;;;;;1;;1;1;1;1;1;;;;;;;;;1;;;;;;;1;;1;;;1;1;1;1;1;;;1;1;1;;1;;;;
21169-6402;;3;;2;;2;;5;;;1;1;;13;2;6;;;;;;;;;;;1;;;;;1;;;;;;2;;;1;;;;;;;1;;;1;1;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;1;1;3;1;2;1;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;
27532-4114;1;7;;;;;;8;;;1;1;;10;2;5;;1;;;;;;;;;1;;;;;4;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;5;1;1;1;1;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;
31136-5799;1;14;10;5;4;6;2;49;2;3;37;29;22;25;8;9;2;1;2;;;1;;;;3;;;;1;;13;;;2;;;2;3;2;2;2;1;;2;;;3;1;1;;;;6;1;1;2;;;;;15;15;3;3;;4;4;3;1;;;15;;;;1;2;;;8;;2;2;;3;;2;1;1;1;1;2;2;;2;13;;10;5;2;1;1;7;3;;3;7;7;1;1;1;2;;15;1;7;6;2;1;;3;3;3;1;2;;;1;1;22;12;;2;1;1;1;1;7;1;4;2;1;1;5;2;1;1;1;1;1;6;1;5;4;3;3;;2;2;4;6;3;5;3;3;2;2;;;;;1;;;;
30745-5490;4;18;;10;6;13;;55;;;14;21;;49;16;15;2;4;4;5;;2;2;1;;;3;2;1;2;1;10;;;5;2;;6;;3;3;1;1;1;2;1;;6;3;4;3;1;;;3;3;2;10;3;2;2;;;14;6;4;2;2;2;1;4;4;3;1;;;1;2;1;;16;1;3;;4;3;1;;;;;;;;;2;5;1;3;1;;;3;4;2;;;;;1;;1;1;4;9;1;5;3;1;;;;;3;3;;2;1;3;1;;;1;2;2;1;8;2;15;3;10;7;3;3;6;6;1;;1;3;1;9;1;4;3;2;3;2;;;3;6;2;3;2;2;1;;2;;1;;;;1;4;
