aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;49>49>;
30813-5490;4;16;;1;;2;;38;1;;4;10;2;43;10;17;1;4;1;;;2;;1;1;1;;1;;1;1;1;12;1;;7;;;10;;;;;1;;;;;;1;1;1;;2;;;1;1;2;;;;;;;;6;3;1;;4;3;;;;;5;4;22;;2;3;4;;1;;;;;;;;1;;;;;;1;2;;;;2;;;;;1;2;;1;;;;;;1;;1;6;2;;;;;;2;1;;9;1;4;1;;;;;3;;;1;4;1;4;2;1;3;2;1;4;1;3;;2;;2;;;;;
27129-7297;2;13;3;3;;1;;20;;;2;2;;25;7;7;2;2;1;;2;;;1;;;;4;;4;1;1;4;;;;;;3;1;1;;1;;1;;;;;1;;;;3;1;2;;;1;;1;1;;;;;6;3;2;2;2;;;;;;;;7;1;;1;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;1;1;;;2;2;5;1;4;2;1;1;1;1;1;1;1;;1;;3;3;2;3;1;1;4;3;3;2;1;1;2;2;;;;
1436-6400;4;31;4;1;;3;1;59;2;2;28;29;;48;7;4;;4;15;;2;2;1;3;1;1;;3;1;2;1;;19;;1;4;;3;8;2;;1;3;;;;;;;1;;2;;2;1;2;1;1;2;1;10;5;2;;;;7;1;1;1;1;1;;10;1;1;5;2;16;2;3;1;1;2;1;1;;1;2;1;1;3;9;2;2;1;;;2;5;4;1;2;;;2;5;4;2;15;1;6;1;;;3;1;4;2;;6;;;;2;;1;;7;3;12;3;4;2;1;1;1;2;4;1;1;;2;;2;1;;2;;1;1;1;;;;;2;2;1;1;;
31316-5490;1;13;;1;8;2;;16;;;4;5;;13;1;1;;1;;;;1;1;1;1;1;;;;;;;8;;;1;;1;4;;;;;1;;1;;;;1;1;1;;;;;;;;;2;;;;;;;;;;;;;4;1;;3;;4;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;2;;1;1;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
29011-4114;2;25;1;6;;4;1;63;1;8;59;48;;45;5;7;;2;1;;1;1;1;1;1;2;1;4;6;1;1;1;10;1;1;2;1;2;5;;;1;;1;1;;;;;3;1;;1;9;3;;1;;5;1;21;11;4;1;;;6;;;;;;;20;8;4;9;2;10;1;;1;4;1;1;;;3;8;3;3;4;18;3;4;2;;;3;17;8;3;4;;;6;7;6;6;24;;9;3;2;;9;4;2;1;2;7;2;;;2;1;4;4;3;2;3;;1;;;;;;1;;;1;4;1;1;;;;;;;;;;;;1;1;1;;;
21169-6402;;6;;3;;2;;25;2;3;15;25;;24;8;11;;;3;;;;;;;1;;1;2;1;;;4;;1;;;1;;;;;;1;1;;;;;2;1;;;1;;;;;2;;7;1;1;;;;3;2;2;2;1;1;;4;2;1;6;;4;1;1;;1;;1;1;;3;3;3;;3;7;3;;;;;2;6;1;1;;;;;2;1;;4;;1;;;;2;;5;2;4;5;1;;;1;1;;1;3;;7;1;4;2;2;;;2;2;;;1;4;1;2;;;1;;;2;;1;;;;;;;;;
22700-5489;;4;;3;;2;;9;1;;7;7;;9;1;1;;;4;2;;;;;;1;;2;1;;;;1;;;;;;;;;;;1;1;;;;;2;1;1;;1;;;;;2;;2;;;;;;2;1;;;;;1;2;;;1;;3;;1;;;;;;;;;;1;1;2;;1;;;;;1;1;;;;;1;1;3;;1;;;;;;;;;;;1;;;;1;1;;;1;1;3;;2;;;;;;;;;;1;;;;;1;;;1;1;;;;;;;;;;
27532-4114;;4;1;;9;3;1;16;;;1;4;;16;6;8;3;;1;;;;;;;;;;;;;;2;;1;2;;1;3;;;;;;;2;1;1;3;;;1;2;1;;1;;;;;;;;;;;;;;;1;1;;;;;3;2;7;;;1;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;1;;;;;;;;;;;1;2;1;2;;;2;;;3;2;3;2;1;1;;;;;;
31136-5799;2;33;3;5;5;7;4;63;;;8;24;2;44;6;10;;2;6;5;;1;;1;1;5;3;8;;1;;;18;3;2;4;;2;7;;2;;;1;1;2;1;;;2;;;3;9;4;2;3;1;3;;6;5;3;1;2;1;9;6;2;2;1;;4;;;;9;5;22;2;4;1;2;1;;;;;;;1;2;4;;1;;;;1;2;;;;;;;;1;5;6;2;3;1;;;1;;3;1;1;8;;1;;6;2;3;;4;2;9;2;6;3;1;;;;;;;2;3;2;3;2;2;3;;;4;;2;;1;;;;;1;1;
30745-5490;4;24;4;8;15;15;;75;6;4;39;53;3;74;12;17;;4;2;2;1;3;2;1;1;;1;3;;1;3;1;11;;;3;;1;6;;1;;1;1;3;1;1;1;3;5;1;4;7;1;;;4;3;2;1;15;3;;;;;8;2;;;1;1;1;12;4;1;7;3;22;3;;4;6;;4;5;3;4;;;1;4;5;;4;1;;;1;6;2;;;2;;5;3;6;3;17;1;1;1;1;;;;10;7;1;16;2;1;1;1;1;3;2;7;2;11;1;2;1;1;1;;2;5;3;;1;5;1;6;2;1;3;2;1;3;1;1;1;;;1;1;2;;1;
31743-6030;1;10;7;1;;;1;16;;;2;3;1;13;1;;1;1;;;1;;;;;2;5;2;;3;1;1;5;1;;1;;;2;;3;1;;;1;;;;;;;;;2;;1;;;;;1;;;;;;4;1;1;1;;;;1;;;1;1;5;;;1;;;;;;;;;;1;2;1;1;;;;1;1;1;1;;;;1;1;;;2;;1;1;;;;;;;;1;;;;4;;;;;;3;;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;1;1;;;;
31313-6401;4;19;1;4;11;8;;62;3;4;43;47;2;22;1;1;1;4;;;;3;1;1;1;2;;3;2;1;1;;12;1;4;4;2;4;6;;;;1;1;1;1;;;4;2;1;3;1;4;1;;2;;3;;13;7;2;1;;;3;2;1;1;;;;23;7;3;15;2;10;;;;;;1;3;1;3;3;2;1;5;12;1;8;3;1;1;1;8;4;1;;1;1;2;3;2;2;17;2;9;5;3;1;;;3;3;1;6;3;1;1;1;;1;3;3;;6;2;2;1;;;;1;1;1;1;;;;1;1;;1;;;1;1;1;;;;;;2;;;
31673-5384;4;23;3;3;2;4;3;59;2;3;27;33;2;37;5;8;;4;5;3;;3;1;2;1;3;;2;2;1;2;;7;;1;1;;1;2;1;;;1;1;2;;;;1;1;1;;1;6;;2;2;1;2;2;10;4;2;2;;;6;4;2;1;1;1;1;13;3;3;7;4;18;1;1;1;3;4;1;2;1;2;3;2;;4;8;1;3;1;;;3;8;6;1;1;;;4;;1;3;11;3;4;3;1;;1;;5;2;1;6;;1;1;3;;2;;6;4;9;3;6;2;1;1;1;1;1;;;;;;1;;;1;;1;;;;;;;1;;1;;2;
31158-5799;;2;;3;;2;;11;1;;3;3;;11;5;7;;;1;;;;;;;;;;;1;;;2;;;1;;;1;;;;;1;1;;;;;2;;;;;;;1;1;;;3;1;;;;;2;1;1;;;;;2;1;;;;4;1;;2;1;;1;1;1;;;;;1;;;;;;;;1;;;;;;;;2;1;1;1;;;;;;;2;;;;;;;;1;;;1;;4;;2;;;;;1;1;1;;2;3;2;4;1;;1;;;2;1;;;;;;;;;;
15247-6400;6;28;;8;11;11;;80;4;2;28;42;;46;9;8;1;6;19;2;;4;1;2;1;;;3;3;1;2;;15;;2;6;2;3;7;2;;;;1;4;3;2;;2;4;1;5;;4;1;;4;2;8;;22;11;2;2;;;5;3;2;2;3;1;1;9;3;1;16;3;18;;2;;2;4;4;3;3;1;;;1;4;8;;2;1;;;1;9;6;;6;;;;3;1;6;15;4;3;2;1;;6;6;6;1;;5;1;;;1;;;1;1;1;13;1;11;8;4;3;2;1;2;1;;2;3;2;5;2;1;2;;;2;1;1;;;;1;;1;5;2;
30799-5384;5;35;;4;4;4;;57;;;10;12;;52;11;12;1;5;1;1;;1;1;2;1;3;;4;3;2;2;2;24;2;;8;2;;10;1;;;;1;1;;;;1;2;1;1;;5;;;1;1;4;;1;;;;;;6;2;2;;1;;1;1;;;2;;24;;1;2;3;1;;;;;;;1;1;3;;2;;;;1;1;;;;;;;1;3;;5;1;3;2;;;;;1;1;2;1;1;;;3;1;;1;3;2;12;;10;6;4;2;2;4;4;3;1;1;4;1;5;2;1;2;1;1;4;2;1;;1;;4;;1;;;
31863-4448;2;8;5;6;5;4;;41;2;3;6;7;7;31;2;2;;2;13;7;;2;2;2;2;;1;2;;;;;1;;;;;;2;;;4;2;1;1;4;3;3;;3;1;;1;1;;2;2;2;5;1;;;;;1;1;3;1;1;1;1;;4;3;;;;;11;;1;;1;8;2;2;2;3;2;2;;1;3;1;1;1;1;1;;1;1;1;;1;1;;;1;1;2;;1;1;1;1;1;1;3;2;1;;;2;1;;;1;;2;;6;1;2;1;1;1;1;1;1;;;;;;;;;1;;1;1;1;1;1;1;;;;2;4;1;
31529-4917;3;35;31;1;12;8;5;72;1;1;16;17;10;25;7;6;2;4;3;;1;1;1;1;1;1;2;7;3;;2;1;20;1;;6;1;;8;;9;4;12;1;;3;2;1;2;1;1;3;3;5;2;18;;;1;1;9;5;1;1;3;2;5;3;2;1;2;1;;3;;;4;;16;;2;3;2;2;1;;;1;1;1;;5;10;3;4;2;1;1;;5;5;3;3;3;1;;1;1;;11;2;8;3;2;1;3;3;6;5;;1;;4;3;3;;1;;;;5;;2;1;1;;;1;1;1;1;1;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;;;
22363-4114;1;18;;8;10;12;;47;3;3;59;41;1;53;5;8;;1;14;2;;;;;;;;;3;1;;;7;;;1;4;2;4;;;;;3;1;2;;;1;4;2;1;2;1;;;1;;;4;11;5;1;1;;;7;3;1;1;;;;7;3;1;6;;12;2;2;;1;4;1;1;;1;3;1;;3;15;3;8;5;3;2;;13;5;3;;;;2;1;9;3;15;;6;4;3;3;4;1;4;;1;8;4;1;;;3;;6;5;2;9;;3;1;;;;;2;1;1;1;1;1;3;3;1;2;1;;4;1;1;;;;1;;;;1;
31759-4917;1;6;;;;1;;14;1;;;6;1;20;1;1;;1;1;1;;;;;;;;;;;;;3;;1;1;;1;2;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;3;1;;;;;;;;;2;1;6;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;1;3;;;;;;;;1;;5;;2;2;2;1;;;1;1;1;;;;1;1;1;1;;;1;1;1;1;;;;;;;1;
30492-6030;1;11;4;;;2;;40;;;3;4;;15;6;9;2;1;2;2;;1;;1;1;1;1;3;;1;;;7;;;1;;;1;;1;1;1;;;;;;;;;1;;2;;1;;;4;;1;;;;;;3;1;1;1;3;1;;;;;;;7;;;1;4;;;;;;;;1;;1;;;;;;;2;1;1;;;;;;;1;2;;1;;;;1;;;;;1;;;;1;;;;1;;3;1;3;2;2;1;1;;;;;1;3;1;3;2;1;2;;;2;1;1;1;1;1;;;;;;
18444-6895;;2;;;;;;3;;;;3;;4;;;;;;;;;;;;;;;;;;;2;;1;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26940-4917;5;19;;;;1;;27;;;9;8;;15;1;;1;5;1;;2;3;1;3;2;1;;2;1;;3;2;12;1;1;2;;1;3;1;;;;;;;;;;;;;1;3;;;;;1;;1;;;;;;2;1;;;;;;4;;;2;1;8;;1;1;;;;;;;;;;;3;;1;;;;1;3;2;1;1;;;1;2;;;4;;2;1;;;2;1;;;;1;;;;;;;;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;;
31816-5384;1;14;2;13;7;10;4;83;5;5;28;29;17;52;7;13;2;1;16;4;;1;;1;1;;;4;;;;;8;;;2;1;;2;;;;2;4;3;5;5;5;1;9;4;1;;3;2;;6;4;1;2;11;3;;;2;1;6;2;2;1;3;3;3;5;;;4;2;25;;1;1;5;7;5;3;3;4;4;3;;5;7;1;1;;;;1;8;2;1;1;6;5;1;2;3;6;9;2;2;;;;2;1;8;1;;4;1;8;3;1;2;3;1;3;;7;1;4;2;1;1;;;1;1;1;1;1;1;6;3;3;3;1;1;4;;4;;1;1;;;;6;;
13405-5490;7;36;15;14;;10;;81;;;26;30;3;65;16;21;4;7;9;3;3;2;1;2;2;2;4;4;;1;4;4;22;;2;5;1;3;8;;4;2;2;;6;;;;;4;;5;4;;;9;3;2;2;;5;2;1;;1;;4;2;1;;2;2;1;7;;;10;3;25;;;2;8;2;;;;;;;;1;6;1;4;3;1;1;1;4;;;;;;;4;4;3;4;;2;1;;;;;5;;6;10;1;1;;;3;2;1;4;;11;2;7;3;2;2;2;;3;2;2;3;4;2;7;5;5;2;;2;6;;6;;6;3;5;3;1;;;
