aluno;32>;1>;2>;3>;5>;6>;7>;41>;43>;44>;13>;14>;46>;48>;16>;49>;17>;30>;31>;32>14>;32>31>;32>31>32>;32>31>32>31>;32>31>30>;1>2>;1>46>;1>46>2>;1 2>;1 2>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>41>;2>14>;2>46>;2>46>1>;2>46>1>2>;2 41>;2 14>;2 14 41>;2 14 31>;2 46>;2 31>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6 7>;6 41>;6 14>;7>5>;7 41>;7 14>;41>2>;41>41>;41>41>41>;41>41>31>;41>14>;41>31>;41>31>14>;41>31>30>;41 43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>14>;44>44>;44>44>44>;44>44>44>44>;44>44>14>;44>14>;44>14>43>;14>32>;14>32>31>;14>2>;14>2>2>;14>3>;14>41>;14>41>41>;14>41>31>;14>41>31>30>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>14>;14>49>;14>30>;14>31>;14>31>32>;14>31>14>;14>31>30>;14 41>;14 41>41>;14 41 43>;14 43>;14 44>;14 48>;14 30>;14 31>;14 31>14>;14 31 41>;46>1>;46>1>2>;46>2>;48>14>;16>31>;16 30>;16 31>;49>49>;17>30>;17 30>;17 30>30>;30>14>;30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;31>32>;31>32>14>;31>32>31>;31>32>31>32>;31>41>;31>14>;31>14>31>;31>14>31>30>;31>48>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31 41>;
13405-5490;1;5;15;;5;5;6;39;9;16;;58;5;2;1;1;;1;14;;;;;;;3;2;1;1;2;2;1;1;;1;1;2;1;;3;8;2;;1;;;1;1;;;1;1;3;3;1;1;2;4;2;1;2;5;4;;4;4;1;1;1;1;1;1;1;;1;1;;;4;1;;6;3;1;;2;2;1;1;2;;;6;1;1;1;23;1;1;1;7;;;4;2;2;1;;2;;1;1;;;;;;1;;1;1;;;1;;;;;7;2;1;1;1;1;;;;;1;3;
20796-4435;4;2;14;7;4;;4;22;3;2;;30;3;3;4;1;;8;13;3;1;;;;1;1;;;;1;1;4;3;2;;3;1;1;1;6;8;5;;;;4;2;;;;;;;2;2;1;2;2;2;1;;2;;1;1;;;;;;1;;;1;1;;1;;4;3;3;4;;1;1;1;;;;;1;2;4;1;1;3;9;;1;1;1;2;1;5;;2;1;1;;1;3;1;2;1;;;;;2;2;;1;;2;2;;;2;2;1;;1;4;;2;2;1;;2;2;
18398-5384;;3;9;;;8;1;23;4;4;;27;3;1;1;2;;5;16;;;;;;1;2;2;1;1;1;1;1;;;;1;2;2;1;2;6;1;;1;;;;;4;2;1;;1;;;;1;4;1;;;1;1;;3;;;;;;1;1;;1;3;1;;;;;;2;1;;;1;;;;;1;;3;;;2;10;1;1;1;1;;2;7;;2;2;1;2;;;;1;2;;;;;;1;;1;;;;;;;1;1;1;;3;;;1;1;;1;7;
22363-4114;4;;2;2;;;;7;;;;9;;1;1;1;;3;6;1;4;1;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;1;1;1;;1;;;;;;;;;;1;1;1;;;1;4;;;;;;;2;;;;;;;;;1;1;;;;1;;2;;1;1;1;1;1;1;;;;;1;3;1;;2;1;1;;;
21513-6030;3;3;5;;2;8;3;13;1;3;;18;3;1;2;;1;5;11;;3;2;2;1;1;;;1;;1;;;;;;;;;;2;3;1;;1;;;1;;;;1;2;;1;;1;;1;1;;;;;;1;1;1;1;1;;1;1;1;1;2;;2;2;;;;;;;;;;;;;;;2;1;1;;6;;;;;;;3;;1;2;1;;;1;;2;;1;1;1;1;1;;;;;3;;3;1;;1;;;;4;1;;;;;1;1;
1436-6400;;3;16;1;;;2;20;2;2;;40;3;5;2;;;3;15;;;;;;1;2;1;1;1;1;1;;;1;1;3;2;1;1;;10;;2;;2;;;;;;;;;;1;2;1;2;1;;1;4;;1;1;1;1;1;1;;1;1;1;;;;;;1;;;4;2;;;;;;;4;;1;1;;;;12;1;1;1;1;4;;7;1;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;3;2;;;;3;;;;;;4;2;
18444-6895;;;;;;;;4;;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
21169-6402;;;;;;7;1;1;1;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15247-6400;5;3;13;3;4;7;3;33;9;16;4;47;4;6;2;3;3;21;31;1;3;2;2;2;2;1;;1;1;;;2;1;;2;4;2;1;1;3;5;2;1;1;1;1;;3;3;1;;1;1;1;;1;1;6;2;2;4;6;1;4;4;4;4;3;1;3;7;3;1;2;4;2;2;1;5;;;7;;3;3;4;4;4;3;7;1;1;6;2;1;1;11;1;1;1;3;2;2;6;;2;1;1;;2;;1;1;1;3;3;3;6;5;7;3;3;3;4;1;3;2;;6;1;1;2;13;4;2;4;3;3;3;6;
17491-6590;;;1;;;8;1;7;1;1;;6;;;1;;;2;6;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;1;;;;1;1;;1;2;;;;;1;1;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;1;1;;;;1;;;2;1;1;;;;;1;1;;;;;;;1;1;1;;;;;;;2;2;2;1;;2;;1;1;;;1;2;
