aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;46>;48>;49>;1>2>;1>46>;1>46>2>;1 2>;1 2>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;2 46>;3>2>;3>14>;3 14>;5>5>;6>6>;6>6>6>;6>6>6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;13 14>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>31>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>31>;14>31>32>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>43>;14>43>44>;14 30>;14 30 41>;14 31>;14 31>30>;14 31 41>;14 41>;14 41>14>;14 41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;17>30>;17 30>;30>14>;30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30 31>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>32>;31>32>31>;31>32>31>30>;31>41>;31>48>;31 41>;32>14>;32>31>;32>31>30>;32>31>32>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>44>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>44>;44>44>14>;44>44>44>;46>1>;46>1>2>;46>2>;49>49>;
13405-5490;6;20;;5;5;6;;89;2;1;8;24;1;71;13;26;6;4;1;;4;3;1;1;4;3;1;;2;1;2;1;13;4;5;1;;;;1;;;;3;1;3;1;1;;5;;;2;3;1;;10;1;3;;1;;;9;1;5;4;2;4;2;5;;2;38;1;2;4;4;10;;1;1;1;;3;;2;1;;;;2;7;2;4;2;;;;;1;1;;;;2;5;;;;;3;2;6;4;1;12;1;7;2;4;8;4;6;2;1;2;4;1;2;2;;3;;
20796-4435;4;18;4;;;1;;34;1;;2;7;;29;1;1;4;1;;1;1;;1;;1;1;2;1;1;;1;;12;4;7;1;;;2;;;;;;;;1;1;;2;;2;;;;;1;;1;1;;;;3;;1;;;1;1;4;;3;17;;2;;;1;1;;1;;;;;1;;1;;1;1;2;1;1;;;1;1;;;;;;;;3;;;;;2;;2;2;;2;;1;;;;;;;;;;;;1;1;;;
18398-5384;3;12;;4;22;7;;40;2;;11;22;;47;4;7;3;2;2;1;2;2;1;1;1;1;1;;1;1;3;3;7;1;3;;;;;1;8;4;2;4;2;3;;;;;;;1;1;1;;4;;2;1;;;;5;;1;1;;3;2;6;;2;16;;3;1;1;2;;2;;;;;2;1;1;;;;3;3;2;6;;2;1;;;2;;;;3;;9;;;;;1;;3;;1;14;3;6;5;;3;;;;;3;1;1;;3;1;2;2;
22363-4114;1;5;2;3;15;4;1;31;2;;7;11;4;27;2;1;1;7;1;;;;;;;;;1;1;;1;1;3;1;1;;;1;;2;7;4;3;1;;;1;;1;2;1;;3;1;;;4;;2;;1;1;1;2;;;;;2;1;4;;1;12;;1;;;;1;1;1;;;1;1;1;;1;1;;1;;;4;;;1;1;1;;2;2;1;1;;1;2;4;1;1;;;1;;;4;;2;;;;;1;;;;;;;1;;;1;
21513-6030;3;7;2;2;7;3;;21;2;1;7;13;4;14;2;6;3;2;1;1;1;;1;1;1;;;1;1;;2;1;3;1;2;1;1;;;1;1;;;;2;1;1;;;1;;1;1;;;1;2;1;;;1;2;2;;;;;;;;4;1;1;7;;;;;;;1;2;1;1;2;1;2;;1;1;;;1;;6;2;;2;1;1;1;3;3;1;;1;1;;4;2;2;;;1;;1;2;;1;;1;1;1;1;1;1;2;1;1;1;2;1;;1;
1436-6400;6;32;4;1;4;4;;73;2;;9;28;2;29;2;2;6;8;2;3;3;2;1;1;2;1;1;3;7;1;3;2;19;;;1;1;1;1;;1;1;;1;;1;3;2;;6;2;;2;10;3;3;9;1;2;1;2;;;3;;;;;1;;11;3;3;18;5;;1;1;1;5;;1;;;3;1;2;;1;;;;4;;8;3;1;2;1;;4;2;1;1;1;2;4;;1;1;;2;5;3;;1;2;;1;;;1;;1;1;1;;1;;1;3;3;2;;
18444-6895;;;;;;;;4;;;;4;;5;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;2;;;;;1;;;;;;;;
21169-6402;2;10;4;4;8;4;;24;4;;10;14;4;18;2;1;3;3;1;;1;;;;1;1;3;1;2;1;1;1;6;3;3;;2;;2;2;3;1;1;2;1;2;1;2;;3;;1;;;;3;4;1;3;1;1;2;1;4;1;1;1;;2;;4;1;1;6;;1;1;1;;2;3;2;;;;3;2;;1;;1;;2;1;5;;2;2;1;;3;3;1;;3;1;4;3;1;;;1;;3;;1;3;1;3;;1;1;1;1;1;;1;1;1;;1;;;1;
15247-6400;6;27;17;8;;5;9;94;6;6;33;59;12;59;4;6;7;12;4;2;3;2;2;2;2;1;3;2;9;2;4;2;12;5;6;1;4;7;7;;;;;;;3;2;1;6;6;4;8;;7;1;2;16;2;6;2;2;6;3;12;4;1;1;1;3;1;16;2;3;26;;2;1;1;;2;2;5;5;5;7;6;10;6;4;4;3;2;14;4;21;4;2;6;4;4;7;6;5;3;1;2;8;2;7;4;3;2;3;12;2;7;9;2;4;1;;3;;1;1;;2;3;2;;3;2;2;1;
17491-6590;2;6;2;;;;;19;;;3;3;;12;8;13;2;;;1;1;1;;;2;1;;1;2;;;;5;;1;1;;2;;;;;;;;;;;;1;;1;;5;;;;;;;;;;;;;4;3;1;;1;;;4;1;;;2;4;;;;;;;;2;;;;1;;;;1;;;1;;;2;;;;;;;;;;;;3;;;;4;;1;;;2;;3;3;3;2;4;;3;1;1;1;;
