aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>46>;2 14>;2 14 41>;2 31>;2 41>;3>2>;3 14>;5 14>;6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 14 41>;7 41>;14>2>;14>3>;14>7>;14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>31>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>42>;14>43>;14>43>44>;14>45>;14>49>;14>49>49>;14 30>;14 30 31>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>32>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>14>;32>31>;32>31>30>;32>31>30>31>;32>31>30>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>41>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>29>;48>30>;48>48>;49>49>;
17491-4917;1;1;2;;;;31;;;;12;15;13;22;5;7;9;2;1;;1;1;1;1;;1;;;;;;;;1;1;;;;;;;;;;;;1;;8;4;1;1;1;8;7;5;7;1;4;3;3;2;2;4;;;1;;;;;;3;;12;;1;3;;1;1;2;3;;;;;;1;2;1;1;11;9;5;5;5;6;;;;;2;12;1;2;1;10;8;4;6;1;1;4;1;;1;;5;11;8;6;6;;;2;;3;2;8;2;5;5;4;3;2;2;1;2;1;1;1;1;;1;1;2;2;2;1;1;1;4;1;3;1;1;;1;;;;;;
28136-4114;;;;2;;2;4;;;;4;4;;3;;;;;;;1;;;;;;;;;;;;;;;1;;;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
27820-4603;;;;;6;2;3;;;;;;;3;;1;1;;;4;;;;;;;;;;;;;;;;;1;2;2;1;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;1;;;;;;1;1;1;;;;1;;1;;;;;;;;1;;
27760-6030;;;;;;;2;;;;1;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14932-4114;1;3;;;;;3;;;;;;;3;;2;2;1;1;;;;1;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;2;1;1;1;1;2;1;2;1;2;1;;1;;;;;
27455-4434;;2;;;8;3;11;;;;4;1;;6;;3;6;;;2;;;;;;;;;;2;;;;;;;1;2;2;;;;1;;;;;1;;;1;1;;;;;2;;1;;;;;;;;;;;2;;;;;2;;;1;;;;1;1;;;;;;;1;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;;;;1;1;1;1;;;1;;1;;2;;;;1;1;1;1;;;;;;;;;;;
12626-7114;2;5;3;;;;11;;;;1;4;;11;;2;4;;2;;;1;2;1;1;2;2;;;2;1;;2;2;;;;;;;;;;;;1;2;;;;1;;;;;;2;1;;;;;;;;;;;;1;1;1;3;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;1;;;;;1;;;;;;;2;;;;1;;;;;;;;;;;;;;1;2;1;;;1;1;1;;1;1;3;1;2;;;;;1;;;;;
27482-6590;;;1;;;;3;;2;3;5;3;;;;;;;;5;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;;;;;;1;;;;;;1;1;1;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;
27820-5061;1;7;2;2;;1;29;1;;;12;10;4;30;4;3;3;1;1;;;1;1;1;1;;2;;;3;;;1;1;1;1;;;;;1;;;;;2;1;1;1;;;;;1;1;1;5;;5;2;1;1;;3;1;;1;;;2;;;1;1;14;;;2;2;;;;1;;1;;1;1;1;2;2;1;1;1;1;1;;4;1;;4;;1;6;1;1;1;1;1;1;3;1;1;1;;;2;1;;4;2;;;2;1;1;1;1;1;9;1;5;3;1;;;;;2;1;1;;;;;;2;2;;;2;1;2;2;;;;;;;;;;;
28027-4114;3;9;;;;;6;;;1;1;2;;3;;1;2;;3;3;1;2;1;1;3;;1;;2;4;;;1;;;;;;;;;;;;;3;;;1;;1;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;1;;;;;;1;1;1;;;;;;1;1;1;1;2;;1;1;1;1;1;1;;1;1;;1;;
