aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 41>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5 14>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>41>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>49>;14 30>;14 30 41>;14 31>;14 31 41>;14 32>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>14>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;46>1>;46>1>2>;46>2>;48>29>;48>48>;49>49>;
17491-4917;4;11;1;;1;2;31;;1;;12;11;3;20;2;;2;;4;3;1;;2;;2;2;;1;;;1;;2;2;7;1;1;1;2;;1;;;;;;1;;3;;;;;;3;2;1;1;2;1;;;;;4;;2;;1;10;;;;;;;;1;2;;;3;;3;1;;3;;;;1;1;;3;1;2;4;1;2;1;2;;;;;;1;;;4;1;;2;1;;;2;1;;;2;;1;1;1;1;1;1;;;;;;;;;;;1;;;;2;;;;;1;
28136-4114;;5;3;;;;9;;;1;1;3;2;9;2;2;1;2;;4;1;;;;;;;;1;;1;;;;1;;;;;;2;1;;;;;;;1;;2;;1;;;;;;3;3;2;1;;;;;;;;6;;;2;2;;;;;1;;;;;1;1;;1;;;;;;;;;;1;;1;1;;;;;;;;2;2;;;;2;;;;1;;2;1;5;2;4;2;;;;;;;;;;;1;1;1;;1;;1;;;;;1;1;1;
27820-4603;2;8;1;;;;22;1;;;6;8;4;24;4;10;12;4;2;3;;;2;;1;1;;1;;1;1;1;1;;2;;;;1;;;;1;;;;;;2;;;;1;;;;1;1;1;1;;;1;;;;1;1;;9;1;;;;;;;3;;1;1;1;;2;1;;1;1;1;1;4;4;1;1;1;1;4;1;;;1;1;1;3;1;1;1;;1;2;;;4;2;1;;1;1;;;7;;4;2;1;;;;;3;;;3;;4;2;1;3;2;2;1;1;;;;;;;
27760-6030;;1;1;2;1;2;12;;;;7;5;1;11;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;1;1;1;1;;1;;1;1;;;;;;;2;2;1;1;;;1;;1;1;;6;;;1;1;;;;;;;;;;2;2;1;1;1;1;1;1;1;;3;;;2;;1;1;1;1;1;1;;;;;;2;1;;1;;;1;;1;;;2;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;
14932-4114;;5;1;;;;6;1;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;4;;1;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-4434;2;24;1;6;4;7;46;;;3;27;25;;37;;5;5;1;2;10;;;2;;1;1;;1;;2;4;3;;;11;1;2;4;4;;;1;1;1;2;4;2;;4;;;;2;1;6;3;;;8;5;5;2;2;;6;1;5;3;;13;1;;3;1;1;;1;1;4;;;4;2;9;3;3;6;2;;;;;;6;2;;10;1;4;1;2;1;;;5;2;;1;;7;1;;;;3;;;1;5;3;15;4;9;4;2;2;2;1;1;2;1;;1;;3;2;1;2;2;2;1;1;;;;2;;;
12626-7114;5;13;9;;;;22;;;;1;4;;11;;2;3;;5;;;2;1;;3;1;;2;6;4;;;2;2;7;1;1;;2;2;4;1;1;;;;;;4;1;6;;;;1;;;;2;;;;;;1;1;3;1;;4;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;1;;;;;1;;;;;2;;;;1;;;;;;;;;;;;;1;2;;1;1;1;1;3;1;3;;4;2;;;;;
27482-6590;;;;2;;1;6;;;;1;1;;5;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;1;;;;;2;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;1;1;1;1;;;;;;;
27820-5061;1;11;;6;;5;41;;;2;13;16;1;43;;6;5;1;1;5;6;;;;;;;2;;;2;1;1;1;7;2;;;1;;;;;2;;3;;1;3;;;1;1;;3;1;;;6;2;;;2;2;3;1;5;1;;14;1;;2;;;1;1;3;2;;;2;;1;;;3;;;;1;;3;1;1;1;4;;;;1;;;;1;;;3;2;2;;;;;2;1;;;4;1;13;2;4;2;2;2;2;2;1;2;;1;2;2;1;1;1;1;1;1;1;1;1;;;2;3;2;
28027-4114;2;8;3;;10;1;14;;;1;;;;5;;1;1;;3;1;;;1;;1;1;;3;3;3;;;;;6;1;1;;1;;2;1;;;3;;;;4;2;;1;1;;;;;;2;2;;;;;;;;;;5;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;1;;;;;;;;;;;;1;;;;;;;;1;;;1;;;
