aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;
30996-4435;2;7;3;2;6;3;1;24;1;;9;10;;18;2;5;;2;6;2;2;2;2;;1;;;;;1;1;1;;;;;1;1;1;1;2;2;;;;7;6;;2;;;;;;;2;;;;;2;;;7;2;;;;1;1;2;3;1;1;;;;;1;;4;1;4;;;;3;3;1;;1;;8;;;4;4;;2;2;;;;;;1;;;;2;2;1;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;
30926-4433;;;;3;5;4;;37;1;2;14;29;;13;;;;;2;;;;;;;;;;;;;;;2;2;;1;;1;1;1;;3;1;3;18;2;;4;1;1;;;;;;6;5;;;9;5;1;5;;;;;;;;1;;;1;;2;1;5;4;2;;1;;;;5;;;1;;5;4;2;1;1;1;;;;6;1;;4;1;;1;1;1;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
27129-7297;;1;;;;1;;6;;;4;5;;10;1;1;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;2;1;;;1;;;;;;;;;;;5;;2;1;;;;;1;;;;;;;;;;;;;;;1;;;;1;1;2;;;;;;;;;;;2;1;;;;1;;;2;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1436-6400;1;2;;5;5;4;;28;;;9;10;;26;9;9;;1;4;3;;;;;1;;1;1;1;1;;1;1;1;;;;;3;1;;;1;1;1;3;2;1;3;1;;;4;1;;1;3;1;;1;3;;3;15;1;;;1;;1;2;1;;;;;;;3;1;3;1;1;;;;2;2;;;1;;5;1;1;2;1;;1;1;;;;5;2;;;1;2;1;1;5;;;;;;;1;;;;1;;;;4;1;1;;;1;2;;2;;3;2;2;2;2;1;1;;1;;
30696-4435;1;3;;;3;1;;10;1;2;9;9;;13;2;1;;1;;1;1;;;;;;1;;;2;1;2;;1;1;;;;;1;;;;;;3;;;2;1;1;1;;;;1;5;1;;1;;;;3;;1;;;;;;;1;1;;;1;;;;1;;;;;;2;1;1;;1;1;3;;;;;;;;;;;2;;;;;;1;1;6;1;4;2;2;1;2;2;1;;;;;;;1;1;1;1;1;1;;;;1;;1;;1;;1;;1;;;
28835-4435;;;;;;;;8;1;;2;3;;6;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;3;;;;;;;;2;1;1;;2;1;1;3;;1;;;;1;;;1;1;1;1;;;;;;;;;;;1;;;1;;1;;;;;;;;;1;;;1;;;;;;;;1;;;;;;;;;1;1;1;1;1;;1;1;1;1;;;1;1;;;;1;1;1;1;1;1;;;;
31340-4433;1;9;;2;;1;;16;1;1;9;10;1;14;2;2;;1;;;;;;;;;;1;1;6;2;3;1;;;;;;1;;;1;1;1;;3;1;;2;1;;;;;;;4;1;3;1;4;1;1;6;1;1;1;;;1;1;;1;;1;1;;1;1;;2;;1;1;1;1;3;1;;4;1;1;4;1;;1;1;1;2;1;4;2;;1;;;;;;2;1;4;;1;;;;;;;1;1;1;1;1;;1;1;1;;;;1;1;;;;1;1;1;1;;;;1;;
29011-4114;1;9;1;4;2;3;;26;1;;14;11;;22;1;2;;1;2;;1;1;1;2;;;;;;5;3;3;1;;;1;2;;2;1;;3;2;2;1;1;;;3;;;;;;;;3;;;1;2;;1;9;;1;;;;1;1;;1;;1;1;;;;;6;;4;3;2;;;;1;1;2;2;7;;;6;3;3;;;3;2;1;4;2;1;;;2;2;2;4;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;
31077-4434;;5;;;;;;22;2;4;24;20;;14;4;5;;;2;1;;;;;;1;1;;;3;;;;;;;;;;;;1;;;1;11;6;2;3;1;1;;1;;;1;7;3;;;;;;5;4;;;;;1;2;;1;1;1;;1;2;6;2;7;2;2;1;;1;3;2;2;5;;1;9;4;2;2;1;;1;1;;;2;2;;;;1;;5;1;4;;4;1;1;1;1;2;1;;;;;;;1;1;;;;;1;;;;;1;;;;;;;;;
21169-6402;;;;2;1;3;;6;;1;12;8;;2;1;2;;;3;1;;;;;;;;;;;;;;;;1;1;;;1;;;;;;2;1;;;;;;;;;;3;1;1;;2;;;;;;;;;;;1;;;;;1;;;;9;;5;3;2;1;2;1;;3;1;;4;;;2;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;1;;1;;1;;;;;
27616-4435;1;3;;2;3;4;2;22;;1;10;13;2;15;7;6;1;1;11;1;1;1;1;;1;1;1;;;2;;;;;;1;1;;2;2;;1;;;2;7;5;;7;6;3;2;4;2;;;2;;;;;;;4;;1;1;;;;1;6;;;;;1;1;3;2;2;1;;;;1;5;4;1;3;;4;6;3;2;;;;5;4;;;1;;;;;1;;3;;8;1;6;3;3;2;3;4;2;;;;;;;4;2;2;2;1;;3;2;;;;2;2;2;2;2;2;1;;5;
27532-4114;;;;2;6;1;;9;;;2;3;;4;4;5;;;;;;;;;;;;;;;;;;1;;;2;;;;;;1;;;1;1;1;1;;;;1;;;;;;;;2;;;3;;;;1;1;1;3;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;;;;;1;1;;;;;;;;;
31136-5799;2;11;;2;;2;;50;2;4;39;32;;22;10;15;1;2;3;2;1;1;1;1;2;3;1;1;1;5;1;1;;;;;;;1;1;;5;1;1;1;15;10;4;6;3;1;;2;2;2;;9;3;1;1;7;1;1;7;2;;;2;2;3;7;;1;;1;1;2;1;8;3;12;4;5;2;2;3;8;2;;3;1;5;16;1;;8;2;;3;2;3;;;3;1;1;;;1;5;2;5;1;1;;;;;1;;3;2;5;3;2;2;5;3;1;1;1;;2;1;1;;;5;2;1;;1;;1;1;;
30834-4435;2;12;;;;;;32;1;;13;13;;28;5;4;;2;;1;;;;2;4;;1;;;3;2;5;;;;;;;;;;1;;;;4;1;;8;5;3;3;2;;;;5;1;;1;2;;2;15;1;3;2;1;1;2;2;;1;1;;;;;1;;4;;3;1;1;2;3;1;1;1;1;1;5;;;3;1;;;;2;1;;7;1;2;;1;1;2;2;7;1;5;3;2;2;1;2;1;;;1;;;1;2;1;1;1;1;;2;1;1;;;1;1;1;1;1;1;1;;;
31313-6401;5;14;;8;1;6;;44;1;;9;19;;46;8;7;2;5;3;;2;2;2;2;3;;4;3;3;6;;2;3;;;1;1;1;4;1;1;;3;3;2;3;;;12;4;3;2;;;;;1;;;;8;;2;19;;6;3;;1;;4;;;;1;;;;4;1;1;;;;;;;;1;;;1;5;3;;1;;;;;;;2;6;1;4;3;;1;3;3;12;2;6;3;2;;1;3;1;2;1;3;2;1;1;3;2;2;1;;;2;1;;;;2;2;2;2;1;1;;3;2;
31158-5799;;1;;;1;2;;5;;;2;3;;5;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;;1;2;;1;;;;;;;;;;;;;1;;1;1;1;1;1;;1;1;;1;;;2;;;1;1;1;;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27738-4433;2;4;2;2;1;1;;36;5;;9;16;1;33;12;13;;2;2;2;;;;;;;;2;2;1;1;1;1;;;;;;;;1;;;;2;5;1;;8;4;3;2;3;3;1;2;;;;;4;1;1;17;3;3;1;3;2;4;4;1;1;3;2;1;;;;;1;;;;;;1;;;2;;1;3;;;;;;1;;3;1;1;3;1;2;;1;1;5;1;8;2;4;3;2;2;1;2;1;1;;7;1;;3;4;1;1;1;;1;3;1;1;1;;5;3;3;2;1;;;2;1;
28092-4434;1;7;3;2;3;3;2;18;2;;3;9;2;12;1;2;;1;;;1;;;;1;;;1;;5;1;1;1;;;1;;;1;1;1;1;;;1;2;2;;3;1;;;;;;;;;;;3;;;3;1;1;1;;;;1;;;1;2;;;;1;;;;;;;;;;;1;;1;2;1;;;;;;;;;;1;;;;1;;3;1;5;;3;1;1;;1;1;1;;;;;;;1;;;;;;;;;;1;;;;;;;;;;
