aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>41>;2 14 41>;2 41>;5>5>;5 14>;6>6>;6>6>6>;6 14>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>43>;41>43>44>;41>44>;41 43>;41 43>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;
30996-4435;2;8;3;2;4;5;;32;1;;7;7;1;32;11;16;1;2;;1;2;1;1;;1;;;;1;;5;;1;2;;;;;3;1;;2;2;;2;1;;2;2;1;;;5;1;;;4;2;;2;;;;;;9;;1;;;7;;1;;;;;1;;4;;2;2;1;;1;;1;;;1;3;;2;1;1;;;;;4;1;;;1;1;;;7;;2;1;;;;4;2;1;2;1;;6;3;2;1;2;4;1;4;1;3;1;1;;
30926-4433;3;35;1;;;;1;113;9;7;75;66;;47;11;17;;3;11;8;2;;;2;3;4;2;;3;1;20;2;3;4;;;;;;;;;;10;;;;3;28;16;4;1;9;4;2;1;2;1;3;18;6;1;8;1;;27;6;3;2;4;7;3;5;6;3;3;3;14;4;22;6;13;4;3;4;13;9;3;8;2;4;32;5;14;8;1;4;5;1;2;3;1;;;1;1;8;3;10;1;6;2;2;2;1;2;1;1;2;1;2;4;2;;;1;3;;;;;;;1;
27129-7297;;6;4;;;;;25;1;;7;8;;17;4;3;;;1;;;;;1;1;1;1;;;;3;;;1;;;;;;;;;;2;3;;;1;2;1;;;3;;;;;;;1;;;4;;1;8;1;;;2;1;1;1;1;1;;;1;;;;;;;;;;;;1;;4;1;;;;;1;1;1;1;;1;;;;1;;;;;;;;;1;1;1;2;1;;2;2;2;1;2;2;2;2;2;1;1;1;;
1436-6400;1;5;;5;5;4;;52;;;15;19;;41;15;16;;1;9;11;;;;;1;;1;1;1;1;3;1;;1;2;1;1;;;3;2;1;;;;1;1;1;3;2;2;;7;2;1;1;4;2;5;4;1;1;5;;3;20;;3;1;2;6;3;;;;;;4;1;6;2;2;1;1;1;3;3;1;;1;;7;1;5;2;1;1;1;;;7;2;1;;1;2;;;10;;2;1;1;1;1;1;;;3;;;6;2;2;;2;4;2;4;2;2;1;1;1;
30696-4435;1;7;;;;1;;22;1;;13;9;;14;2;2;;1;;;;;;2;3;;;;;;1;;1;2;;;;;;;;;;2;;1;;;2;;;1;5;3;1;1;1;;;5;1;;2;;2;10;;2;2;1;1;;1;;;;;1;;4;;3;1;1;2;3;1;;1;;1;6;1;3;1;;;2;1;;3;1;2;1;1;1;1;1;4;1;3;1;;;;;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;;
28835-4435;;1;;2;;1;;8;;;;1;;18;7;9;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;1;;;;;2;;;;;3;2;2;2;2;2;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;5;;4;2;;;;1;1;3;4;3;;4;2;2;2;2;2;2;2;2;2;2;2;;
29011-4114;3;21;;5;;3;;43;1;2;18;23;;75;2;1;;3;2;1;3;;;1;2;1;3;3;;;12;3;7;11;1;1;;;;2;;1;1;3;;;;2;5;;;;11;7;5;3;;;1;6;1;2;4;;2;25;2;6;4;;1;;1;;;1;;;;3;;;;;;2;1;4;;6;1;5;;1;;;;;;;10;1;3;;3;1;6;2;24;3;13;11;7;5;3;1;;;1;;1;;;;;1;;;;;;;;;
21169-6402;1;7;;4;3;4;;20;;3;22;20;;11;3;5;;1;8;2;;;;1;;1;;;1;1;1;;;2;1;;1;;1;1;1;1;;1;;;;1;4;2;;;3;3;1;;;;1;4;1;;2;;;5;1;2;2;;1;5;;;;3;2;;;12;;4;4;3;2;4;2;;6;1;1;5;;1;1;1;2;1;;1;;;1;;;;3;;3;2;3;;;;;;;;;;1;2;2;2;2;;3;;3;;3;;1;1;
31077-4434;2;14;5;2;6;4;;29;2;;18;16;;35;5;7;1;2;3;;;;;2;2;1;2;2;2;2;7;1;3;3;;;;;4;1;;2;;;4;;;3;2;;;2;8;3;1;1;;;;6;;;;;;9;;1;1;;2;1;1;1;;;;1;;7;1;6;4;3;1;4;1;4;;1;;10;;6;5;3;2;3;2;1;5;3;1;1;1;3;3;2;9;;4;3;2;;;;;1;4;1;;1;;;;1;;;;;;;;2;
27616-4435;5;17;5;;12;4;16;44;1;;6;9;;35;6;11;2;5;22;;2;1;1;;1;;;;2;2;8;;2;4;;;5;3;3;;;3;1;1;1;1;;1;1;;;;4;3;2;2;2;2;;2;;1;5;;2;17;;1;1;1;2;3;;;;;;1;;1;;;;;;;;;3;3;1;;;;;;;;;1;3;;1;1;2;;1;;5;1;4;4;3;3;2;1;1;1;3;1;2;4;1;;;2;4;2;1;1;;;;2;
