aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;47>;48>;49>;1>2>;1>46>;1 2>;2>1>;2>2>;2>3>;2>14>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;3>2>;5>5>;5 14>;6>6>;6 14>;7>5>;7>5>5>;7>14>;7 14>;7 41>;8>7>;14>2>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>8>7>;14>14>;14>30>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30 41>;14 31>;14 32>;14 41>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 41 44>;14 41 48>;14 43>;14 44>;14 44>43>;14 48>;14 49>;16>31>;16 31>;30>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>7>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>14>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>31>14>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>44>;41 43>;41 43>44>;41 44>;41 48>;43>14>;43>41>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>43>44>;44>44>;44>44>14>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>14>43>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>14>;45>43>;46>1>;46>1>2>;47>48>;48>14>;48>29>;48>48>;49>48>;49>49>;
17491-4917;1;4;;;2;6;5;13;;;;3;6;1;12;;4;8;;1;;3;2;;1;;;;;;;;;4;2;2;;;;1;;;;1;1;;4;;;;;;3;2;;;1;;;;3;;;;;;;1;;;;;;;;;5;;;1;;;;1;;;2;;;;;;1;2;;1;;;2;1;;;;2;1;1;;;1;;;1;2;;1;1;;;;;;;2;;;;;;;;;;;1;;;2;;;;;1;1;1;1;1;;;;1;1;;;;3;1;;;;2;1;;1;1;;1;1;1;1;;;;;;;2;1;1;
25326-5490;;;;;;;;2;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;1;1;1;1;;1;;1;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;
14932-4114;1;5;2;;1;1;;7;;;;1;2;;4;;;;;1;;;3;;;;;1;;;;1;1;2;;;1;;;;1;;;;;;;1;;;1;;;;2;;;;;;1;;1;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;1;1;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;
27455-4434;;2;;1;1;3;4;16;2;1;4;12;8;2;4;;4;7;1;;;8;2;;;;;;;;;;;2;1;1;;;;;;1;;;1;1;2;;;;;;3;1;5;3;2;1;1;1;;;;;;;;1;;;1;1;2;;1;;2;;;;;;;;;;1;;4;;2;;2;5;3;2;1;;2;;;1;;6;1;3;2;;1;1;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;1;;1;;;2;1;1;1;;;;;;;1;;;;4;3;;1;;
12626-7114;1;6;5;;5;1;1;18;;;;2;5;2;12;1;;;2;1;;2;;1;;;1;;1;2;;;;1;;;3;;;2;1;;;;1;;;;3;3;;;;;2;;1;;1;1;2;;1;1;1;1;;;;;;;1;;1;1;8;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;;;;1;;;1;1;;1;1;1;;;1;;;2;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;
27482-6590;;2;;;;1;;7;;;1;;3;;4;;2;2;;;;1;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;1;;1;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
23182-4433;;;;;;;;2;;;;1;2;2;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;2;;;;;;;1;;;1;;;;;;;;;1;;;;;;;;1;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23182-6895;;;;;;;;3;;;;2;2;2;4;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;1;2;;;;;;1;;;1;;;;;;;;1;;1;;;1;1;;;;1;;;;1;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;2;1;1;1;1;1;;;;;1;;;1;;;1;;1;;;;;;;;;;;
21629-5061;;7;1;5;7;12;2;26;1;;;13;13;1;19;;7;6;;;1;2;2;;;;;;;;1;;;5;1;2;1;1;1;;2;2;;1;4;3;;;;;3;;;;1;;3;2;;;6;1;4;3;1;;2;2;2;1;;1;4;2;4;;5;;;2;2;2;1;;;1;2;1;;;;1;2;3;2;2;2;1;2;2;1;3;2;5;2;1;1;2;3;2;1;;1;1;;;;1;;2;1;;5;1;1;3;1;2;1;;;;;3;2;2;4;2;2;2;2;;2;;;;1;1;;3;3;3;3;2;1;;1;3;1;3;1;1;3;1;1;3;1;2;1;;;;1;2;;1;;;
22271-4917;;1;;4;1;3;3;8;;;;2;2;3;;;;;;;;2;;;;;;;;;;;;;;;;;1;;1;2;;2;;;1;1;;;;;2;1;;;;;2;2;;;;;;;;;;;2;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
21894-4114;2;9;5;;11;3;;19;;;;;3;;12;;2;1;1;2;;1;;1;1;1;;;1;;2;2;1;5;1;1;2;;;2;4;;;;;;;1;2;2;2;;;;;;1;;;;4;;2;1;;;;1;;;;;;;;;4;;;2;2;1;;;;1;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;1;2;2;2;1;;6;1;1;5;1;4;3;3;1;1;1;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
27587-4917;;;;;;1;;2;;;;;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22607-5384;;;;;1;2;;3;1;;;5;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;;;;1;1;;;;2;1;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
