aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;47>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 41>;2 41>;2 46>;2 46>1>;3>2>;3>14>;3 14>;5>5>;5 14>;6>6>;6 14>;7>5>;7>5>5>;7>14>;7 14>;7 41>;8>7>;14>2>;14>3>;14>3>2>;14>7>;14>8>;14>8>7>;14>14>;14>14>41>;14>30>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30 41>;14 31>;14 32>;14 41>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;30>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30 31>;30 41>;31>7>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>14>;32>31>;32>31>30>;41>2>;41>3>;41>7>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41 43>;41 44>;41 48>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;
17491-4917;3;7;;;2;7;6;16;;;;4;6;1;16;;4;8;;3;;4;2;2;3;2;2;1;;1;;1;1;5;1;2;2;1;1;;;;;;1;;;;1;1;;5;1;;;;4;3;;;;1;;;;2;;;;;;1;;;;;;;;;6;;;;;;;2;;;;1;1;;1;;;;2;1;;;1;;1;;1;;;;2;;1;1;;;;1;;;;2;;;;;;;;;1;2;;;;1;1;1;;1;1;;;;2;1;;;2;1;1;1;1;1;1;2;2;2;;;1;1;
23668-5490;4;7;;;;;;14;;;;1;2;;14;;1;;;4;;1;;2;;1;;;;1;;2;2;4;;2;3;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;3;2;;;;;;;;;;1;;1;;8;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;3;;1;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;2;;1;;1;;
25326-5490;1;4;4;;;;;6;;;;;;;7;;;;;1;;;;;1;1;1;1;1;2;;;;2;1;1;1;;;2;2;;;;;;;;;;;;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;2;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14932-4114;1;2;1;;3;1;2;7;;;;1;;1;6;;2;;;1;;;;1;1;1;1;2;;;;1;1;1;1;;;;;;1;1;;;2;1;;;;;;1;1;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;3;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;
27455-5061;;5;1;4;;2;1;16;1;;3;6;5;1;11;1;5;5;1;;;4;;;;;;2;;1;1;;;4;2;2;2;;;;;1;;1;;;2;;;;;1;2;;;;1;1;1;;;3;2;1;1;;;;;;;;;;;;1;1;;;5;1;;;;;;1;1;1;1;2;1;;2;1;;1;;1;1;1;4;;;2;1;;;1;;;1;1;1;;;1;;;;3;;;1;1;1;1;1;1;2;3;1;;;2;;;1;1;;;;;;;;1;1;;;;;;;;;;;3;;;
15016-4433;;1;1;;1;;;5;;;;1;1;2;7;;2;3;1;;;1;;;;;;;1;1;1;;;;;;;;;1;;;;;;1;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;2;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;1;;;1;;1;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
22279-4114;;2;;;4;1;1;12;1;1;;5;4;3;5;;2;2;;;;;;;;;;1;;;;;;1;;;;;;;;;;;2;2;;;;1;;;1;;;;;;;;3;3;2;1;;;;;;;;1;1;1;;;2;;1;;2;;;;;;1;1;;1;1;4;2;;1;;1;;;;;1;3;2;;1;1;;;;;1;;;1;;;1;;;;1;;;1;;;;;;;;;;;1;;;;1;1;1;;;;;;;1;;1;;;;;;;;;;;;
27455-4434;4;16;22;1;6;5;2;40;3;3;10;47;34;19;16;;2;3;1;4;;11;1;2;2;2;;2;1;2;;2;;8;;1;1;2;2;1;3;8;;;;2;1;;1;1;1;;2;3;1;;2;;4;;6;4;1;4;2;;;;;;;;;;4;;12;1;1;2;6;;;;;;;1;2;3;1;3;12;4;11;3;1;1;7;3;1;2;14;;4;4;4;3;;2;3;1;13;5;;;1;;1;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;2;2;;2;6;1;;
12626-7114;2;10;10;;;;;30;;;3;3;4;3;22;1;;;2;2;;4;2;1;1;2;1;1;2;4;;;;1;;1;1;1;1;5;4;4;;;;;;;;;;;1;5;4;;;;7;3;1;1;;2;1;6;1;1;1;1;;;;;1;2;1;;1;1;17;2;1;1;;;;;1;;;1;;;;;1;;;;;1;1;;;;1;;;1;1;1;1;1;2;3;;2;1;;;3;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;2;
17228-6401;3;9;;;;;;24;;;;4;6;;26;;2;;;3;;;;;3;3;3;;;1;;;;3;;1;1;;;;;;;;;;;;;;;;1;;;;;;1;1;;2;2;;;6;3;2;2;2;1;;;;;;2;1;3;;13;;1;1;;;;;;;;1;2;1;1;1;;1;;1;;1;2;;2;;1;1;;;3;;;;3;;;1;1;;1;9;1;;4;3;3;2;1;1;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;
