aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14>31>;2 14>41>;2 14 30>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5>5>;5 14>;6>6>;6 7>;6 14>;6 14 41>;6 41>;7>5>;7>5>5>;7 14>;7 14 41>;7 41>;14>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>41>;14>41>41>;14>41>41>41>;14>41>43>;14>41>43>44>;14>41>43>44>44>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>43>44>44>44>44>;14>49>;14 30>;14 30>31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>41>;14 43>;14 44>;14 44>43>;14 48>;16>31>;16 30>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;30 48>;31>7>;31>14>;31>30>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>43>;31>48>;31 41>;31 41>30>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41>44>44>;41>44>44>44>;41 43>;41 43>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>14>43>44>44>;44>14>43>44>44>44>;44>14>43>44>44>44>44>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>14>41>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>2>;48>14>;49>48>;
21361-4917;2;13;2;10;2;10;2;;42;3;9;21;28;1;32;2;13;13;4;2;7;;1;;1;1;;1;2;1;1;4;1;;;1;;;1;1;4;2;;;;;1;5;2;2;1;1;4;1;2;11;3;2;7;4;2;2;2;2;2;1;1;1;1;;4;1;1;5;1;2;8;2;1;3;1;1;2;1;2;7;8;6;4;1;1;14;2;4;4;5;2;3;;3;1;2;2;8;5;1;2;;4;1;3;2;2;6;1;3;1;2;5;2;15;4;7;3;4;2;6;4;2;;;;3;;2;5;1;3;2;2;2;2;1;5;1;1;1;1;1;1;1;5;4;1;1;4;3;1;3;2;1;3;2;3;1;1;1;;
22363-4114;1;8;1;4;4;7;1;;43;1;1;13;13;2;24;2;12;10;2;1;7;2;;;1;;;1;1;2;;6;1;2;;;;;;;2;1;;;2;1;1;2;1;1;;2;1;1;;5;5;1;4;2;;;;;3;;;;;1;4;;2;3;;1;13;2;3;4;2;3;1;1;;1;;;2;2;2;3;2;1;;3;;;;2;;;;6;3;2;1;1;1;;1;;1;1;;;1;;2;1;7;;2;;;1;3;1;;;;;;;;4;1;1;1;1;;;1;1;;;;;;;2;2;;;;2;;;1;;;1;;2;1;;;;
1436-6400;1;4;1;7;4;4;;;31;;;6;17;;22;;8;21;;1;2;2;;;;;;;;;1;3;;;;1;;1;1;;1;2;2;;;;;2;1;1;;1;;1;;4;1;;4;2;2;1;1;;5;4;3;2;2;2;1;;;9;1;5;10;1;;5;1;2;;;;;;;2;1;1;1;1;;;1;;;;;;2;;3;1;1;;1;1;;2;3;;7;2;1;;2;1;;5;1;2;;;1;2;2;;;;;;;;7;1;4;2;2;1;;;4;2;2;2;2;1;1;1;8;4;2;1;6;2;1;2;1;1;1;;;1;;;;
18444-6895;;;;;;;;;2;;;;1;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;
21169-6402;;;;4;2;2;;;16;;;3;2;;10;;5;6;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;;;2;1;;;1;;1;;;;;5;2;;2;2;2;4;2;2;2;2;;1;;;1;;1;4;2;;;;;;;;;;;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;1;;;2;;;;3;;;;;1;2;2;2;2;1;1;2;2;;4;1;4;3;3;1;1;;5;2;4;2;2;2;2;;4;4;2;2;3;3;1;3;3;1;1;1;;;;;;
17491-6590;3;8;5;;4;3;;;13;;;1;2;;14;;3;2;;3;1;;3;3;2;2;2;1;;;;2;;;;;;;1;4;;;;2;2;1;3;;;3;1;1;;;1;;;;3;;;;;;1;1;1;1;1;;;;;;;;7;1;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;1;1;;;;;;1;;;1;;3;1;2;1;2;1;2;1;1;2;2;2;2;1;2;2;;2;2;2;1;;;;;;;;;;1;2;;;;2;;;2;;;1;;;;3;;;
13405-5490;3;12;1;9;7;7;2;1;58;1;4;29;26;1;38;;5;5;;3;16;9;1;1;1;1;1;1;;2;;8;;2;1;2;2;1;3;1;2;4;2;2;;;;3;2;1;;;2;2;4;14;4;1;5;;;;;;;;;;;7;10;3;1;7;3;2;19;;2;1;;4;1;;1;;3;;2;;;2;;1;;4;;2;;4;3;2;2;8;1;;;1;6;2;1;;1;6;2;1;2;2;4;1;3;;2;;;1;2;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;1;1;3;5;
20796-4435;1;8;;2;4;5;;4;26;1;2;14;16;;11;;1;1;;1;7;;1;1;1;1;1;1;2;;;4;1;;1;1;3;4;2;;;1;1;1;2;;;1;;1;1;2;2;1;;2;2;1;1;;;;;;;;;;;;5;;;5;;1;6;;;;;4;1;;1;1;2;1;2;1;1;2;1;2;1;2;1;;3;1;2;;1;5;2;1;2;1;1;1;;;;2;;;;;1;1;;;;;;;1;1;1;;;;;;;1;;1;1;;;;;1;1;;;;;;;1;1;1;;1;1;1;;;;;;;;1;1;;
18398-5384;2;6;;2;7;6;;;26;1;;2;12;2;18;;10;10;;2;2;1;2;1;1;1;1;2;1;;;3;1;;;2;;;2;;;1;1;3;4;2;2;1;;3;3;4;1;;1;2;;;1;1;1;;;;4;2;;;;;1;;;6;;;8;;2;5;2;;;;1;;;;;;;;;;;1;;;1;;;;1;1;;;;1;2;;1;1;2;;;1;;;2;;4;2;1;1;1;1;1;1;;1;1;1;2;1;;4;1;1;1;;;;2;3;;1;1;;;;2;2;2;;1;2;2;;;;;;;;;1;1;1;
22525-4435;;2;;;1;;;;4;;;;1;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
