aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14>31>;2 14>41>;2 14 41>;2 30>;2 31>;2 41>;2 46>;3>2>;3 14>;5>5>;5 14>;6>6>;6 7>;6 14>;6 41>;7>5>;7>5>5>;7 14>;7 14 41>;7 41>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>49>;14 30>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>41>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>30>;30>30>14>;30>30>30>;30>31>;30>41>;30 31>;30 41>;31>7>;31>7>5>;31>14>;31>30>;31>30>30>;31>31>;31>41>;31>43>;31>48>;31 41>;41>2>;41>14>;41>31>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41>44>44>;41 43>;41 43>44>;43>41>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>2>;
21361-4917;5;23;10;13;2;12;71;3;11;1;28;37;3;69;21;16;5;6;8;;1;;2;1;2;4;2;3;1;9;1;;1;;;3;2;1;3;5;3;;;;1;7;3;2;1;1;7;4;1;3;14;4;15;6;3;1;;;;;5;7;1;3;13;4;3;1;1;2;1;2;7;10;6;4;14;2;4;7;3;;3;3;2;2;10;5;5;3;2;3;9;3;1;6;29;4;14;7;4;4;9;4;2;1;1;5;1;3;8;4;3;2;2;5;1;;2;7;3;1;6;2;4;2;3;2;;
22363-4114;2;16;4;6;9;12;66;1;2;;18;20;2;47;16;26;2;2;8;2;;;1;;1;1;1;3;;10;1;3;;;;;2;1;1;2;2;;;4;2;3;1;2;1;3;4;1;1;1;6;5;11;8;4;4;1;1;1;1;5;4;;3;18;2;1;8;4;1;1;;2;1;1;6;6;4;2;3;;1;2;3;1;;9;5;4;1;;1;4;;3;3;17;1;7;3;1;3;4;3;1;2;2;4;2;;7;5;4;1;;5;3;1;3;8;3;1;6;3;3;1;2;1;;
1436-6400;3;11;2;14;6;9;55;1;;;8;25;;53;10;22;;3;2;4;1;;1;1;;2;1;1;2;6;;1;3;;1;5;;;;;5;3;;1;1;6;;1;;2;;1;3;1;8;3;9;3;1;5;5;5;3;2;1;8;1;5;25;2;;5;2;1;;1;;;;3;1;1;;1;;;;3;2;2;4;1;3;2;2;;9;4;1;3;10;2;1;;;1;4;4;2;;;1;;;9;6;3;3;2;6;4;3;1;9;6;4;6;3;3;2;2;2;;
18444-6895;;1;;;;;3;1;;;1;4;;2;;;;;;;;;;;;;;;;1;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;3;;2;2;1;;;;;1;1;;;;;;;;;;1;1;;;;;;1;1;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21169-6402;;1;;4;14;4;32;2;;;14;13;;15;8;10;1;;1;;;;;;;;;;;1;;;;1;;;;;;1;1;2;;3;;2;1;;;1;;;2;;3;1;6;2;;5;3;3;3;;6;3;1;1;5;1;;2;1;1;1;2;;;;2;2;2;1;1;;3;;;;;4;1;3;;;;1;;2;1;3;;;;;;3;3;3;2;1;2;2;;6;6;5;4;2;7;3;5;;6;6;3;5;5;4;4;2;;;
17491-6590;2;5;2;;11;4;13;;;;;;;13;;;;2;;;1;;;;;1;;1;;4;;;2;;;2;;1;1;;;1;2;3;3;;;3;2;2;1;2;;;;;1;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
13405-5490;7;29;1;12;8;12;101;5;5;1;40;41;3;63;9;12;;7;20;11;3;2;4;3;;6;1;2;;16;1;2;4;2;2;6;2;1;;3;4;2;3;1;;5;3;2;;;8;;3;9;18;4;10;1;1;2;1;;;7;15;14;4;4;33;2;2;3;6;3;1;1;1;4;1;2;4;;1;4;4;;4;2;2;3;8;1;8;1;1;1;8;2;4;4;10;;5;2;1;2;3;;;;;1;;4;1;;;;;;;;1;3;;;3;;;;;2;2;
20796-4435;1;9;;6;7;7;26;1;;;2;13;;16;6;6;;1;9;;;;;;;;1;;;7;1;;2;;1;3;;;;;2;1;2;2;1;2;;2;1;3;;;1;;2;;1;;;;;;;;;4;;1;8;;2;3;6;1;1;;;;;;;;;1;;;;1;1;;;;1;;1;;3;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;
18398-5384;3;9;2;2;13;5;44;1;1;7;5;16;2;35;12;13;;3;9;3;2;1;2;1;2;3;;;1;3;;;1;;;1;1;;1;;1;4;2;3;4;1;;2;2;3;2;;;1;2;;5;3;2;4;2;;;;2;8;;1;14;3;2;7;3;;;1;;1;;;;;;1;;1;1;;;1;1;;2;1;2;3;2;1;;3;9;2;5;2;;1;1;1;;1;1;2;1;;4;1;1;;;2;;1;1;2;2;;2;2;;;;1;1;
22525-4435;;;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15247-6400;10;38;9;3;2;7;65;2;1;;14;23;;60;14;28;;12;2;;6;4;4;4;3;2;3;1;4;19;2;1;5;2;1;9;1;5;3;;1;;1;2;;1;;5;1;1;4;3;;3;9;1;6;2;2;1;1;1;1;;5;8;2;5;29;1;2;6;;1;2;1;1;1;1;;5;;3;4;2;3;3;;;2;4;2;3;1;;;6;2;;3;8;1;6;5;3;1;3;1;1;4;3;7;3;2;6;4;4;4;2;3;2;;3;11;1;1;7;1;5;1;2;4;4;
18607-4917;1;7;;2;4;3;12;;2;;11;11;;1;;;;1;2;;1;1;1;1;1;;2;;;3;1;;;3;4;1;;;;;1;1;1;2;;1;;;;1;2;;1;;1;1;;;;;;;;;4;4;;;;;;;1;;;;1;2;1;;1;;1;2;;3;1;1;1;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
22423-4434;2;13;;;4;5;29;;;;2;4;;13;;;;2;3;;1;;1;;1;1;1;3;;10;1;3;;1;;1;1;;;;;;;4;1;;;3;2;2;2;;1;1;2;;7;4;1;;;;;;2;2;;;8;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
