aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;1 2>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 31>30>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;41 44>;41 48>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>41>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;48>29>;48>30>;48>48>;49>49>;
14932-4114;;1;;;2;1;;4;;;;1;;;2;;;;;;3;;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;
30982-4435;;1;;;7;2;1;12;1;;;4;3;;14;1;;;;;;;;;;;;;;;;1;1;1;;;;;;2;5;;1;;;;;;2;1;;;;3;1;1;;;;;;;;;;;5;;;;;;;;;1;;2;;;;;;;;;;;;;;;1;2;2;2;;;;;;;;;;;;;;;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-4434;;1;;;;1;;9;;;;;1;;12;;3;3;1;;;;;;;;;;;;;1;1;1;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;7;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;
12626-7114;2;8;;2;;1;;21;1;2;;10;9;;15;;5;5;;2;1;1;2;1;1;;;2;1;;1;2;;2;;;;1;;;;1;;;;;1;1;6;3;1;;;5;;5;4;2;4;3;2;1;;;;;4;;2;2;1;;1;1;1;1;1;1;1;2;;2;1;;;2;2;2;1;;;;;2;6;1;2;2;1;;;;;;1;;1;1;;;3;;1;1;2;1;1;6;;5;3;2;;1;1;2;2;;;;1;;;;1;3;2;1;1;1;1;3;1;3;2;;1;2;2;1;2;2;2;2;2;;;;;1;
31380-4434;1;9;6;;;1;2;31;2;1;1;11;19;12;22;2;3;2;1;2;2;1;;;;1;2;1;;2;1;4;;1;3;3;;;;;;;;1;1;4;;2;3;2;;1;;1;;1;;;1;1;4;2;;;3;1;10;;1;1;;;;;;;;2;;2;1;1;1;;;5;4;;;;1;;;2;7;1;1;;;3;3;4;3;1;;;2;;8;3;;;2;;;;;4;;3;2;;;;;;;;;;1;;;;;2;;1;1;;;;;;;;;1;;;1;;;;;;1;1;;;
30969-5799;1;3;;;1;2;;7;;;1;3;2;;5;;2;2;;1;1;;;;;;;;;;1;2;;;;;;;;1;;;;;;;1;;1;1;1;;;1;1;;;;;;;;;;;;3;1;;;;1;;1;;;;;;2;;2;2;2;;;;;;;;;1;;1;;1;1;1;;;;;;;1;;;;;;1;;;2;1;1;1;;1;1;1;1;1;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
27820-5061;;7;1;;;1;;21;1;1;;8;6;1;16;;7;10;;;6;2;;;;;;1;;;;5;;1;;;;;;;;;;;;;;2;1;;;;1;2;1;;;;2;;1;;;;;;4;;;;;1;2;7;3;;;1;;3;1;2;1;;;;;;;2;;;;;5;;2;2;1;;;2;2;;;;1;;;;;1;1;1;2;2;;;;;;;;;;;;;;;2;;1;1;;;;;;;;1;;;;1;;1;;;;;;;;;;2;;;
28027-4114;;2;;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;4;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28198-5490;1;4;1;2;;1;;16;;;;3;2;;13;;4;5;;1;2;2;1;1;1;1;;;;;1;4;;;;;1;;;;;1;1;1;;;;1;;;;;;2;;;;;1;;2;;;;;;4;;;;;;1;3;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;3;;1;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
23182-6895;;;;;;;;4;;;;6;2;;5;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;2;;1;1;2;1;2;;1;;;;;;;;;1;;2;;1;;;;;;1;;;2;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
