aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;48>29>;48>30>;49>49>;
14932-4114;1;6;;;;;;9;;;;2;4;;4;;1;2;;1;;;1;;1;;4;;;1;2;;;;;;;;;;;;;4;2;;;2;1;1;1;;;;;;;;;;;;;2;;2;;;;;;1;;1;;2;1;1;1;;;;;;;;;1;2;;2;1;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;1;1;1;;1;;1;1;1;;;;;1;;1;;1;1;;;;;;
30982-4435;1;3;1;;6;2;3;11;;;;1;4;;7;1;;;;1;1;;;;;;2;;;;;;1;;1;;;2;2;;;;;1;1;;1;2;;;;;1;;;;;;;;;;;2;;1;;1;;;;;;;;;;;;;1;1;;;;;;1;1;;;;;1;1;;;;;1;;;1;;;;;;2;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;
27455-4434;2;21;1;4;;3;;46;2;;1;26;28;1;27;;6;10;;2;3;2;;;;;;;1;;15;4;4;;;1;1;;;;2;2;;2;;;;;5;1;;1;5;2;;;;;1;8;1;1;;12;3;11;1;;1;2;2;5;1;1;;3;1;;;;3;;1;;;3;2;3;5;;2;;;;;3;;1;;6;1;1;;;;1;2;;2;;;;;;1;3;2;1;;1;;2;2;;1;;;1;1;;1;1;1;;;;;;;;;2;
12626-7114;1;15;;;;;;34;1;2;;15;11;;19;;6;7;;1;2;3;1;1;1;;6;1;;;7;;2;;;;;;;;;;;3;3;;;1;6;4;2;;7;7;5;2;5;4;3;5;1;1;;1;1;5;;2;;;;2;2;1;1;4;;2;1;;2;2;3;1;;;;1;8;1;4;2;1;;;;;;;4;2;;3;;1;2;1;1;7;;5;3;2;1;1;3;2;;;1;;;5;2;2;1;1;2;1;2;;2;1;1;1;1;1;;;;;3;
30969-5799;2;6;;2;8;3;1;13;;;3;4;5;;8;;;;;3;4;1;2;;;;;;1;2;3;1;1;;;;1;2;2;1;1;2;;1;;;2;2;3;;;;1;1;1;1;;;;2;;;1;;;4;;;;;;;;;;;;;;;;;;;1;2;1;;;;;;;;;;;;4;;;;;;1;;;;2;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;
27820-5061;1;9;3;6;1;8;1;51;1;;1;10;13;3;48;2;16;16;2;1;2;1;;;1;;;1;1;1;4;2;2;1;;;2;;1;;4;2;2;2;;;1;4;3;2;1;;12;4;2;1;8;6;1;3;;;1;1;;24;;4;;;;5;;2;1;3;;2;1;1;1;;;;1;;1;3;6;2;2;1;;;;;;2;1;2;1;2;2;3;4;1;4;2;11;2;5;3;1;;2;8;4;1;1;2;1;;11;4;6;4;2;9;3;3;1;6;3;4;3;2;2;2;1;;1;1;
28027-4114;;;;;1;1;;11;;;;2;3;;8;1;1;1;1;;3;1;;;;;;;;;;;;;;;;;1;;;1;;;;;;;2;;;;1;;;;;;;1;;;;1;1;5;;;;;;1;1;1;1;;;;;;;;;;;;;2;1;1;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
28198-5490;1;18;2;;;2;1;24;;;;;8;;16;;3;2;2;1;2;;1;;3;1;5;;1;;11;;;1;;;;;;;;;;6;1;;1;7;1;;;;5;5;4;4;;;;;;;;2;;6;1;1;;;1;;1;;;;;;;;;;;;;;;1;;;;;;;;1;;2;1;1;;;1;1;3;;3;;8;2;7;7;5;3;1;1;;;;;;;;;;;;;;;;1;;1;;1;;1;;;;;
23182-6895;;2;;;;1;;7;;2;;7;3;;2;;1;1;1;;1;2;;;;;1;1;;;2;1;1;;;;;;;;;;;;;;1;1;2;;;;1;1;1;1;;;1;2;;1;1;1;;1;;;;;;;;4;;3;1;;;;;;1;1;;;1;;1;;1;;;;;1;;;;;;;;;1;;;;1;;1;1;;;;;;;;;;;1;;1;1;1;;;;;1;;1;;1;;1;;;1;1;
21629-5061;4;15;2;1;;2;;39;1;3;;20;21;1;47;1;3;1;;4;2;1;2;1;;;3;1;2;3;7;1;2;1;;1;;;;;1;;;5;2;;1;2;3;2;;;9;4;3;1;;;1;5;1;1;2;1;1;18;;3;;1;1;1;1;1;;7;;;;3;7;4;1;;1;6;2;;10;1;1;;;5;2;;;;;6;;;2;1;2;;2;2;8;2;7;4;;;;2;;;;;;1;;;;;;;;;;;;;;;;;1;;;;
