aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>41>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;14 48>31>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;30 48>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;48>29>;48>30>;48>31>;49>49>;
30996-4435;;2;;;3;2;;21;1;1;;6;8;;21;;11;15;2;;2;1;;;;1;1;;;;;;;;;;1;;;;1;;;;;4;;1;;;1;1;;1;3;;2;2;4;3;2;;;2;1;1;;;1;1;;6;1;;;;1;5;1;;;;;;1;;1;1;;3;1;3;2;;;;1;;1;1;;;;;;;;;;;3;;;3;3;2;;;;;;2;;1;;;;;2;1;1;;3;1;4;2;2;1;;;;1;1;1;4;4;1;1;1;;;8;2;4;2;2;4;1;2;4;5;2;2;;2;;;;1;;;;1;
30926-4433;3;13;6;2;1;2;;25;1;;;1;7;;18;;3;3;2;3;3;;2;;1;3;;;;2;3;;;2;;;1;1;;;3;2;1;1;;2;;;;;;;;;3;;;;;;;;;;;;;;2;1;1;10;;2;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;2;;2;1;2;;;4;1;;;2;;4;1;1;1;1;1;1;;;;;;;1;1;1;;3;;2;1;1;2;;;;2;2;1;1;1;1;1;1;1;;;;;
30813-5490;1;2;;2;5;2;;15;;;;1;2;;16;;3;7;;1;2;;;1;1;;;;;;1;;1;1;1;;2;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;1;1;;;1;1;3;1;2;1;2;1;1;;;;;;;;2;;;1;;1;;;;;;;2;;;;;;;;;;;;;
27129-7297;;4;;;;;;12;;;1;5;7;;5;;2;4;;;2;;;;;1;2;;;;2;2;;;;;;;;;1;;;1;;6;1;1;1;1;;;;;2;;1;;;;;1;;4;3;1;;1;2;1;;;;;;;;2;;;;;;;;;2;1;;;;;;;;;3;;1;;;;;;1;;;1;2;;1;1;1;;;;;;;;;1;;;;;;;1;;;;;;3;;;;;;;1;1;1;1;1;1;;1;;;1;;1;;;;;;;1;;;;;;;;;;;;;
28835-4435;;1;;;;;;10;;1;;9;9;;1;;;;;;4;;;;;;1;1;;;1;1;;;;;;;;;;;;2;1;6;;1;;;1;1;;;1;1;;;;;;;;4;3;;;;3;;;;;;;;;;3;;;;;1;1;1;1;1;;2;;2;;;;;3;;;;;;;;;;;1;;;3;;;1;1;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;
30696-4435;;;;;;;;12;;9;;24;11;;4;;1;2;;;8;1;;;;;;;;;;;;;;;;;;;;;;1;2;6;;2;;;2;;;1;3;1;2;2;;;;;1;6;1;1;2;1;1;;;1;;;;;;1;2;1;;;;2;7;2;3;1;;10;;4;2;1;;;1;;1;1;;;;2;1;1;1;5;1;;7;;;5;2;1;;;;;;1;1;;;;;;;;1;;2;1;2;1;2;1;1;1;1;1;1;;1;1;;;;;;1;;;;;;;;;;;;;;;;;3;;1;1;1;
29011-4114;2;10;;7;;4;1;33;3;1;1;18;19;2;19;;4;4;1;2;8;;1;1;;1;2;1;;;6;1;1;2;3;;;4;;;;3;3;;1;10;;4;;;2;2;;2;4;;2;2;;;;;;7;1;;2;1;2;1;;5;1;;;1;1;1;4;1;;3;3;1;1;1;2;2;2;5;2;4;3;2;1;2;4;;2;;;;;2;1;;;1;1;1;10;;;3;3;2;1;1;;;;7;5;1;2;1;;1;1;2;;;2;;4;;3;;3;;;1;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;2;1;;
22700-5489;1;5;;2;;1;;5;;;;2;1;;;;;;;1;1;;1;1;;;;;;;3;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31077-4434;;1;;;2;3;;20;1;2;;14;16;;16;;;;;;;;;;;;;;;;1;;1;1;;;1;;2;1;;1;;2;;10;2;5;3;2;1;1;;2;4;1;;;;;;;;6;3;1;1;;4;3;1;7;2;1;;;;;;;;1;1;1;2;1;6;3;1;2;;1;1;;;;3;2;1;1;;;;1;;;;;4;2;6;3;2;1;1;1;;;;;;4;;;;4;1;;;;;1;3;1;2;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27616-4435;1;13;;3;;1;1;31;;;;8;6;2;11;4;2;3;1;1;5;4;;1;1;2;1;1;;;8;1;;;2;;;1;;;3;;;;2;4;;3;;;1;1;1;;3;;2;2;;;;;1;1;1;;;;2;1;;5;;1;1;;;;3;;2;;;;;;;;;1;;1;1;1;;;2;;;;;;;;;;;;1;;3;;;1;1;1;1;;;;;1;1;;;;;1;1;;;;;;3;;3;;2;;;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;2;1;;;2;2;1;1;1;1;;1;1;;;;1;
