aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41 43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;46>1>;48>14>;48>31>;49>49>;
30996-4435;;1;;2;;3;;46;;9;;32;31;;38;;;1;;1;;;;;;;;;;1;;1;;1;;;;1;;;2;1;1;1;17;3;7;2;1;1;2;5;1;;;;;;14;5;1;1;9;1;1;16;2;;;;;;;;;3;9;3;9;8;4;6;4;1;;;;6;1;;;;3;1;;2;3;;10;4;4;2;;;1;;;;;3;2;2;1;4;;;;1;;5;2;10;3;3;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
30926-4433;6;26;13;6;11;8;;86;4;;;11;32;;95;16;22;5;7;7;;1;2;3;7;;2;4;4;11;;3;;5;1;5;5;3;;4;3;1;3;;8;;3;;;1;;19;5;4;1;5;4;;3;1;1;;8;1;2;31;1;5;1;1;4;1;;1;3;;;;1;;;1;;;;;;1;1;1;1;1;2;1;;;4;;7;1;;1;;;1;1;1;1;1;3;;5;1;8;1;;6;3;1;7;2;25;4;14;3;8;5;4;2;4;1;5;2;2;4;8;7;4;2;7;2;;9;4;5;2;3;2;6;4;;;
30813-5490;2;12;;2;2;2;;40;2;;;11;15;;35;6;8;1;2;3;2;;1;3;;;;;;8;;3;2;4;1;;1;;;1;1;;1;2;2;;1;;1;;;4;3;2;2;;;;2;;;2;7;1;1;17;;2;1;2;3;1;1;1;;;;;;;;3;;1;;;1;3;;;;;;2;;1;;;5;;;3;1;;1;;;;;2;;2;;2;;;;1;;4;2;8;3;5;3;4;3;3;3;1;1;2;1;1;2;2;2;;;;;;3;;;;;;1;;;1;
27129-7297;;5;;5;;6;;16;;;;17;8;;18;5;7;;;;;;;;;;1;;;3;;1;1;2;;;;3;2;;2;1;;;1;;;;;;;3;1;;;;;;3;;;;;;;9;1;;;1;1;;;;;;;;;;;12;;9;7;4;2;2;1;;;;;;;2;1;;5;;;4;3;2;;;;;;1;;;;;;;;;;4;2;2;;;;;;;;;;;;;1;3;2;;;1;1;;3;;1;;1;;;;;;
28835-4435;1;7;;;;1;;15;;;;7;10;;13;1;;;1;6;;;;;;1;1;1;1;3;1;;1;1;;;;;;;;;;;5;;3;;1;;1;3;3;3;3;;;;3;1;1;;1;;;5;1;1;;1;;2;;;;;;;;;;1;;;;;;1;1;;;;;;;2;;;4;;;1;;;;;;;;2;1;;;;;;;1;;1;1;6;;6;;5;5;5;1;;;;;;;;;;;;;;;;;;;;1;1;2;;
30696-4435;;3;;;;;;19;;3;1;20;17;1;9;;;;;2;4;;;;1;2;;;;1;1;;;;;;;;;2;;;1;;9;;6;;1;;;1;1;;;;;2;7;2;1;;;;;4;1;1;;;;1;2;;;2;3;2;5;3;1;5;2;;;;1;3;2;1;1;1;;4;1;;;;8;;;2;;;1;1;1;1;1;;;;;1;;;1;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;
29011-4114;2;7;7;6;11;4;1;50;2;;;15;18;3;42;16;21;2;2;3;1;2;1;;2;;;1;;2;;;;;1;2;1;3;;2;;;1;;9;;5;1;;2;;5;2;2;1;3;;1;5;1;1;;1;;;13;2;1;2;4;8;1;;2;2;;;;5;1;;2;1;;;;1;5;1;;;;1;2;1;;1;1;8;3;;1;;;2;;;;;2;;;1;3;1;2;1;1;1;2;1;7;;6;;5;;;;1;;1;;;6;4;;;;;;1;2;;1;;1;;;;;1;
22700-5489;;1;;;;;;7;;;1;1;1;;9;3;5;1;;3;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;2;1;;;;;;1;;;;;;;2;;;;;2;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;2;2;1;1;;;;2;;1;;1;;;;;;
31077-4434;;1;1;4;;3;2;40;;;1;6;14;1;37;4;2;2;;6;2;;;;;;;;;;;;;;1;;;2;1;;1;1;2;2;7;;2;1;;1;;5;3;3;1;;;2;1;;;1;6;2;2;19;1;1;;1;;1;;;;;;;2;1;1;1;1;1;1;1;;1;;;;;1;1;;;1;1;2;1;1;;;;1;;;;;3;;7;;2;;;;;2;4;1;9;2;4;;2;2;2;;;;;;;2;2;1;1;1;2;1;;1;1;1;1;1;1;;1;;;
27616-4435;;3;;3;;2;2;81;2;;2;24;35;3;27;6;14;1;;10;7;;;;;1;;;;3;1;;1;;1;;;2;;;1;1;11;6;18;2;8;1;;4;;9;5;4;1;1;1;2;7;2;1;;10;3;;8;1;2;;;4;6;3;2;2;;;;3;1;1;4;1;;;;2;10;2;1;1;;;3;2;1;4;2;14;1;1;;;;8;1;1;1;;6;2;1;;1;1;2;;3;1;2;;9;1;7;;3;1;;;2;2;3;3;2;2;6;4;3;1;3;1;1;6;3;3;1;1;1;;;;3;
