aluno;1>;2>;3>;5>;6>;7>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1 2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>41>;2 14 41>;2 41>;3>2>;3 14>;3 41>;5>5>;5 14>;6 7>;6 14>;6 41>;6 48>;7>5>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>30>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14 30>;14 30>31>;14 31>;14 31 41>;14 41>;14 41>2>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;30>14>;30>14>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>14>;31>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31>48>29>;31 41>;41>2>;41>2>14>;41>14>;41>30>;41>31>;41>31>30>;41>31>48>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41 43>;43>44>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;46>1>;46>1>2>;48>14>;48>29>;48>48>;49>49>;
17491-4917;;2;3;;2;1;20;2;1;;5;;17;4;3;1;;5;1;;;;;;;1;1;;;;;;;;;;;;;;;1;;1;;;;1;;;2;1;2;;;;;1;;;2;;1;1;1;1;1;;;2;1;10;1;;;1;;;2;3;2;1;;;;;;;;;;;;1;1;;;;;;;;;;;2;2;1;;;;;;5;;1;1;1;1;1;1;1;;;;;;;;2;1;1;1;1;;1;;;;1;1;1;;;;2;;;;
14932-4114;1;6;;;;;5;;;1;2;;2;;;;1;;;1;;;;;;;;;;;;4;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
22279-4114;1;6;1;1;;1;13;;2;5;7;;14;;;;1;3;1;1;;;;;;1;3;2;1;1;1;2;1;;;1;;;1;;;;;;1;;;2;;;;1;;;;;;2;1;1;3;;2;2;;;;1;;;;6;1;;;1;;;;;;2;;;1;;5;3;3;1;1;;;2;;4;;;3;1;3;;3;;;;3;1;;1;5;2;;9;3;5;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;
15016-4433;;;;2;;2;8;;;;3;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;1;;;1;;;;;;;;;2;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22977-5799;1;8;9;;6;2;20;;;2;2;2;20;;;;1;;3;;;;;;;2;3;1;;1;1;5;1;1;1;2;4;1;;;1;;3;;;;2;;;;3;;2;;;;1;;;;5;;2;1;;;;;;;;6;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;
17228-6401;3;7;4;4;;2;30;3;;5;13;2;20;;;;3;1;;;2;;2;2;1;1;3;1;1;1;1;4;1;1;2;1;;;1;1;;;;;2;;1;3;1;1;2;;10;;;3;2;8;2;1;7;1;6;4;3;3;;;;1;;11;;2;2;2;1;1;;;;1;;3;3;2;1;1;;;;;;7;2;4;3;2;;;4;1;1;;;;;;2;;5;2;;7;3;4;3;3;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;
12626-7114;;4;4;;;;19;1;;4;6;1;20;1;3;1;;;;;;;;;;3;;1;;;;1;1;;;3;1;1;;;;;;;;;;1;;;1;;1;;;;;;;;2;;;;;;;1;;1;1;9;;1;;;;;1;1;;;;1;1;;;;1;;;1;1;;;3;1;;;1;1;;;;;3;;;2;2;1;;;3;;2;1;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;
22433-4434;2;8;;;;1;12;;;5;8;;17;3;2;1;2;2;;1;1;1;;;;;4;;;2;1;1;;;2;;;;;;;;;;;;1;3;;3;;;1;;;;;1;;;3;;2;2;1;;;2;1;1;;7;2;;;2;1;1;1;1;;;;;;;;;1;;;1;2;;;;;;;;;;1;2;;4;3;2;1;;1;;1;3;;2;2;;;;;;1;1;;1;;;;1;;;;;;;;;;;;;;1;1;;;;;
22612-4603;1;4;;1;1;4;15;;;4;5;1;10;1;2;;1;1;3;;;;;;;;1;;;1;1;3;;;1;;;;;;;;;;1;;1;;;;;2;5;2;;1;1;2;;;1;;;;;;;2;;2;1;4;;;1;;;;;;;;1;;3;3;;;2;2;;;;1;;2;2;2;;1;1;;1;;;1;;;;1;1;;;1;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;1;;1;;;2;
13346-4434;1;3;;;;1;8;1;;;1;1;5;;;;1;;;;;;;;;;;;;1;1;2;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;1;;1;;;;;;;;;4;1;;;1;1;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;1;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
