aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>14>;2>31>;2>46>;2>46>1>;2 14>;2 14 31>;2 14 41>;2 31>;2 41>;5>5>;5 14>;6>6>;6 14>;6 41>;7>5>;7>5>5>;7>14>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 44>;14 48>;14 48>31>;14 49>;16>31>;16 31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>14>;30>31>30>31>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>41>;31 41>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>31>31>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 44>;43>14>;43>41>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>43>;44>44>;44>44>14>;44>44>44>;46>1>;48>30>;48>31>;48>48>;48>49>;48>49>49>;49>48>;49>49>;
27129-7297;;2;;3;;1;9;;;1;1;;6;1;1;;;;;;;;;;1;;;;1;1;1;;;;1;;1;1;;;1;1;2;1;1;;;1;1;;2;;;;;1;1;;;;;;;;;;;;3;;;;;;;;;;;;1;1;;;;1;1;1;1;;;;;;;1;1;;;1;1;;;;;;1;;;;;1;;;;;;;;;;1;1;;;;1;1;;1;;1;1;;;;;;;;;;
1436-6400;1;17;;2;5;4;39;1;;12;14;;27;10;10;;1;3;;1;2;1;;;12;1;4;1;5;;;1;1;1;1;;;;;4;4;1;2;3;1;;1;;;2;5;3;2;2;2;4;;;;;2;;;;1;4;;1;13;;;1;5;1;1;;;1;;;2;1;4;3;2;1;;;;;1;1;1;2;2;7;2;2;2;1;;3;3;;;3;2;3;2;;;5;3;2;4;3;2;2;4;4;2;;2;3;3;;4;2;1;1;3;2;1;1;;1;1;1;;;;;
21169-6402;1;2;;;;;10;;;2;4;;12;2;2;;1;1;2;1;;;;;2;1;1;1;1;;;;;;;;;;;;;;1;1;;;;;;1;2;1;;;;1;1;;2;1;;;;;;1;;1;5;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;2;;;;1;1;1;;;;2;1;;;;;3;;;1;1;1;;;;;1;1;;;1;1;;;2;;;;;;;;;1;;1;1;
22700-5489;;2;1;2;;1;3;;;2;2;;2;4;6;1;;;;;;;;;1;1;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;1;;;1;1;1;;1;1;2;1;;;;;;;;;;
23467-4433;1;4;;2;;2;8;;;5;5;;8;;;;1;2;1;;;1;;;3;;1;;1;;1;;;;1;;;;1;;;;1;2;1;;;;;;3;;;;;;;;;;1;;;;1;;;;4;1;;1;;1;1;;;;;;;;2;1;1;;;;;;;;;1;1;4;;2;1;;;;;;;1;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;1;;
27532-4114;;1;;;;2;14;;1;4;6;1;9;;;;;2;;;;;;;1;;;;;;;;;;;;;2;;;;;1;3;2;;1;;;;3;1;;;;;;;;;1;;;;;3;1;;3;;;;;1;;;;;;;1;;2;1;;1;1;1;;1;;1;;;1;3;1;1;1;1;1;1;1;;1;;;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;
18398-5384;3;9;2;;3;2;21;2;1;7;8;2;14;3;4;1;3;1;;3;;;2;1;6;1;3;1;3;;;;1;;;;;1;;1;;;1;3;2;;2;;;;3;2;1;1;;;;;;;2;;;2;2;4;1;3;10;1;;1;2;1;;;2;2;;1;2;;2;;;;;;;1;;;2;2;;2;;2;;;;3;;;;3;;1;;;;3;;;2;1;1;;;;;;1;1;;;2;2;2;1;;2;1;2;1;;;;;;;;
27352-6401;;;;2;;1;14;;;6;10;;3;1;;;;2;1;;;;;;;;;;;1;1;;;;1;1;;;;;1;1;;3;;;;;;1;;;;;;;;;1;;4;2;;;;3;;;2;;;;;2;1;1;;;;;;;1;;;2;;;;;;;1;;;1;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;
22525-4435;;;;;;;6;1;1;5;7;1;3;1;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;;1;;;1;1;;;;;2;;;;1;;;;;;1;1;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;
22559-5384;;1;1;;;;5;;;3;3;;6;2;1;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;1;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;1;1;;;;2;;;;;;;;;;1;;1;1;;;1;1;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
