aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;5>5>;5 14>;6>6>;6 14>;6 41>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>31>31>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 44>;14 48>;16>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>41>;31 41>;41>2>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>43>;41>43>44>;41 43>;43>41>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>43>;44>44>;44>44>14>;44>44>44>;46>1>;48>49>;49>48>;49>49>;
21361-4917;2;12;;7;8;5;63;1;2;29;43;;20;1;1;;2;8;8;;;;;2;3;;2;2;8;3;2;1;3;1;2;4;2;;4;1;2;;;;1;1;5;1;15;5;3;3;1;3;1;;;;;7;6;16;4;2;6;18;;1;12;2;1;;;8;;1;2;4;1;7;1;2;1;5;3;2;6;;2;11;1;5;1;;;4;1;;1;3;;;2;;;2;;;;;;1;1;;;1;;;;;;;;2;6;2;6;
24192-6401;;3;;9;5;6;25;;;4;7;;12;2;2;;;;2;;;;;1;;;;;2;;;;1;3;2;1;1;1;4;2;4;;;;2;2;5;1;5;2;;1;;3;1;1;;1;1;1;1;1;;;;2;;;7;1;;;;;;;;1;1;;;;;1;1;;;;1;3;1;;;1;1;1;;1;;;;3;1;;;2;;1;;;;1;1;1;;2;2;1;2;;2;2;1;;;;1;
22363-4114;3;18;;15;6;10;40;2;;13;27;1;71;6;9;1;4;5;2;2;;;;;3;3;1;1;7;1;2;1;8;3;;;;2;7;2;1;3;;;3;3;1;;4;1;;2;1;9;2;1;1;;;;;3;;;1;7;1;2;19;2;2;;;;1;;;1;;1;;;;2;;;2;1;;4;;1;;;;4;1;1;3;6;1;;7;3;1;16;2;6;5;1;1;2;1;3;;4;3;2;2;;5;1;2;2;2;2;1;
27129-7297;1;2;;3;;2;27;;1;13;18;2;10;5;3;1;1;3;2;;;;1;;;;1;1;1;;1;;1;1;1;;;;2;1;;;;;1;1;1;;8;3;1;2;1;;;;;;;2;;4;2;;;5;1;;6;1;;;1;2;;1;1;1;;4;;1;1;2;;;1;;1;6;;3;1;;;5;3;1;1;;;1;2;1;1;1;;1;;;;2;1;1;1;2;1;;;;2;;;1;;1;1;
1436-6400;3;26;;2;7;6;59;1;;15;17;;40;12;12;;3;5;;2;1;1;2;3;2;;2;1;19;2;5;1;7;;;2;2;2;1;;;;5;;4;1;2;1;5;2;1;2;2;5;3;2;2;4;;;;3;;;;3;;1;23;2;1;;6;2;;;;2;1;5;;4;2;1;;1;1;2;2;10;2;4;4;1;;3;3;;;5;1;4;5;3;;5;3;4;3;2;;4;4;3;;5;3;1;1;3;3;1;1;1;;;;
21169-6402;1;2;;;14;2;25;;;6;17;;14;1;3;;1;4;6;;1;;;;;;;;1;;;1;;;;4;3;;;;1;;;;;;1;;5;2;1;1;1;1;;;;;;3;1;3;;;;8;2;;8;;;;1;;;;;1;1;3;1;1;;2;1;2;;;1;5;;3;1;1;1;5;2;;1;1;;;1;1;1;1;;1;;;;;;1;;1;;;;;;;;1;3;2;3;
22700-5489;;2;4;;;;11;;;2;5;;18;5;4;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;2;1;;;;;;4;3;1;;2;1;;;;;;;1;;;6;;3;3;1;;;;;1;;;;;;;;1;;;;2;1;;;;;1;;;2;2;1;;2;1;;8;2;6;3;2;1;2;1;2;2;1;1;;1;;1;;;;;;;
23467-4433;1;8;;;;;19;;;3;6;;16;1;1;;1;;1;;1;;;3;1;;;;4;1;1;;3;;;;;;;;;;;;;;1;;3;2;;;;2;;;;;;1;1;;;;;2;1;1;5;;2;;1;;;;;1;;;;;;1;;;;;2;3;1;;;1;;1;;;1;3;1;3;;;;5;;2;1;1;1;;;;;;;;;;;;;1;;;1;
27350-6401;3;10;1;2;;1;71;1;4;26;49;;38;4;4;;3;5;;2;2;1;1;;2;1;1;;3;1;;;1;;1;;;;1;;;;2;;1;1;4;;16;7;3;3;;6;2;2;1;1;;;;16;4;3;2;27;3;1;15;3;1;1;1;3;1;3;1;3;1;5;1;1;;6;3;2;2;2;1;9;;4;1;;;7;1;1;4;1;;2;6;2;2;6;;5;3;2;1;2;;1;3;;;;1;;1;;;1;;;;
26940-4917;2;6;;2;;1;41;1;;13;23;;24;;;;2;4;1;1;1;1;;1;;;1;1;3;;;;;;1;;;;1;;;;1;;1;1;2;;12;6;;;;4;2;;;;;1;1;4;2;2;;7;3;;13;1;1;;;4;;;;3;;3;;;;7;5;1;3;;2;10;2;1;;6;4;4;3;;;1;;1;2;1;;5;1;1;1;1;1;;;;;;;;;;;;;1;;;1;
13405-5490;8;42;5;10;20;9;112;2;2;36;61;2;68;5;3;1;8;20;18;6;2;2;8;5;2;4;4;2;16;1;5;1;7;2;2;6;5;3;7;2;;2;16;3;4;2;8;1;21;4;2;8;3;11;3;2;1;;;13;13;11;;;2;15;2;2;29;2;3;2;2;13;2;1;1;8;2;8;2;5;3;7;6;3;4;2;6;21;6;7;5;7;6;15;5;4;5;8;7;;10;5;3;11;3;5;3;1;1;;;4;;;;;1;;;;;2;2;4;15;
20796-4435;3;13;;5;1;7;40;;;14;15;;30;5;5;;3;;;1;;;;;2;;2;2;9;1;3;1;3;2;2;;;1;2;2;3;1;3;;2;2;2;;4;1;;3;2;4;1;;;4;2;;;3;1;;;2;;2;15;;1;;2;;;;;3;1;2;1;2;1;6;3;;;;2;9;1;2;2;3;2;3;2;;;3;;1;3;2;;5;1;1;1;1;;1;;2;1;2;1;1;3;1;1;;1;2;;;;
27532-4114;2;5;;;;;12;;;1;5;;16;2;3;;2;;;1;1;1;;;;1;1;1;2;;1;1;2;;;;;;;;;;;;;;;;;;;;;3;2;1;1;;;;;;;;;2;;1;9;;3;2;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;1;;1;;;3;;2;1;1;1;;;2;;1;1;1;;;1;;1;1;;;;
24082-4603;;;;;;;11;;1;2;3;;9;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;4;1;1;1;1;1;;;;;;;1;;;5;1;1;1;;;;1;;1;;1;1;;;1;1;;;;;2;;;;1;1;1;1;;;1;;1;2;2;;1;;1;1;1;;1;;;;1;1;1;1;;1;1;1;;;;;
18398-5384;5;19;9;1;3;6;43;4;2;11;16;5;34;8;8;3;5;1;;5;3;3;2;;;3;3;1;12;;5;2;5;1;;1;1;;1;1;2;1;2;2;;;1;2;2;2;2;;;5;4;3;3;2;;;;5;;;2;5;;3;16;;1;1;4;1;2;2;2;3;;4;1;;;1;1;;3;2;1;5;2;2;;;;3;;1;;4;;;;;;7;;5;3;2;2;2;;1;1;3;3;3;2;;4;2;4;1;;;;
27352-6401;1;4;;2;;3;20;;1;7;9;2;6;;;;1;2;;;;;;;;;1;1;3;;;;;;1;;;;1;;2;;;;1;1;1;;5;3;1;;;3;1;;;;;;;1;;;;3;1;;2;;;;;1;;;;2;1;3;;1;;2;2;;1;;1;5;2;1;1;2;2;1;1;;1;;;;2;;;1;1;;;;;;;;;;;;;;;;;1;;;;
21513-6030;1;10;;;2;1;32;1;3;16;17;;28;13;15;1;1;5;;;;;;;;1;1;1;5;;1;;2;;;;1;;;;1;;;;;;;;5;3;;;;2;2;2;2;10;9;;;4;1;;;3;1;2;11;;;;4;3;1;3;2;1;1;6;1;1;1;1;;2;;;;11;;2;1;1;;1;;;3;3;1;1;4;3;1;7;1;3;3;1;1;4;4;2;1;12;8;2;1;4;8;1;2;1;;;;
22525-4435;1;2;4;;;;12;;1;5;4;1;8;;;1;1;2;;;1;;;1;;;;;1;;;;;;;;;;;;;;;2;;;;;2;;;2;;;;;;;;;;1;;;;;;;5;;;;;;;;1;2;1;;;;;1;;;;1;;3;1;;;1;;3;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
22787-4435;3;11;;2;1;4;24;;1;14;15;;29;6;6;;3;3;2;1;1;1;1;;2;2;;;6;;3;;4;;1;;1;;1;;;2;1;;1;;2;;6;4;1;;;6;2;2;;1;1;;;3;;;;1;;;10;2;2;1;3;1;;1;;;;3;;1;1;1;1;1;;2;3;9;;3;1;1;1;1;1;;2;3;;1;5;3;1;7;;4;3;2;1;1;;1;;2;1;;2;1;1;1;;2;1;1;;
22559-5384;;1;1;;;;6;1;1;4;5;1;12;1;;;;4;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;2;1;1;;;;;;;;1;;;1;;;3;;;;;;2;2;;;;;;;;;3;;1;1;;;;;1;;;;;;;;;;;;;;
15247-6400;2;14;;;7;5;102;3;3;26;36;4;55;4;3;;2;5;;;;;1;4;1;;2;2;6;1;1;1;1;;;;4;1;;;2;;8;;1;;6;2;19;7;;1;;6;3;3;2;;;;;13;6;5;1;11;4;2;32;1;4;2;1;3;1;2;3;9;4;3;;1;1;9;8;;1;;2;11;7;1;;4;3;6;;;1;6;4;2;3;1;;11;;6;4;4;1;3;1;;1;2;2;1;1;;2;1;1;2;;;;
18607-4917;;1;;2;1;8;8;1;;10;6;;5;;;;;1;;;;;;;;;;;1;;;;;1;1;;1;1;1;1;4;3;;;1;1;1;1;1;1;1;;;;;;;;;;;1;;;;1;;;3;;;;;;1;;;2;;5;;1;1;1;1;1;;;;5;;4;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
22423-4434;1;6;7;2;;1;26;2;2;18;19;3;20;7;9;2;1;4;;1;1;1;;1;1;;;;2;;;1;1;;;;;;1;;;;1;3;;;;2;4;2;;1;;8;3;2;1;2;1;;;3;1;1;;5;1;1;7;1;3;;1;;2;1;1;3;;2;1;;;3;1;1;;;2;10;2;1;;;;3;1;;;3;;;5;3;1;10;2;4;3;1;1;1;;2;1;2;1;;2;1;2;1;;;;;;
27512-4435;1;6;2;5;;4;38;1;;12;20;1;25;2;2;;1;2;;;1;;1;;;1;;;3;;1;;1;1;2;;;;3;1;1;;1;1;1;1;4;;6;2;;1;1;5;4;3;1;;;;;5;2;1;;4;;2;14;3;2;2;;1;1;;;1;;1;1;;;4;3;2;;2;1;6;;1;;1;1;3;1;1;1;6;;;7;2;;4;2;4;1;1;;;;1;;1;1;1;;1;1;;1;1;;;;
