aluno;32>;1>;2>;3>;5>;6>;7>;8>;41>;42>;43>;44>;13>;45>;14>;46>;48>;16>;49>;29>;30>;31>;32>31>;32>31>30>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>3>2>;2>41>;2>14>;2>14>2>;2>14>41>;2>46>;2>31>;2 3>;2 41>;2 14>;2 14>2>;2 14>14>;2 14 41>;2 46>;2 31>;3>2>;3>2>14>;3 14>;5>5>;5>5>5>;5>5>14>;5>14>;5 14>;6 14>;7>5>;7>5>5>;7>5>5>5>;7 41>;7 14>;41>2>;41>2>14>;41>7>;41>7>5>;41>41>;41>41>41>;41>41>41>41>;41>41>43>;41>41>31>;41>43>;41>43>44>;41>43>44>44>;41>44>;41>44>44>;41>14>;41>31>;41 43>;41 43>44>;41 43>44>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>44>;44>44>44>;44>44>44>44>;44>44>44>44>44>;44>44>44>14>;44>44>14>;44>44>14>41>;44>14>;44>14>41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>41>;14>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>45>;14>14>;14>14>2>;14>14>41>;14>14>14>;14>48>;14>31>;14>31>14>;14>31>14>41>;14>31>30>;14 41>;14 41>41>;14 41>14>;14 41 43>;14 43>;14 44>;14 48>;14 30>;14 31>;14 31 41>;46>1>;46>2>;48>29>;16>31>;16>31>14>;16 31>;16 31>31>;16 31>31>14>;30>14>;30>30>;30>31>;31>41>;31>14>;31>14>41>;31>48>;31>30>;31>30>14>;31>30>30>;31>31>;31>31>14>;31 41>;
17491-4917;5;;3;4;4;1;4;1;16;2;5;4;2;2;22;;5;1;1;;7;10;4;3;;;;;;1;;1;1;1;1;;;;;;;2;;;;;;1;;1;1;1;;1;1;;2;1;1;;;1;1;;;2;;;;1;2;;;1;;1;2;1;1;;1;;;;1;1;;;;;;;;;;2;;;3;;;;;;1;3;;;;2;2;1;;1;3;;;;1;1;;2;2;;;;;1;;;;;;1;3;;2;;3;3;;1;;;;
14932-4114;1;;;;;;;;2;;1;;;;3;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;1;1;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;
16014-6590;;;3;;;;;;2;;;;;;4;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18432-5799;1;1;13;10;;;1;1;16;1;1;;;1;23;1;1;3;1;1;4;9;1;1;1;;;;;1;;7;5;;4;1;1;1;;1;1;7;1;2;1;;1;6;3;1;;;;;;;;;;1;;1;;;;5;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;6;2;2;;;3;1;;;;;1;6;2;1;2;1;3;1;;;8;;3;;;;;;1;;1;;1;3;3;3;3;3;3;1;1;;5;;;3;2;;3;3;1;
21380-4114;;;1;;;;;;7;;4;11;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;2;1;;3;2;2;1;4;3;2;2;1;1;;1;;;;;;;;;1;1;1;1;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
22279-4114;;1;3;;;;;;6;;1;3;;;7;1;;;;;;3;;;;1;1;1;1;;;;;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;2;1;1;;;;;;1;1;;;1;1;1;1;1;;;2;;;;;;;;;1;;;;;1;1;;;;;;;;;;;2;1;1;;2;;;;;1;;;1;;;1;;;;;;;;;;;1;1;;;;;1;1;;
15016-4433;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14770-5489;2;1;2;;;;2;3;2;;;;;;4;1;5;1;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;1;1;;;;;;1;;;;;;;;;1;;;;;;1;
22135-4114;;;2;;;;;;19;;7;5;;;12;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;5;1;;1;;2;1;;1;1;;1;5;1;1;2;1;;;3;;;;;2;1;2;1;1;;;;;3;1;1;1;;;;;;;;;;;;;7;1;;3;3;1;;;1;1;;;;;;;;;;;;;;;;;;;;;1;
17228-6401;1;;1;;;1;1;;8;;4;2;1;2;7;;1;;;;;3;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;1;;;1;1;1;;1;;;;;;1;1;1;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;2;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;2;
18444-5384;;1;2;;2;1;2;;7;;1;2;;;6;1;;;;;;1;;;1;;;1;;;;;;;1;;;;;;;;;;;1;;;;;;;;1;;1;1;;;1;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;1;;1;1;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;3;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;
21321-4434;;3;14;7;3;1;5;1;18;;1;1;;;32;3;1;3;1;1;9;12;;;;2;2;2;1;1;1;;;;3;;2;1;;2;3;8;;1;3;1;1;1;;2;1;1;;;1;;2;1;1;;1;3;1;1;;4;2;1;1;;1;1;;;;;;;;;1;;;;;;;;;;;1;1;;;4;2;;3;1;;;;;;2;;1;1;;3;1;;2;10;;;;;;;3;7;2;1;2;1;2;2;3;2;2;2;1;;1;2;;;4;1;;2;2;3;
22433-4434;;;1;;2;;1;;6;;;;;;5;;1;1;;;1;6;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;1;1;;2;;;;;;;;;;;;;1;;1;1;;;1;;;1;1;1;1;;;1;;1;
13346-4434;;;1;;;;;;2;;1;;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
21513-5384;;1;2;;3;;1;;9;;;;;;7;1;2;;;1;;2;;;;1;;;;;;;;;;;;1;;;1;1;;;1;;;;;;;;;;1;;1;;;;;;;1;1;6;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;;;;;;;;;;;;5;2;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;
18444-4114;;1;6;;;;;;6;;;;;;9;1;;;;;;;;;;1;;1;1;1;;;;;2;2;;;;;;4;1;;;;;;;;;;;;;;;;;;;1;1;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;3;1;;;;;;1;;1;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16014-5799;;1;3;;;;;;10;;;2;;;8;1;;;;;1;1;;;;1;;1;1;1;1;;;;2;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;1;;;;1;;;;;;;;;;;;1;;;1;5;1;;;;1;;;;;;;;;;;;;;1;;;;;;1;;1;;;;
