aluno;32>;1>;2>;3>;5>;6>;7>;8>;41>;42>;43>;44>;13>;45>;14>;46>;48>;16>;17>;29>;30>;31>;32>31>;32>31>30>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>3>2>;2>41>;2>14>;2>14>2>;2>14>41>;2>14>14>;2>31>;2 3>;2 41>;2 14>;2 14>2>;2 14>41>;2 14>14>;2 14 41>;2 46>;2 31>;3>2>;3>2>14>;3>14>;3 14>;5>5>;5>14>;5 14>;7>5>;7>5>5>;7 41>;7 14>;41>2>;41>2>14>;41>7>;41>7>5>;41>41>;41>41>2>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>43>;41>43>44>;41>44>;41>14>;41>30>;41>31>;41>31>30>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>44>;44>44>44>;44>44>44>44>;44>44>44>44>44>;44>44>44>14>;44>44>14>;44>14>;14>32>;14>32>31>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>45>;14>14>;14>14>2>;14>14>41>;14>14>14>;14>14>14>14>;14>48>;14>30>;14>31>;14>31>14>;14>31>30>;14 41>;14 41>41>;14 41>14>;14 41 43>;14 43>;14 44>;14 48>;14 30>;14 31>;14 31>30>;14 31 41>;46>1>;46>1>2>;48>29>;16>31>;16>31>14>;16 31>;16 31>31>;17>30>;30>14>;30>30>;30>31>;30>31>30>;31>41>;31>14>;31>48>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>31>;31>31>14>;31 41>;
17491-4917;9;;9;10;;;;2;25;2;4;3;;1;33;;3;2;2;;10;12;7;4;;;;;1;;1;;1;;;;;;2;1;4;;1;;;;;2;;1;5;;;;;;;;;;;;3;;1;1;1;2;1;1;1;;1;;1;1;2;1;1;1;1;1;1;;1;1;1;7;4;;;;3;1;;;3;;;;1;1;1;1;1;4;;;3;;;;1;;1;7;;;;1;1;;6;2;;;;;;1;;1;1;1;2;2;2;1;;2;2;5;2;1;2;2;;;
14932-4114;;1;2;;;;;;2;;;;;;3;1;;;;;1;2;;;1;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;
22279-4114;1;;8;;2;;3;;11;;;;;;12;;3;;;;1;1;1;1;;;;;1;;;;1;2;;1;;;;3;1;;;;1;;;;;;;1;1;1;1;1;1;;2;1;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;1;;;;1;;2;;;;;;;;;1;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;;;;1;;;;1;;;
15016-4433;;;1;;;;;;8;;1;2;;;7;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17228-6401;5;;5;7;6;;4;;14;1;4;3;3;2;15;;5;1;;1;7;6;4;2;;;;;2;1;1;1;1;3;;1;1;;1;;2;;1;;;;;2;;1;2;1;1;2;3;1;;;1;1;1;1;3;;2;2;2;2;;;1;;1;;;;1;1;1;;2;2;;;1;1;1;3;3;;;;3;1;1;1;2;1;;;;;;;1;1;;;;;3;;1;;;2;;;;;;;1;1;;;;;;;;;;;;1;2;2;;1;2;3;;1;2;1;;;
22433-4434;;;1;;1;2;2;;24;;11;8;;1;15;;;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;;1;;;;6;1;1;;;3;2;;;;1;1;6;;2;1;1;1;5;1;1;1;1;4;4;;;;;;;;;;5;;1;;2;1;;;1;;;;;;;;3;;1;9;2;;3;3;2;;;1;;1;;;;;;;;;;;;;;;;1;;;;1;;1;
22612-4603;;;1;;2;;1;;6;;;;;;6;;1;1;;;1;7;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;1;;3;;;;;;;;;;;;;;1;;1;1;;;1;;;;1;1;1;;;;1;;1;
13346-4434;;;1;;;;;;3;;1;;1;;3;;2;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18444-4114;;2;13;2;4;1;4;;20;1;1;2;;;29;2;4;2;;1;4;9;;;2;;1;;3;2;;;1;3;1;1;;1;;1;7;2;1;;1;1;;1;1;1;;;1;1;2;;1;1;3;1;1;1;3;;2;1;1;;;1;1;;;;1;1;1;1;1;;1;1;;;;;1;;;5;;3;1;1;1;1;4;1;;;;;;;;4;;1;;;;;7;;2;10;1;1;;;;1;2;2;;;2;2;1;2;1;;;;;;1;1;2;1;3;3;;;;3;;;
21629-5061;1;1;35;;2;1;2;;30;;2;3;;;57;1;4;1;;2;9;9;;;;1;1;1;3;1;;;2;9;2;2;1;2;;7;28;;2;7;6;;;;;;;;;;2;;;;1;;1;1;3;;;;;;;1;3;;1;1;1;1;2;2;2;1;3;2;1;1;1;2;2;;;8;3;1;;;1;1;8;;1;;2;2;2;2;;11;3;1;2;1;;;5;1;4;17;2;2;;;;2;1;2;;;;;1;1;1;;;;3;;2;1;;2;;6;3;;1;;;;
22271-4917;;1;6;;5;;3;;5;;;;;;10;1;;;;;;1;;;1;1;1;1;3;1;;;;1;1;;;;;2;4;2;;;1;;;;;;;;;2;3;;;;;;2;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;3;1;;;;1;1;2;;1;;;;;;;2;;;1;;;;1;1;;1;;;;;;;;1;;;1;1;;;;;;;;;;;;1;;;;;;;;;
21894-4114;1;3;20;;2;;2;;32;1;3;4;1;;32;3;5;;1;2;9;13;;;;;1;;1;;;;1;2;;;;1;;5;11;1;;1;4;3;2;;;;;;;;1;;;;2;;1;;10;;4;3;2;2;1;1;;1;3;1;1;1;2;1;1;;1;1;;;;;1;;;3;;;;;;;4;;2;;;;;;;4;1;;1;1;;;3;;2;14;2;;1;1;1;2;2;2;;1;1;;2;;;;;1;2;5;1;1;;1;1;6;1;3;;1;;2;
