aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;28>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>3>;2>14>;2>30>;2>31>;2>31>30>;2>41>;2>41>41>;2 3>;2 7>;2 14>;2 14>2>;2 14>31>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 7>;6 14>;6 41>;7>5>;7>14>;7 14>;7 14 41>;7 41>;14>2>;14>2>14>;14>2>31>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>7>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>7>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;31 48>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41 48>;48>14>;48>29>;48>30>;48>31>;48>48>;49>48>;49>49>;
31618-5468;;1;6;4;6;2;1;14;1;;;;6;6;7;5;;;;;;;1;;;;;;;;;;;;;;;;;1;5;1;2;2;;;;1;;;;;;;;5;1;1;;;;;;;6;3;1;1;;;;;;;1;;2;;;;;;1;1;;;1;1;;;;;;1;;;;;;;2;2;;3;2;;;1;;;;;1;5;;;;;2;2;;1;1;;;1;1;;4;3;;;;1;;;;1;;;;;;;;;;;;
31543-6398;;7;;2;;1;;11;;;;;3;5;;6;;;2;2;;;;;;;;;;;;6;;;;2;;;2;;;;;;;;;1;;;;;;;;;1;1;;1;;;;;;;;;;;1;;1;;2;;4;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;1;;;;1;;2;;1;;;1;1;;;;;;;;1;;;;;;;1;1;1;;;;;;;;;;1;;1;
31753-5714;;8;1;1;1;4;;13;2;;1;;8;12;;7;;;;;2;2;;1;;2;1;1;;;;1;;;1;;;2;1;1;;;1;;1;1;;;1;1;;1;3;;;1;2;;;1;1;;1;1;;;;;;;3;1;;;5;1;3;;;;;;1;1;2;1;;;;;;1;1;;;2;;;;;2;2;1;;;;;;;;;1;;4;;1;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;
31698-5714;;;;;;2;;3;;;;;1;3;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
30771-5469;;19;;;12;6;1;33;2;1;;;14;24;3;16;;;5;3;1;;;2;1;1;;;;;3;7;;;1;;;3;;;;;;3;1;5;3;;;2;;;4;2;;;1;;;;9;1;2;;;;3;;;;4;2;;;6;1;5;;;1;1;1;1;1;2;1;;;;1;;;;1;;2;;1;;;4;2;1;1;1;;;1;;1;1;1;1;8;1;2;1;;;;;5;2;1;2;6;1;;3;;;;;1;2;2;1;1;;;;;;;;1;1;2;1;
22929-7118;;16;1;2;;5;;28;1;1;;;22;26;;22;1;;8;;3;2;;;2;4;2;2;2;;1;3;;;;2;1;4;3;1;;;;;;;;1;1;2;;;1;;;;2;1;2;;11;;3;2;;;2;;;;10;6;;;3;;9;;3;;;;1;;1;1;;;1;;;1;;;;5;;1;;;9;2;1;;;2;1;;;;1;3;;8;;4;1;;1;1;;;;1;4;2;;1;;;2;;;;7;4;2;4;1;;;;;;3;;;;;
13016-5468;1;15;9;3;1;3;2;24;1;;;;4;10;3;12;1;1;6;1;1;;2;3;;1;;1;;3;1;5;;;;2;;1;3;2;4;1;2;;;;1;1;;1;;;3;;;3;;;1;;2;1;;;2;1;1;1;1;;;;;;1;1;6;;;1;3;1;1;;1;1;;;;;;;;;;2;;;;;1;;;1;;;1;;;;;;1;3;;2;;;;;1;1;;1;2;4;1;;1;1;;;;1;;;;2;;1;1;;;;;2;;;;
35642-5469;;4;;;7;2;;9;1;;;;6;5;;8;;;;;1;;;2;;1;1;2;2;;;2;1;;;;;;;;;;;2;;;2;;;;;;2;1;1;;1;;;;1;;1;1;;;1;1;;;2;;;;1;;2;;1;;;;1;;;;1;1;;;;;1;;;2;;1;;;2;;;;;;;;;;;;;3;;1;;;2;;;1;;1;;1;;;;;1;1;1;;1;1;1;4;;2;1;;;;;;;;;
15073-5714;;;;3;5;1;;3;;;;;1;2;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;2;;1;;1;;;;;;;;;1;1;;;2;1;;;;;;;;;1;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31095-7274;;3;3;;;;2;10;1;;;;3;6;;5;1;;;;1;;;;;;;;;1;;2;1;;1;;;1;;1;;1;;;;;;;;;;;1;;;2;;;;;;;;;;;1;;;;1;;;;3;;3;;;1;;;1;;;;1;1;;;;;;2;;2;2;1;;;;;;;;;;;;;;;;1;;1;1;;;;;1;;;;1;;;;;;;;;1;1;1;1;1;;;;;;;;;;;
