aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;42>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>31>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;2 3>;2 14>;2 14>2>;2 14>31>;2 14 31>;2 14 41>;2 30>;2 31>;2 38>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>41>;14>41>41>41>;14>48>;14>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31 41>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>38>;30>41>;30>48>;30 31>;30 31>30>;30 41>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;33 36>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>31>;38>33>;38>41>;38 41>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;41 48>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
31618-5468;;3;1;2;;1;;;12;;;;;1;3;;1;;10;6;1;5;;;1;;;;;;;;;;1;1;;;;;;1;1;;1;;;;;;1;;;;;;;;1;;;;;;;;1;1;;1;1;;;;;3;1;;;;;;;;;1;1;;5;3;;3;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;;1;;;;;1;;;;1;;1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
31698-5714;1;4;;;;1;;;16;1;;;;9;6;;1;;2;4;;6;;;;;;;;;;2;;;2;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;;1;;;;;;1;1;1;;;;1;3;1;;;;4;;1;;4;;;;3;1;3;1;;;;;1;;;1;1;;;;1;;3;;1;1;;;;;;;1;;1;;;;1;4;;2;1;1;;3;2;1;;;;;;1;;;;;;;;;;;;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;
31753-5714;1;12;8;4;14;4;1;;36;3;2;;;22;22;8;4;2;2;8;1;14;;1;;;;1;1;1;1;2;2;1;1;;;1;1;;;;6;1;;1;;;1;2;;1;6;1;2;2;1;;1;;;2;1;;7;1;2;1;1;2;1;1;;7;4;2;3;1;;;;5;1;1;;6;1;2;;3;;6;1;;1;;;3;;;3;3;2;2;2;2;1;7;;3;2;2;4;3;;3;;2;;2;;;;1;13;;5;1;1;3;3;3;;;4;2;5;4;;1;2;1;2;2;1;1;1;2;;1;;;1;;;2;;;;;3;;;;;;1;;;;;;
31543-6398;;4;;5;1;3;;;11;;;;;1;3;;3;1;2;5;;5;;;;;;;;;;;;;;;;1;1;;;;3;;;;1;;;1;1;;;;2;;;;1;1;1;;;;;;2;1;;1;;;;;;2;2;1;1;;;;;;;2;1;2;1;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;1;1;1;;;;;;;;;;;
30771-5469;2;18;1;6;3;9;;1;31;1;;;;16;20;;1;1;3;12;1;38;;3;5;2;2;;;2;;4;1;1;2;1;1;1;;1;1;;4;1;;;1;;;3;5;;;;1;;2;;1;2;3;2;;;;;2;;1;1;1;;;;;;3;1;1;;1;4;;;1;4;1;1;1;5;1;17;;;1;2;;1;1;1;;;;;;1;;5;;1;;;1;;;;;2;;;;1;1;;11;;4;1;;;2;2;1;;3;2;;;1;1;1;;1;1;1;1;1;1;1;;1;2;3;;1;2;1;1;;2;6;4;4;1;2;2;;;;;;1;
22929-7118;;15;;4;;3;;;41;2;3;1;;33;34;;1;1;1;11;;34;;;19;4;;;;;;;;;5;3;;1;1;;;;8;;3;;2;;2;;3;;;;1;;;;2;;;3;;2;;;2;2;1;14;6;1;1;;;2;4;;;;2;6;3;;;4;3;;;2;1;14;1;1;;8;;2;2;2;;;2;3;2;;2;13;2;7;4;3;5;3;;;4;2;6;1;;2;;;14;;6;5;2;;1;;;1;8;2;;;1;1;1;1;1;;;;;2;3;;;4;2;1;2;2;4;2;1;2;4;1;1;2;;;;3;;3;2;1;
13016-5468;4;24;15;1;4;6;7;;51;2;;;;11;19;11;2;1;5;9;4;28;2;5;9;3;3;1;1;2;1;3;3;6;1;1;1;2;1;2;2;3;9;1;1;;2;;;1;4;3;7;3;;;2;1;1;1;;7;1;;9;2;2;;1;5;1;;;7;6;2;3;2;2;;1;3;;1;;2;1;;;1;1;13;1;;2;4;2;1;2;1;1;;;;;;;3;;1;1;1;2;1;;4;;;3;2;1;;1;2;7;;3;1;1;1;;;;3;3;;8;4;1;1;2;1;1;1;1;1;1;4;;1;1;2;1;1;;;;;;5;9;4;2;;3;3;1;1;;;;1;
15073-5714;2;11;4;5;;2;;;20;1;;1;2;11;9;;;;;2;;11;2;1;5;1;1;;;1;;1;2;2;1;1;;;;1;1;;8;1;1;;;1;1;;2;1;;;1;;;;1;1;;2;1;;3;1;1;1;1;3;1;;;;;2;2;2;2;2;;3;;;;;;;;;;3;;1;1;1;;1;1;1;;;;;;;1;4;1;1;;;3;2;2;;;1;;1;;1;;2;4;;3;1;;1;;;;;2;2;;;;;;;;;;;;;1;;1;;;;;2;1;;;;3;2;2;;1;1;1;;2;2;1;1;
35642-5469;1;13;1;2;;2;;;23;;;;;8;11;;2;2;4;5;;11;;1;4;5;;1;1;1;;;;1;;;1;;;1;;;6;;;;1;1;2;;1;1;;;;;;;1;1;;;;;;;;;1;3;;;;;;2;2;;;;1;3;;;;2;;1;;3;;5;;1;;1;1;;;;;;;;;;2;1;;;;;;;;;;2;;;;1;;1;2;;1;;;;;;1;1;2;;;;1;2;3;2;2;2;2;2;;;2;;;1;1;;1;;1;;;;2;;;1;;;1;;;;2;1;
35934-5469;2;25;5;;4;5;;4;55;;2;;;14;16;;6;4;8;17;;41;;2;4;4;1;1;1;1;1;4;;2;;;2;1;;1;1;1;14;2;;1;7;1;1;3;7;3;;1;;1;1;;;4;2;6;;;4;3;1;;;1;;;;;;1;4;1;;;3;3;;1;2;4;2;3;1;9;4;27;3;1;;;;;;;;;2;;;1;;3;;2;1;1;2;2;1;;;;;4;1;3;1;;5;;2;2;1;1;;;;;5;2;;;;3;6;2;5;4;3;3;4;3;;2;;6;5;;1;2;1;;;1;1;;;;1;1;1;;;;4;;
