aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;38>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>3>;2>14>;2>14>2>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>41>;2 14>;2 14>2>;2 14>31>;2 14>31>30>;2 14>41>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5 14>;6>6>;6 7>;6 14>;6 41>;6 48>;7>5>;7>6>;7>14>;7 14>;7 41>;14>2>;14>2>14>;14>2>31>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>41>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>14>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>41>;30>48>;30 31>;30 31>30>;30 41>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41 48>;48>29>;48>30>;48>31>;48>48>;48>48>48>;48>49>;49>48>;49>49>;49>49>49>;
31374-5469;;10;5;5;3;8;1;37;2;6;2;31;30;;;13;1;;5;4;2;;3;;;;2;1;1;1;5;;1;1;;;;;1;;;1;1;;;;;2;;1;2;;1;;;4;5;1;;15;;10;6;5;1;3;;4;1;1;;9;5;5;;;4;;2;4;;1;;3;2;1;;1;1;;;6;5;5;1;8;3;15;7;11;8;8;5;;8;6;3;;;2;;3;;;;;19;1;11;9;7;7;5;1;;;7;3;1;;;3;3;;;1;;2;3;3;2;3;;1;;1;2;;2;;;;1;;;
17540-5468;2;19;;5;6;5;;35;2;1;;18;19;;;12;;2;1;4;4;1;;2;;;1;;;1;9;2;;;1;;1;;;3;;1;;;1;;;3;;;1;1;4;;;;2;1;;8;;3;2;1;;;;1;;;;7;3;1;1;1;7;2;2;9;;2;;1;1;2;2;1;1;1;1;;1;;2;2;1;3;1;1;;;;;4;2;1;;;;;3;;1;;;6;1;3;1;;;;;;;3;1;;;;2;;;;2;1;;;2;1;;;;;;;;;;;;;1;1;
15217-7098;1;4;3;;;1;;8;;1;;3;3;;;4;;1;;;;;;;;;;;;;4;;;;;1;1;;1;1;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;1;;;;1;;;;;3;;2;2;;;;;;;;;;;;;1;;;;;1;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
29058-6398;;11;;;1;1;;21;;1;;11;12;2;;10;;;8;2;2;;;1;;1;2;1;;1;9;2;;;;;1;2;;1;;;;;1;;;;;;;;4;1;2;;1;;;2;;2;;;1;;;1;1;1;1;6;;;;;4;;1;5;;;1;3;;;;;;;;1;1;1;2;;;1;;;;;;;1;;;;;1;;1;;1;;;3;;;;;;;1;;;;;;;1;1;;;;;;;;;;1;;1;1;3;;;;1;;;;1;;
12526-6388;;;;1;;2;;8;;;;1;5;;;5;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;4;1;1;2;;;;2;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;1;;;1;;1;;;;;;;;;;2;;;;;;;;;;;;;;
29688-6398;1;7;;1;;2;1;16;;;1;4;4;;1;12;;1;5;3;;;;4;;2;;;;;4;;;;;;1;1;;1;;;;;;;;1;;1;;;2;2;;;;;1;4;1;1;;;1;;;3;2;1;1;2;;;;1;;;;7;;1;;1;;;;;;;;;;;;1;;;;;;;;;1;1;;1;;;;;;1;;1;1;;;;;;;1;1;1;;;;;;;;;;3;1;;;1;;2;;;;;1;;1;1;;2;3;3;1;
31286-6388;;3;1;;3;2;;18;1;;;5;10;;1;13;;;3;;;;1;;;;;;;;2;;;;;2;;;2;;;;;;1;;1;;1;;;;1;;;1;1;;1;2;1;;;;;;;;;;;3;;;1;;5;;2;11;1;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;2;;;;;1;2;;;;;;;;1;;;;;;;;;;
11848-7098;;;1;;;1;;10;;;;;5;1;;7;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;;;;;1;;2;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;1;;;;1;;2;;1;;1;;;;;;2;2;2;1;;;
30907-5388;;;;;;;;6;;;;6;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;2;;2;1;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
35760-5469;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
