aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;42>;46>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>41>;14>49>;14>49>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16 30>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>36>;38>41>;38 41>;39>38>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;46>1>;46>2>;48>48>;48>49>;49>48>;49>49>;
31374-5469;4;16;1;2;12;6;;57;2;;;14;18;1;2;1;1;7;;44;1;3;5;4;2;2;2;1;1;;2;1;1;;1;;10;1;1;5;;8;;1;1;1;6;4;1;2;1;1;;;;2;1;7;4;;;;;;5;1;1;;6;1;;1;7;;4;;;4;2;23;1;2;2;1;1;;1;;;;;6;3;;3;2;;;;;;1;1;1;;1;1;1;7;3;1;;;;;;1;;;2;6;2;;;1;1;;;;;;;1;;;2;;;2;3;2;2;1;1;4;2;1;2;;;;1;
17540-5468;5;41;22;6;;4;;76;2;3;;34;47;;5;3;12;21;7;49;1;4;5;1;2;4;4;4;7;4;5;8;4;3;2;1;18;;3;2;;3;7;2;3;;;;3;;;4;;18;6;;8;16;5;3;2;;;1;5;2;;;7;1;;1;8;;1;1;1;8;2;22;5;2;1;;2;1;1;;3;;2;4;2;;11;2;6;1;1;;1;3;1;2;1;3;3;1;12;2;7;3;;;;;3;1;7;2;7;1;;;4;2;8;4;4;2;2;2;2;;3;3;4;6;2;5;1;10;3;2;11;7;2;3;2;;;1;
15217-7098;2;14;3;4;1;2;;26;1;1;;7;10;;1;1;3;3;;11;;1;1;2;;;1;;2;1;1;2;1;2;;;9;2;;4;;4;;;2;1;;;1;;;5;;;;1;1;;;;;;;;2;1;1;;2;;1;1;5;;2;;;2;;9;;1;1;;1;1;1;1;1;1;;1;;;2;;;;;;1;5;4;;;2;1;1;4;1;1;;;;4;4;2;2;;;2;;;;1;1;;;;;;;;;;;;2;;1;;;;;2;;1;;;;;;
29058-6398;1;19;4;7;10;8;1;46;2;1;;19;19;3;4;2;7;12;3;28;;1;3;1;;1;1;1;3;;3;1;;1;;;12;2;;1;1;3;1;;3;3;1;1;4;1;2;5;1;2;1;4;;9;4;2;1;1;1;3;2;;;;4;;;1;4;2;1;;;3;2;15;3;;2;;;1;1;1;1;1;;4;2;;6;2;2;1;;;;;;;;1;2;2;6;1;3;1;;;;;2;2;;1;4;1;2;;2;1;4;2;1;1;1;1;2;;1;3;1;2;1;;1;3;;1;;;;;1;;;1;
12526-6388;;;1;1;;3;;18;;;;2;9;1;;;;;;11;;;5;3;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;;;2;3;;;;;;;1;;2;;1;;;1;4;1;1;;;;;5;1;;2;;;;;;;;;;;;1;;1;;;;;;;;;;1;2;1;;1;1;;;;;1;;2;;1;;1;;;;;;;;;;;;;;;;;1;;2;;;2;;;;2;2;1;;
29688-6398;2;12;9;1;1;3;1;34;;;1;6;7;3;1;1;2;11;3;16;1;3;7;3;1;2;1;1;;5;4;;;;;;4;;;2;;2;2;;;;;;1;1;1;3;3;6;2;1;;2;1;;;;;3;2;;1;1;1;;;;1;;;;;6;1;11;;;2;;;;;;;;;1;;;;;;;;;;4;2;;;2;;1;3;;;;;;3;2;;;;;1;;3;1;;;1;1;1;;;1;4;1;;1;2;1;1;;;1;;1;;;;2;1;2;3;3;
31286-6388;1;22;;5;3;8;;58;2;7;1;46;44;;1;;3;9;1;28;;1;4;1;;;;;4;;3;8;4;3;1;1;12;1;3;2;2;2;;;1;1;;;2;2;1;2;1;;;5;;21;13;7;5;;;5;7;3;;;12;4;;;9;5;1;;1;1;;14;2;1;2;1;2;2;;7;5;5;3;7;4;2;28;7;21;14;10;6;;8;6;5;1;3;;;31;;23;18;11;8;1;;12;8;3;;2;1;;;;;1;;;;;;;;;;;5;;2;1;5;4;4;8;3;1;;;;;;
11848-7098;;5;4;2;;2;;13;;;;7;10;;1;;;5;3;15;;;;;;;;;;;1;1;;2;;;2;;;1;;1;;3;1;;;;1;;1;1;;;;;;2;1;;;;;;3;;;;2;;;;2;;1;;;;;6;;2;;;;;;;;;1;1;1;;3;1;2;1;1;;;;;;;1;1;2;4;;2;1;1;1;;;3;2;;;3;1;;;;;;;;;;;2;;;1;1;1;;;1;1;;4;4;1;;;;;;;
30907-5388;2;9;5;;2;3;4;25;;;1;7;5;3;2;1;5;11;6;6;1;1;6;2;;1;;;2;2;1;;;;;;4;;;1;1;2;1;1;;;;;;1;;1;;1;;1;4;1;1;;;1;1;4;1;1;2;1;;;;;1;;1;;2;5;;2;;;3;;;;;;;;;;;;3;;3;2;;;;;;;;;;;4;;2;2;1;;;;;;;;2;1;2;2;1;1;1;;;;;;4;1;;;2;;;1;1;;;1;1;;1;1;1;;1;1;
28007-5388;2;15;;9;;7;;35;1;;;15;20;;1;1;3;15;;25;;2;;1;1;1;;;3;;2;2;1;1;2;2;8;1;1;3;1;4;;;1;;;;4;2;;2;;;;2;1;10;2;1;1;;;5;3;2;;;5;3;;;3;1;2;1;;7;1;9;1;;;1;;1;1;;;;1;1;;;7;1;7;5;5;3;;3;2;3;;1;1;;7;;4;4;2;2;;;3;;;;5;1;;;;1;1;1;1;1;1;;1;;;2;;;;;1;2;1;2;4;3;2;1;;;;;
3559-7274;1;7;11;;4;1;;31;1;1;;10;15;16;1;1;4;10;13;9;;1;1;;1;1;1;1;;1;;;;;1;;4;;;;;;2;6;;;2;1;;;1;;;4;2;;;1;;;;10;5;;1;1;;;2;;1;;5;;1;;1;1;;4;1;;;;;1;;1;1;1;;2;;;4;1;2;1;;;;;;;;1;;1;5;1;2;;;;;;;;1;;2;;6;3;;1;;;;;;;1;;;;8;;;1;;1;;;2;2;;1;;;;;
31239-7118;2;15;3;2;6;4;;48;1;1;1;11;16;;2;1;7;7;;28;;2;10;3;1;;;;1;1;1;;;;2;2;11;;;4;2;5;;1;;;2;;1;1;;2;1;;;3;1;4;1;;;;;1;;;1;1;4;;1;;6;;3;2;2;4;2;20;1;;5;;;1;1;1;;;;;;1;;;;;;;;1;1;;;2;;2;5;;;;;;1;1;;;;;5;3;;;;;3;1;1;1;1;1;;1;;2;;;1;1;3;1;;2;;;2;1;;2;;3;
29800-5468;;4;;;4;1;;7;1;1;;6;5;;;;;;;9;;;10;;;;;;;;;1;;1;;;1;;;;;1;;;;;1;1;;;1;1;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;4;;1;1;;;1;;;1;;;;;;1;;;;;;;;;;;1;;;3;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;3;2;;;2;;;;
14034-6398;;2;1;2;;2;;7;;1;;4;3;1;1;1;3;5;;7;;;;;;;;;;;1;;;;;;1;;;1;;1;;;1;;;;1;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;2;2;4;;;;;;;;;1;;;1;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;2;;;;;;;1;1;3;;1;;;;;;;;;;;;;;;
35554-5714;2;16;7;;;3;;25;1;;;7;10;4;;1;4;6;;17;;2;1;;;1;1;1;1;2;4;;;;1;1;7;;;2;;2;3;1;;;;;;;;1;1;3;1;1;;1;1;;;4;;2;;;;;3;;1;;3;1;1;;;2;;7;;;1;;;1;;;;;1;;;;2;;1;;;;;;;1;;1;;;2;;1;;;;;;1;1;;;3;;;;;1;2;1;1;1;1;;;1;1;1;;1;1;;;3;1;;1;1;1;1;;;;;
21788-5469;;4;;;;1;;28;1;12;1;40;17;2;1;1;5;13;;18;;1;2;1;;;;;1;;1;;;;;;2;;;1;;1;;;;;;;;;;1;;;;;;8;;;;;;2;2;;1;;12;3;;1;1;;1;;;2;1;6;1;;;;1;1;;1;12;1;;6;3;1;5;1;3;1;;;1;6;1;1;;2;5;;2;;2;;;;;;;;;;2;1;;;1;1;1;;;;;;1;;;3;;;;1;1;2;;3;1;;;;;;1;;
31300-5469;;4;;6;;5;1;15;;1;1;13;11;;2;1;4;6;;12;;1;1;1;;;;;;;;1;1;1;;;1;;;;;;;;2;;;;3;2;1;1;;;;;;2;2;1;;;;2;1;;;;5;1;2;1;3;;1;1;1;;;4;;;;;;;;;1;;;1;;;8;1;4;1;1;1;;1;1;1;;2;1;;6;;5;2;1;1;;;;;2;1;1;;;;;;2;;;;;1;;1;;1;;2;;;;;;1;1;;;;;1;1;;
13342-5468;2;11;1;8;2;6;;19;2;1;;10;16;1;3;3;3;6;;19;1;2;2;1;;;1;;;;1;;;2;1;1;4;;;3;3;4;1;;2;;1;1;4;2;4;1;1;;;;;3;;;;;;1;5;2;1;1;1;;;;6;1;3;1;;3;3;8;;1;;;2;;2;1;;;;2;;;3;2;1;;;;;;;1;;;;2;5;;3;1;;;;;3;;;1;5;1;;;2;1;;;;;;;;;;4;;1;1;1;1;4;3;;5;;2;;1;;;1;
23180-5388;;11;;2;;1;;24;1;2;;14;18;;;;;;;6;;;1;;;;;;;;1;4;2;;;;8;;3;1;;1;;;1;;;;1;;;2;;;;;4;12;4;2;;;;;;;;;7;1;;;3;;;;;;;5;4;;;;1;1;;;2;;1;4;2;;3;;;;;;1;3;1;;1;;;;5;2;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;4;2;;;;;;;;;;
29492-7118;1;21;;7;5;10;1;63;1;6;;18;23;1;1;1;3;5;;44;;1;1;;;1;1;1;1;;12;2;2;;;;12;1;2;4;;5;;;3;2;2;;4;3;2;9;7;;;2;2;14;4;;;;;2;13;5;;;6;;1;2;8;1;2;;;2;1;21;2;1;;;;;1;3;4;2;;8;3;1;2;1;;;;;;3;3;;;1;2;6;6;6;;;;;3;2;1;;1;1;3;;;;1;;;;;;;1;2;;;1;;4;3;2;;3;1;;6;2;;;;;;;
32724-5469;6;17;1;;5;7;;39;2;;2;3;9;;4;3;16;9;;30;1;7;2;2;4;4;4;3;;;4;2;;1;2;2;9;;1;4;;5;;;;;2;2;;6;2;4;;;;;1;1;;;;;;4;5;2;1;1;1;;;;2;;2;1;;1;;17;1;2;;;1;1;1;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;;;;3;;;;1;;10;6;5;2;2;1;2;1;2;1;;1;;2;;1;;5;4;2;4;2;;1;;1;
19260-6389;2;4;1;1;7;3;;24;;1;;12;13;;1;1;5;5;;20;1;2;5;4;1;1;1;;;;;;;;2;2;1;;;;;;;1;;1;1;;1;;;2;;;;1;;3;;;;;;1;2;;;;7;;2;2;4;2;1;;;3;;8;;2;1;;;;;;1;;1;;;;;;;;;;;;;1;;2;2;;1;;;;;;;;4;;1;;5;1;;;1;;3;2;2;2;1;;;;;1;;1;1;;1;2;;;6;1;2;1;;1;1;1;
17874-5388;3;25;13;2;;1;;71;3;7;;45;44;;1;1;5;6;2;30;;3;3;2;;3;1;1;1;6;9;2;1;1;2;;10;1;;1;;3;4;3;;;;;1;;;5;1;5;1;1;1;19;13;6;4;;;5;9;2;1;;14;4;3;;7;;2;1;;;;11;3;2;1;;3;1;;3;3;2;2;10;3;4;14;5;8;4;1;1;1;12;5;;2;5;1;;25;4;12;8;3;1;5;3;1;1;2;;8;2;;;;1;2;1;1;1;1;;1;1;;;2;3;;2;2;8;5;;4;1;;2;;2;1;;
30676-6388;2;14;;2;;1;;33;2;;;9;13;1;1;1;3;5;;30;;2;1;;;2;2;1;1;;1;2;2;;;;8;;1;1;;2;;;;;;;;;1;2;;;;;5;4;2;;;;;;7;4;;;2;1;;;3;;1;;;3;2;15;2;1;;;;1;1;;;;;1;;;3;;1;;;;1;3;2;;;2;;1;5;1;1;;;;2;2;1;;;1;3;;;;1;1;1;1;1;;;1;1;;;2;;2;;4;;3;1;;7;3;1;1;;;;;
