aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>1>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2 3>;2 14>;2 14>2>;2 14>31>;2 14>31>30>;2 14>41>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;3>2>14>;3 14>;5>5>;5 14>;6 14>;6 41>;7>5>;7>14>;7>31>;7 14>;7 14 41>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>30>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 48>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17>30>14>;17 30>;17 30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31 41>;31 41>30>;31 41>30>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>30>30>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>30>;48>48>;49>49>;
22929-7118;;7;;;6;3;;21;3;4;;17;14;2;7;;;5;;;2;2;2;;;2;2;1;;;;5;;;;;;;;;;;;;;;;1;;;;1;;;;1;1;;;;1;;1;;1;;;;;;;;3;;1;1;1;6;;;;1;;4;;;;3;;;;;3;1;1;2;2;3;;3;3;1;;;;1;;4;;;3;2;1;;;1;;;;;1;;2;;;;;;6;;1;;1;1;1;;4;2;;;1;;;;;;;2;;;;;;1;;;;1;1;;;1;;;
24794-4130;;4;;;;1;;10;;1;;5;4;;5;;;4;;;;;;;;2;;;;;;4;;2;;;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;3;;1;;;;;;1;;1;1;1;3;;;;1;;1;;;;2;1;;;2;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;1;1;;;;1;;
22611-4130;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15073-5714;;4;;;;;;8;;2;;10;6;;1;;;1;1;;;;;;;3;2;1;;;;2;;2;2;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;3;;2;1;1;1;;;;;;;;3;;;;;1;;;;;1;;;;1;;;;;;1;;2;1;;2;1;1;;;5;1;;2;2;1;1;;1;;;;;;;1;1;1;;1;;4;;2;;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
19683-4605;;6;1;;7;2;;10;1;2;;7;10;;8;;;;;;2;1;;1;1;2;1;;;;;2;;1;1;;;;;;;;1;;;;;1;4;;;1;;;;2;;;1;;1;;;;3;;3;1;1;1;;;1;;;;;1;;1;1;;;4;;;2;3;;;;;1;;;1;1;2;;2;2;;2;;1;;;4;1;;3;2;1;1;;2;1;;;;;;;;;;1;;4;1;2;;2;2;1;;1;;1;;;2;;;;;1;1;;;;1;;1;;;;1;;;;;;;
31095-7274;1;5;;;;;;13;;5;;12;7;;2;;3;4;1;1;;;;;;4;4;3;;;;2;;2;2;;;;;;;;;;;;;;;;;;;;;3;;;2;;;;2;;4;;4;4;;;;;1;;1;1;1;3;;1;1;;;1;;;;2;;1;1;2;;;;;;2;1;3;1;;1;1;;2;1;7;1;2;2;;;;;1;1;1;;;;1;;;;;;;6;;5;1;;;;;;;;;;;;;;;;;1;;;;;1;;;;1;1;1;;;1;1;
22256-4605;;1;;;;;;6;1;;;6;5;;4;;;1;;;;;;;;;;;1;;;1;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;1;;;;;2;;;;;;1;;;;2;1;1;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;;;2;;1;;;;;;;;;;;1;;;;;;;;;;1;1;1;;;;;;;;;1;;
28350-6398;;3;;;;;;9;2;;;6;7;1;5;;;1;;;;;;;;;;;;;;1;;;;;;;1;;1;1;;;;;;;;;;;;;;1;;;;;;;;;2;;1;1;1;1;1;1;1;;1;;;2;;;;;;;;;;3;2;;;1;1;1;1;1;;;;;;;1;1;;;;2;;;1;1;1;;;1;;;;;1;;;;;;;1;1;;1;;1;1;1;;;;;;;1;;;1;;;;;;;2;1;1;;;;;;;;;;;
18208-6389;;3;1;2;;1;;13;;;;6;6;;7;;;2;2;;2;;;;2;2;1;1;;;;2;1;1;1;;;;;;;;;;;;1;;;;;;;;;2;1;1;1;1;1;;;1;2;;2;1;1;1;;;1;;1;1;1;1;;;;;;1;1;;1;6;1;1;1;2;;;;;;;;;;;2;;;;;1;1;;1;1;1;;;;;;;;;;;;;;;;5;1;1;;1;1;1;;;;;;;1;1;;;;1;;;1;;3;3;2;;2;2;2;1;1;;;;2;
19904-4605;;4;2;4;;2;;21;1;3;;13;17;5;3;2;;;;;;;;1;1;;;;1;1;;3;;;;;;1;;;1;;1;1;1;;2;;;2;;;1;;;;;;;;1;1;1;;5;;2;1;;;3;2;2;1;;;;6;;2;1;1;;6;;;;1;1;;;;;;;1;;1;;2;1;;;;;1;;5;;1;3;1;;1;1;6;2;1;1;;;;2;;;;1;1;4;;3;;2;;;2;2;;;;;;;;4;1;1;;;;;2;1;1;1;;;;;;;;;;
29887-6398;;1;2;;;2;;10;1;;;5;5;1;6;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;2;;;;;;2;;;;;;;;;;1;;2;;1;;;;;;;;1;;1;;;;;;;;;;;;;4;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;3;;1;;;;2;;;;;;;;1;1;;;;1;;;;;;;1;;;1;1;1;;1;1;;;;;;;;
28039-4605;;1;;1;;1;;5;1;;1;2;3;;1;;;1;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;1;1;;;;;1;;;;;1;1;1;;2;1;;;;;;;1;;;;;1;;;;;;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
24676-6388;;4;1;2;;2;;13;;;1;3;8;3;7;;;4;;;;;;;;1;;;;;1;2;;1;;;;;1;;;2;;;;1;;;;2;;;;;;;;;;;1;1;;;2;1;;;;;2;2;1;1;;;;1;;;;;;3;;;;3;;1;;1;;;;;;;;;;;2;;;;;1;1;;1;;;;;;;;;;;;;;;;;1;2;1;1;;1;;;;;;;;1;;;;3;1;;;;;;1;;1;;1;;;;;;;3;;
22946-7274;;2;;;;1;;10;1;4;;11;9;;7;;;;;;;;;;;1;;;1;;;1;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;2;2;;1;1;1;;;;1;;;;;5;1;1;;1;;3;2;;2;3;1;;;;1;;;1;1;;;3;;1;1;;;1;;3;;1;1;;;;;1;;;;;;;1;1;;;;;4;1;2;;1;;;;1;;;;;3;2;1;;;;1;;2;1;1;1;1;;;;;;;;;;;
24676-7274;;2;;;;;;4;1;;;6;5;;3;;;1;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;1;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;2;;;2;2;1;;;;;;;;;1;1;;1;;;1;2;;2;;2;2;1;;;;;;;2;1;1;;;;;;1;1;;;;;;;;;;;;;;
30760-4604;;6;;1;3;4;;21;2;1;;4;13;;15;;;2;;;1;1;1;;1;1;1;;;;;4;;;;;;1;3;;1;3;;;;;;2;;1;;1;3;1;1;2;1;1;;;;;;;6;;1;;;;;;3;1;;;;1;;;;1;1;6;;3;2;11;2;1;;1;;1;;2;;1;;;;;;;;1;1;;;;;;;;;1;1;;;;;;2;;2;;1;1;2;;;;;;;1;3;1;1;;;4;;;;;;;;;;3;;1;;1;;;;;;;;;
27980-4604;;4;;2;;1;1;15;;;1;10;8;;9;;;3;;;;;;;1;1;;;;;;2;;;;;1;;;1;;;;;;;1;;;1;;;;;;2;;1;1;;;;2;;3;;;;;;;;3;;2;2;2;7;;1;;;3;3;;1;;4;1;;;1;;;;;;;;;;;2;2;;;;2;1;;1;;;;;1;;;;;1;2;;;3;1;;;2;;2;;1;;;;1;;1;1;;1;1;1;;;;1;;1;1;2;;2;;;;2;2;1;;;1;;
27916-5714;;;;;1;;;3;;;;2;3;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;2;;1;1;1;1;1;;;1;1;;;;1;;;;;;;;;;;;;;;;1;;;1;1;;;;1;1;1;;;;;1;;1;1;;;1;;1;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
30907-4604;1;5;;;1;1;;12;1;;1;5;5;;11;;2;2;;1;;;;;;;;;;;;3;;;;;;;3;;;3;;;;;;1;1;;;;1;1;1;;;;;;;;2;;2;;;;;;;;1;;1;;;1;;;;;;;;;;7;1;1;1;;1;1;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;2;1;;;;;;;;;;2;1;2;;;;2;1;1;;1;;;
23038-6398;1;6;;;1;1;1;10;1;5;;16;11;3;5;;1;2;;;1;;;;1;3;;;1;;;2;;;;;1;;;2;;2;;;;;;1;1;;1;;1;;;1;;;1;;;;1;;3;;;;;;1;1;;;;;;6;1;1;;;;;;;;1;;;;;1;1;1;;;3;;4;3;1;1;;;2;;3;;1;1;;;;;3;;;1;1;;1;;;1;;;;4;1;;;;;;;2;2;1;;1;;;;2;;;;;;;2;1;;;;;;;;;1;;;
