aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>2>31>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 3>;2 14>;2 14>2>;2 14>31>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;3>14>;3 14>;5 14>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14 30>;14 30>2>;14 30>31>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>38>;38>14>;38>36>;38>41>;38 41>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>48>;49>49>;
22929-7118;3;24;18;;;1;;57;1;2;;14;14;4;1;1;1;4;;35;3;3;1;1;1;1;2;1;1;;2;7;;;;2;1;1;2;9;1;;;;;1;2;4;1;10;;;;1;;2;;;8;3;;2;5;3;2;1;2;2;2;;7;3;2;1;5;;2;;;;;;;1;19;;;2;;1;1;;1;2;1;1;3;1;7;1;5;3;1;1;4;3;2;2;;;1;1;8;1;4;3;1;;;;;1;2;;;4;3;1;1;;;;;1;;;;4;;1;;3;1;;1;5;1;1;1;1;1;2;;;;
24794-4130;6;22;9;;4;1;;26;1;;1;;6;;;;;;;11;6;1;;2;3;2;3;1;2;;4;4;;;;;3;1;5;10;1;;;2;;;4;1;1;2;;1;;;;2;;;;;;2;;;;;;;;;2;;;;;;;;3;;1;;;;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;1;;;;;;1;;1;;3;2;2;;;;
22611-4130;;1;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15073-5714;1;9;3;;1;1;1;12;2;;;7;8;1;;;;;;9;1;2;4;;;;;;;;;2;;;;1;;;;2;;;;;;2;3;1;;1;;1;;;;1;;;;;;;1;1;1;;;;;;;;;;1;;;;2;1;;;;;1;;;;1;;1;;;;;;1;;4;1;1;1;;;;;;;;;1;;4;;3;1;1;;;1;1;1;;3;2;1;1;;;;;;;;;;;1;;2;2;;;;;2;;;;;;1;;;1;
19683-4605;;7;;6;;3;;13;;;;5;6;;;;;2;;19;;;;;;;;;;;;;1;1;1;2;;;;2;;;1;;;1;2;;;;2;;2;;1;1;;;;;1;;;;;;;;;;2;;2;1;1;;;;4;;2;;;;6;;;;;;;;;;;1;;;4;;4;4;2;;;;;;;;;;2;;2;2;2;;;;;1;;2;;;;;;;;;;1;;1;1;;1;;;2;1;1;1;7;1;3;2;;;;;;;
31095-7274;1;8;1;;;;;16;1;;;3;6;;;;;;;8;2;2;1;;1;1;1;1;;;1;3;;;;;;;;3;;;;;;;;;;;;;;;;2;2;;;;;1;;;;;;;;;4;1;2;;1;;;;3;;;;;;4;1;;1;1;;;1;;;;;;;1;;;;;;1;;;1;;;;;2;;1;;;;1;1;1;;1;1;;;;;;;;;;;;;;1;;1;;2;1;1;;3;1;;;;;1;;;1;
21640-5714;1;2;;;;;;1;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
22256-4605;;1;;;;;;4;;;;;;;1;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;
28350-6398;1;5;;;;;;15;;;;3;4;;2;1;6;3;;13;1;1;;;;;1;;1;;;;1;1;1;1;;;;3;1;1;;2;;;2;;;;;;;;;2;;;;;;1;1;1;1;;;;1;;1;;;;;;;;;;;1;;;8;;1;;;;;;;;;;1;;2;1;;;;;;;;;1;;;;3;;2;;;;;;;1;;;;;;1;;4;3;2;1;;;;1;1;;;;2;2;1;;2;1;;;;;;1;;;
30961-7274;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19904-4605;1;16;2;;3;4;;26;1;5;;14;19;;;;;3;;16;1;1;;;1;1;1;1;3;1;1;3;3;2;1;1;;;;10;1;1;;1;;;2;2;;1;;;;1;;5;1;1;;;1;;3;3;1;1;;;1;;1;;;;2;;1;;5;;1;;;1;6;;;;;1;;1;4;5;4;;2;;7;1;3;2;1;3;4;1;;;1;1;;;5;1;3;2;2;1;;1;;2;;4;;;;;;;;;;;;1;1;1;3;;;3;;;1;2;1;1;;;;1;;;;
