aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;28>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;2 14>;2 14>2>;2 14>31>;2 14>31>30>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5 14>;6>6>;6 7>;6 14>;6 41>;6 48>;7>5>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>31>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>41>;14>41>2>;14>41>41>;14>49>;14>49>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 31>;16 31>31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>30>;30>31>30>30>30>;30>41>;30>48>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;31 48>;32>31>;41>2>;41>2>31>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41 48>;48>14>;48>30>;48>48>;49>49>;49>49>49>;
18187-4605;1;14;;;2;3;;28;;;;;9;13;;;24;1;2;1;;;;2;1;1;;;1;7;;;;;1;;;2;4;;;;;1;;;;1;1;1;;;;;1;2;1;;2;1;;;;2;;1;;;4;;;;;;1;7;1;1;10;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;1;;;;;;;3;1;;;1;;;;3;;;;;;;;;;;;1;;;1;2;;;;1;;1;;1;1;;3;;1;;;;;1;2;;;
28454-4605;;13;1;;1;1;;22;;4;;;29;21;2;;12;;1;;;;;1;1;;;;2;7;;1;;3;2;1;3;3;3;;;;1;;;;;;;;;;;;;;;1;8;5;3;3;2;;;;;;11;;4;2;1;2;1;5;;;2;1;;;;;;;;;;1;;;3;1;2;2;2;2;;1;;10;;5;;4;2;;;;;4;2;1;1;1;1;3;1;3;;;;9;;;5;4;3;2;;;;;1;;;;;5;1;;;;;;3;2;1;1;2;1;;;;;;;;;;
15217-7098;;8;;2;;3;;6;;;;;4;3;;;7;;2;2;2;;;;2;2;;;1;3;1;;;1;;1;2;;2;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;4;1;;;1;;;2;1;1;;;;;;;1;;
22694-4604;;3;;2;1;1;;9;;;;;5;4;1;;4;;2;;1;;;;1;1;;;;2;;1;1;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;2;2;;;;;;;;;3;1;1;1;;;;1;;;2;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;;;2;1;;;;;;;;;;;3;2;;;;;;;;2;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;
28385-4604;;5;4;1;2;4;2;26;;2;;1;16;18;;;8;;7;5;;;2;;;;;;;3;;;;;;1;;;1;2;;;;1;;;;;2;1;;;;1;;1;;;9;4;2;;;1;;;;;6;;5;3;2;;;3;;;3;1;1;;3;1;;;;;;1;;1;2;1;;3;1;;;;;4;1;1;1;;;;;;;5;3;2;;2;;2;;;;;2;6;;;3;;;;;;;;;;;1;2;2;1;2;;;;1;1;2;1;;;;;;;;;;1;2;1;
29058-6398;2;9;3;;5;3;;27;2;1;;1;12;12;1;;11;2;6;3;2;;;1;2;1;;;1;7;1;1;1;;1;1;;1;1;;;1;;2;;;;;1;1;1;;;1;2;1;;1;5;4;1;1;1;4;2;;1;1;5;;1;;;2;1;5;1;1;6;2;2;;2;;2;1;1;2;2;1;1;;;;;3;1;1;;;;2;1;2;1;1;1;1;;;;2;;;;;1;3;;1;1;;1;5;;;2;2;1;1;1;;;;1;3;1;;;2;1;;;2;1;2;1;2;2;1;;;;;;;1;1;;3;;
30770-4604;;6;1;2;1;3;1;16;1;1;;;7;10;;;23;;;;2;1;;;2;;;;2;2;;;;;1;2;;1;2;1;1;;;1;1;;1;1;1;;;;;;1;;;;3;1;;;;2;;1;;;2;;;;;;;3;;2;12;2;1;;;;1;;;1;1;1;;1;1;1;1;;;;;;;1;;1;;1;1;1;;;;;;;;2;;;;2;;;1;2;;;;;;;;;;;;1;;1;;2;;;;2;1;;;3;2;;5;1;3;1;1;;;;;;;
12526-6388;;3;;;;;;5;;7;;;10;4;1;;1;;1;;;;;;;;;;;2;;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;;1;;;;;1;;;1;;;;;;;;;;;1;;;6;1;;;;;;;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25130-4130;;5;;1;;1;;10;1;;;3;11;11;;;7;;4;;1;;;;2;2;1;1;;1;;1;1;;;;;;1;;;;;;;;1;;;;1;;;;;1;;;3;2;;;;1;;;;;3;;1;;;;1;2;;;4;1;1;1;1;;1;;;;;;;;;;;;;;;;;5;;3;;2;2;2;2;1;;4;1;1;1;1;3;;;1;1;;;7;;;3;2;2;2;2;2;1;;2;;;1;;;;1;;2;1;1;;1;1;;2;;;;;;;1;1;;;
29688-6398;;8;2;;5;4;;13;;3;1;;7;9;1;;10;;;;1;;1;;;;;;2;3;;;;;1;;;1;2;;;;1;3;;;;;2;;;;;1;1;;;;2;;;;;1;1;;;;1;;1;;;;;2;;;2;;;;;;;;;;;3;1;1;3;3;;2;;;;;;5;2;2;;;;;;2;2;3;2;1;;;;1;1;;;1;1;2;;;1;;;;;;1;1;;;;1;;;;;1;2;;;;2;;;1;;;;;;;;;;;
30732-4130;1;6;;6;;3;;28;1;;2;;16;13;;;11;1;6;6;;;;;;;;;;5;;;;;;2;;1;2;;3;;;;;;3;;1;1;;;;;1;;;;5;2;;;;2;;;4;;6;;2;;;;1;3;1;;7;;;1;4;2;1;;;1;1;;;;;;;1;1;1;;;;5;1;3;;2;1;1;1;;;2;;;;1;;1;;1;;;1;4;;;2;1;1;1;1;1;;;;2;1;;;1;;;;;;;;2;;;2;1;;;;;;;1;;;
28169-4605;;4;;4;2;2;;12;2;2;;;17;13;;;10;;;;;;;;;;;;;1;;;;1;1;1;1;3;3;;1;;;;;;1;;1;1;;;;;;;;;1;1;;;;;;;;;6;;;;;5;2;7;1;2;5;;;;;;1;;1;1;;1;;1;2;1;;;;;;;;5;;4;;1;;;;;;1;;;;1;;6;1;2;;;;2;;;;;;;;;;;;1;1;1;;3;;;;;;;;;;;;;;;;;;;;;;
11848-7098;;6;;;;;;11;1;;;;3;6;1;1;8;;;;1;;;;2;;;;1;4;1;;;;;1;;;1;;;;;;;;;;;;1;;;;;;;;2;;;;;1;;1;;;2;;;;;;;1;;;2;1;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;;1;;1;;;;;;;;2;;;4;1;2;;;;;;;;;
22034-4605;;10;3;4;;2;;15;1;4;1;;13;10;;;4;1;;;1;;1;1;1;;;;1;7;1;1;;1;1;1;1;2;2;;2;;;;;;1;;1;1;2;;;;1;2;2;;4;;;;;1;;;;;6;2;;;;1;1;3;;;2;;;;;;;;;1;;2;;;4;2;2;1;1;;;;;4;;1;;1;1;;;;;;;;;;;2;;1;;;;2;;;1;1;1;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
14034-6398;;4;;;;;;6;1;3;1;1;9;7;;;2;;2;1;1;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;2;1;1;;;;;;1;1;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;;1;1;2;;;3;2;;3;1;1;1;;;4;3;3;2;3;2;1;;3;3;4;3;3;2;;;1;;;;;;5;;;4;3;3;2;1;;;;;1;1;;;;;1;;1;1;;1;;;;1;;;;;;;;;1;1;
18267-4130;;7;;;;;;14;3;2;;;15;13;;;10;1;3;;1;;;1;1;1;;;;4;;1;1;;;;;;2;;;;;;;;;;;;;;;;;1;;;3;3;;;;;;;;;2;;;;;1;;2;;;2;1;1;;1;;2;1;2;1;1;1;;;;;;1;;;;2;1;2;1;;;;;;;;;4;2;1;;;2;5;;;;;2;6;;1;2;;;;;;3;1;1;1;1;;;3;2;;;;;2;2;1;1;;;;;;;;;1;;;;
26702-4605;2;36;2;2;19;12;;95;5;5;;3;49;48;2;1;47;2;18;;6;1;;6;11;9;6;5;6;18;3;5;3;;3;4;;3;5;;1;1;3;5;3;2;1;;6;5;9;2;1;1;2;5;1;4;19;9;4;;;13;4;5;;;18;2;5;3;2;;;12;3;2;26;3;1;5;8;;4;2;2;2;2;2;;2;3;1;2;6;4;2;;2;1;21;2;13;2;8;5;4;3;;;9;6;3;1;3;3;4;2;2;1;;1;26;3;1;18;10;7;5;3;3;2;2;1;6;2;1;2;4;;1;;9;1;3;;9;5;3;14;2;5;4;4;2;3;1;1;;;
21598-4604;1;9;3;;;;1;28;4;10;;;24;20;1;;10;1;1;;4;;1;2;2;;;;1;5;2;1;;;;1;;;1;2;;;;;;;;;;;4;;1;1;;;;;13;7;2;1;1;1;;;;;5;;3;1;;1;;2;1;;5;2;1;;;;4;1;1;1;1;7;5;;9;6;1;8;2;1;1;1;1;9;4;1;;1;1;1;;2;1;6;2;;;;;1;;;1;;1;10;3;;3;1;1;1;1;;;;;3;3;1;;1;;;1;2;;;;3;1;;;;;;;;;;;;;
29492-7118;1;17;8;;;;;21;3;3;;;12;15;9;;9;1;2;;1;1;2;1;4;1;1;1;;8;;2;1;;;2;1;;3;5;;;;;;;;;;;1;;;4;;;;;2;1;1;1;1;1;;1;;;1;;;;;;;2;;1;6;;;;;;2;;1;2;1;2;;;1;;;2;;;;2;2;3;1;2;1;1;1;1;1;;;1;;;;;;1;;;;;;6;1;1;2;2;1;1;1;1;;;;3;1;;1;1;;;7;1;;1;;;;;1;;;;;;;1;;;;
19260-6389;2;12;;2;;2;;13;1;;;;6;13;;1;12;2;;;1;;;;;;;;2;3;;;;1;;;1;2;2;;;;;;;;1;;;;2;;;;2;1;;;2;;;;;;;;;;2;;;;;;;4;1;;4;1;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;;2;1;;;2;;3;;;1;;;;;;;;;1;;1;;1;;;;2;;;;2;;;3;1;2;1;1;;;;;;;
30676-6388;;6;;;;1;1;14;1;;1;;5;10;;;7;;;1;1;;;4;1;;;;;4;1;;;;;;;;2;;;;;;;;;;;;1;;1;;1;2;;;3;;;;;1;;;1;1;2;;;;;;;4;1;2;3;;;1;;;1;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;1;1;;;;2;2;;;;;;;;;1;1;;2;;;;3;1;;;;;1;1;1;;;2;;1;1;1;;;;;1;;
22554-6398;;1;;;;2;;8;;2;;;5;6;;;7;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;1;1;1;;;;;;;2;2;;;;;;;;3;;1;5;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;;2;1;;;;;;;;1;1;;;;;;1;;;;1;;;;;;;1;;;;;;;;;2;1;
28231-6388;1;5;;1;1;3;;8;1;;;;7;4;;;5;1;3;;;;;;1;1;;;1;2;;;;;;1;1;;1;;;;1;;1;1;1;;1;1;1;;;;1;;;;1;1;;;;;;;;;2;;;;;;;1;;;1;;;;;;1;;1;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;1;3;;;1;;;;;;;;;;;;;;;;;2;1;;1;;;;1;;;;;2;;1;;;;
13179-5714;;8;;;;2;;14;1;1;;;11;15;1;;5;;3;;;;;1;3;1;;;;5;;3;1;;1;1;;2;1;;;;;;;;;1;;1;1;;1;;1;;;;4;1;;;;1;1;;;;3;;;;;;;4;1;;1;1;;;1;;;;1;1;;1;1;;1;1;;3;;;1;;;1;1;;;;;;;;;;;;;;;4;;;1;2;;3;2;;;;;;;;;;;1;;;;1;1;1;;1;;;1;1;;;1;;1;;;;;;;;;
18875-7118;;10;2;;2;1;;18;1;7;;;17;11;2;;14;1;;;1;;2;;2;1;1;1;1;5;;;;1;;;1;1;2;1;;;1;1;;;;;;;1;;;1;;;;;4;1;;;;3;1;;;;5;;3;;;;1;1;1;;4;1;;;;;1;;;1;1;1;;;5;1;;2;;;2;2;;4;;1;;1;;;;2;2;5;2;;;;;2;1;1;;;;5;1;;2;1;1;;;;1;1;;2;1;;;;;;;2;1;;;1;;;1;;1;;;;;;;;;
271-7274;;3;;;;;;8;1;;;;7;8;1;;8;;3;;;;;;;;;;;2;;;;1;;1;1;1;2;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;4;;;;;1;1;1;;;3;;;;3;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;1;;;;;1;;;;;;
22189-4604;;5;1;;1;1;;14;1;1;;;10;10;1;1;7;;;;1;;;3;;;;;1;1;;;;;;;;;1;1;;;1;1;1;;;;1;1;2;;2;;;;;;4;3;;;;3;;2;;;3;;1;;;;;2;1;;4;1;1;1;;;;;;1;;;;;1;;;1;;;;;;1;;;;;;;;1;;3;;;;1;;2;1;;;1;2;5;1;;;;;;;;2;;;2;;;;;;;;;;1;;1;1;;2;;1;;;;;;;;;
17604-4130;;22;3;4;6;8;;37;6;10;3;;46;46;3;;29;2;2;1;1;;2;1;5;3;2;2;2;11;;3;2;3;4;3;6;5;4;2;1;;1;1;1;;2;3;3;;1;;;1;2;;;;9;5;4;3;3;3;;1;;;10;;3;;;2;1;7;;1;11;3;3;;;;2;1;2;4;1;5;;3;9;5;2;1;;;;1;;19;1;10;;6;5;3;3;6;2;13;5;2;;4;2;7;2;1;;;3;18;;;9;5;4;4;2;2;4;3;1;3;;1;;6;2;;1;2;;1;2;6;5;4;4;1;1;;;;;;;;;
13142-6388;1;14;;;7;3;2;34;1;8;1;;20;13;2;1;11;5;10;1;1;;;1;1;;;;3;8;1;1;;;;1;;;1;;;1;;2;;1;;;;;5;;1;;1;;;;6;2;;;;3;;2;;;8;1;2;1;;1;;4;;;4;;;1;1;;1;1;;;;1;1;;2;;1;3;1;1;;5;;;;;;;;;;;;3;2;;;1;;2;;1;2;;1;4;;3;;;;;;;1;1;;;;;;;;1;;1;;1;;1;;;3;1;2;1;1;;1;;2;1;1;
13005-6398;;1;;;3;1;;10;1;5;;;9;5;2;;2;;3;;;;;;;;;;;1;;;;1;;;1;;;;;;;2;;2;;1;1;;;;;;;;;;1;1;;;;;;;;;2;;;;;;;1;;;1;;;;1;;1;1;;1;1;1;;;3;1;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;3;;;;;;;;;1;1;;1;1;;;1;1;;;;;;1;;;;;;;;;;1;;;;;
28313-4604;;1;;;2;;;14;1;1;;;11;14;;;8;;1;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;2;1;;5;3;1;;;1;;;;;5;;2;;;;;6;1;;2;1;1;;;;1;1;1;1;1;1;;;1;1;;;;;;;;3;;1;;1;;;;;;3;1;1;1;;;1;;;;;1;5;;;2;1;1;;;;;;;2;2;1;;1;;;;;;1;;2;1;;;;;;;;;;;;;
23953-6388;;18;2;;12;1;;33;1;3;1;1;25;24;2;;9;;7;4;1;;;3;7;4;;;1;11;;7;4;;;1;1;;1;1;;7;;1;;;;;;1;1;;;1;;1;;;16;6;1;;;1;;1;;;7;;5;2;1;1;1;2;;1;4;3;1;;1;1;1;1;;;;1;1;;3;1;2;2;;;;;;5;2;3;1;1;;;;;;7;3;1;;;2;2;1;2;1;1;1;11;;;3;2;;;;;2;1;2;;;;1;3;1;;2;1;;1;1;3;1;;1;;;;;;;1;;;;
22222-4130;;8;4;;;1;3;16;;;;2;8;4;;;5;;5;3;;;1;;1;;;;;5;;1;;2;;1;2;;1;;;;;;;;;;;;1;;;1;;2;1;;3;;;;;;;;1;1;5;;;;;;2;;;;3;;;;2;1;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;1;;;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;1;;;1;;
30763-4605;;3;1;;7;2;;17;1;2;1;;14;13;3;;7;;3;1;;;;;;;;;;1;;;;;;;;;;;;1;;2;;2;;;;;1;;;;2;1;;1;6;5;2;2;2;1;;;1;;3;;1;1;1;;;2;1;1;2;;;;;;1;1;;1;1;2;;2;2;2;;3;2;2;1;;;9;1;6;1;5;3;;;6;4;6;5;3;3;;;1;1;1;;;4;9;2;;5;4;4;3;;;2;2;;2;2;;;5;3;;;;;1;4;;;;;;;;;;1;;;;;
23754-6398;;2;;;;;;6;;;;;7;6;;;5;;;;2;1;;;1;;;;1;1;1;;;1;;1;1;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;4;1;;;;;1;;;;3;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;1;1;;1;1;;;;;;;;;;
18523-7274;1;11;1;1;4;5;;30;2;2;1;1;22;28;;;21;1;4;1;1;;;;3;1;1;1;4;3;;1;;;1;;;2;1;1;;;1;4;1;1;1;;2;3;5;1;;1;1;2;1;;8;4;3;1;1;3;;;1;1;10;2;3;2;1;1;2;9;2;3;9;;;1;4;1;1;1;2;;;2;;;1;1;2;3;;;;1;1;9;2;4;2;3;3;3;2;1;;6;3;1;;1;;3;1;2;1;;1;8;;1;6;3;2;2;2;2;;;;2;;2;;8;1;1;;4;1;2;1;;;;1;;;;;1;;;;1;1;
18399-6388;;1;;;1;2;;4;1;;;;1;4;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;
27708-4605;;1;;;;;;14;2;;;;8;12;1;;14;;4;2;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;2;2;;;;1;;;1;1;1;;1;1;;;;4;;;5;;;;1;;2;2;2;;;;;;;;;3;;;1;;;1;1;1;1;1;1;1;;;;4;3;1;1;1;2;;;;;;;6;1;;1;1;1;1;1;;;;2;;;;;2;1;;;1;;;1;1;;;1;;;;;;;1;1;1;1;
26983-4605;;1;;;;;;3;1;;1;;2;2;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
28022-6388;;;;;;;;4;;;;;5;6;2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;1;;;;;;2;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;
28383-4604;;2;1;;1;;;4;;;;;1;2;;1;4;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;1;;;;;;
