aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16 31>;16 31>31>;17>30>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>14>31>30>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;38>14>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;41 48>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>49>;
18187-4605;5;29;1;3;;3;73;6;6;1;1;54;48;1;4;4;10;16;;38;7;20;2;2;1;1;2;;5;;2;5;3;2;1;3;3;14;;3;1;1;3;1;1;6;;2;;;1;;;4;;1;3;;17;8;1;;6;4;2;1;13;5;1;1;1;7;;1;1;3;;15;1;;4;;2;2;;4;;1;1;2;5;2;1;4;20;3;7;;2;2;2;1;2;;10;2;;1;7;7;2;2;7;1;4;20;2;10;2;2;2;2;3;;;1;2;7;2;1;2;3;4;1;1;2;;1;4;2;5;3;2;4;2;;;3;2;1;2;7;2;1;
28454-4605;6;37;16;1;6;7;60;2;6;1;;24;30;11;1;1;1;8;1;27;6;1;;1;1;;2;;4;5;5;1;;;5;3;1;17;1;1;;2;2;;2;5;6;;;4;1;4;1;4;6;2;3;1;7;;;;;6;1;;8;2;;1;1;9;1;;;4;3;13;;2;;;1;2;1;6;3;4;4;2;5;;;1;10;4;2;;;;;;2;2;4;2;1;1;;4;1;1;1;1;1;5;1;2;;;;;1;4;;1;;;;5;;1;1;1;;1;3;3;1;;3;1;1;6;1;;;2;1;1;;;;;
18217-4605;6;35;2;3;7;7;61;2;2;2;;26;36;;2;2;6;12;1;44;5;7;5;3;1;1;3;1;4;;2;6;1;1;6;1;;13;2;2;;;1;;4;5;2;1;;6;2;2;3;8;2;1;2;;10;2;1;;1;6;;2;10;2;1;;2;6;2;2;;3;;15;1;1;5;1;2;;;1;;1;;3;2;;;1;6;1;1;1;;;;;;;4;2;;2;;1;;2;;;1;10;;5;1;;;;;2;;4;;8;;;1;2;;;;1;3;6;2;;2;1;1;3;;;1;1;;2;;;;3;
21380-5714;3;22;10;;2;1;50;4;7;;1;34;28;6;3;3;7;9;9;23;3;9;2;1;2;2;2;2;6;3;8;4;2;;3;2;1;7;3;1;;;1;1;2;4;8;;;1;;;;7;7;;1;;13;8;3;2;3;2;;2;7;3;1;;;1;;;;3;;10;3;;2;;4;1;1;5;;6;4;1;8;2;1;1;12;2;7;1;3;3;2;;3;2;8;4;1;1;2;;;;3;1;2;17;3;6;4;2;2;1;1;2;2;2;;2;1;5;;2;5;3;3;1;;3;1;1;4;3;1;2;2;1;;1;;2;1;2;3;2;
14004-4604;1;14;;2;4;4;29;2;1;1;1;15;17;;2;1;3;13;;30;2;10;4;1;;;;;1;;1;2;1;1;2;1;1;5;;;;;4;;;6;;1;;;1;1;;1;;2;;1;;;;;;2;1;1;4;;;1;1;2;;;;3;;10;;;2;;2;2;2;;;;;1;;;;1;5;;2;;1;1;;;1;1;1;1;;3;1;1;;1;1;;;7;;4;2;1;1;;;3;;2;;5;3;;;;3;3;1;;3;4;1;3;2;1;4;4;;;1;1;1;;1;;2;3;
27420-7274;2;5;;2;;2;14;;1;;;13;8;;;;;1;;7;1;;;2;1;1;1;1;1;;1;2;2;1;1;1;1;2;1;;;;1;;;1;;1;;;1;;;4;;;2;;1;1;;;;2;2;;5;;;;;;;;;1;1;3;1;;;;;;;1;;1;1;;1;;;;3;;1;;;;;;;;;;;;;1;;;;;;5;;2;1;;;;;;;;;1;;;;;;;;;1;2;1;;2;1;;2;;;;1;1;1;;;;;
28385-4604;2;21;5;;4;3;53;5;11;;1;34;38;7;1;1;3;4;1;29;2;10;3;1;1;1;1;1;3;1;2;5;1;;4;1;1;11;1;2;;;3;1;;4;2;;1;2;;1;1;3;2;2;4;1;9;5;2;1;;8;;2;10;;;2;1;8;;3;;2;1;16;2;1;3;;4;5;4;7;;6;3;;9;3;1;4;8;1;3;1;2;1;1;;3;1;6;2;1;1;1;7;;1;2;;3;13;1;5;3;2;1;1;2;4;1;;1;6;2;3;;;;;;;2;2;2;2;4;4;;1;;;;1;1;1;2;3;;3;
29626-4605;1;28;5;;1;1;23;;;;;3;8;;1;;1;1;;15;1;7;6;1;;;1;;4;3;3;4;1;1;2;;;14;1;;;2;2;;2;4;3;;;;;;;4;;;1;;2;1;1;1;;5;;2;1;;;;;2;;1;;;;5;;2;4;1;;;;;;;;;1;;;;2;1;2;1;1;1;1;1;;;;;;1;;;;;;1;;2;;2;2;1;1;1;;;;1;;1;;;1;;1;;;;;3;1;;1;1;1;3;;;1;1;1;;;;;1;
15217-7098;;9;;4;;2;36;;;;;16;24;;1;;1;5;;13;;;1;;;;;;2;;1;2;1;;;;;7;2;1;1;1;1;1;1;2;;2;;;2;1;;2;;2;3;;7;3;2;1;1;2;;;9;1;;1;1;11;1;;1;1;1;4;1;;;1;;;;;;;;;3;2;;;2;1;1;;;;;;1;1;2;1;1;1;;1;;1;;;2;6;1;2;1;;;;;1;;;;3;;;;;;;;1;2;1;1;;2;1;;;;;;;;;;;;;
22694-4604;;20;2;;;;31;1;2;1;1;23;24;;;;;;;11;;7;4;;;;;;3;;3;7;3;;2;;;12;;6;1;;2;2;;2;1;;;;;;;1;1;;1;;14;4;;;;1;;;7;2;1;;1;1;1;;;;;6;3;1;1;1;1;;;1;;2;1;2;2;;;;4;2;3;1;1;;;;;;2;1;;;2;2;1;1;1;1;;9;;2;2;;;;;1;;;1;2;1;;;;;;;;;1;;1;4;1;;1;;;;;;;;1;;;
29058-6398;1;15;;6;1;5;43;1;;1;;11;18;;1;1;5;6;;29;1;;7;;;;1;;2;;4;1;;;1;;;11;2;;;;2;;1;4;;2;;1;2;3;3;2;;1;3;;3;;;;;2;1;1;5;;;;1;8;1;5;2;4;3;19;;2;;5;1;1;1;;;;;;;;;;3;;1;;1;;;;;;1;1;;;;1;1;1;;;2;3;;1;;;;;1;2;;;;7;1;;1;1;;;;;3;;1;1;2;;1;4;2;2;;1;;;;;;1;
22977-7118;2;6;1;4;4;5;43;;4;;;21;21;2;1;1;3;9;2;20;3;1;;;1;1;;;1;;2;1;1;1;;1;1;4;;1;1;;1;1;;1;;2;2;2;1;3;2;;1;1;3;;7;3;1;1;3;1;;;9;;;1;1;3;;2;2;3;1;14;2;1;1;;;;;1;;2;1;;3;1;1;1;4;;2;;1;1;1;;2;2;2;2;;;;3;;1;;1;;7;1;2;1;;;;;2;1;2;;4;;2;;1;;;;1;2;;2;;4;1;;3;;;;1;;1;;;;;
30770-4604;8;29;1;;1;4;35;3;7;;1;20;26;1;2;2;8;11;;25;6;3;2;3;1;;2;1;5;;1;2;1;;3;3;2;10;;1;1;1;6;3;5;7;;;;1;;3;;5;;1;1;;4;3;1;1;1;4;;;4;1;1;;1;6;1;2;1;3;1;14;1;2;1;1;;3;;5;;5;3;1;2;;;3;7;1;2;;2;2;1;1;3;2;5;4;3;;;1;;2;;;;12;;6;2;2;2;1;;1;1;1;1;6;1;;1;1;1;1;1;1;1;2;;1;3;1;3;5;;;;2;2;1;1;;;;
12526-6388;;4;;;;;8;;1;;;1;1;4;1;1;3;2;;6;;;;;;;;;;;;;;;1;;;3;;;1;;2;1;;2;;;;;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;2;;;1;;;;;;1;;;;;;;;;;;
25130-4130;;7;;;7;5;24;1;2;;1;11;8;3;1;1;7;3;;14;;5;;;;;;;2;;1;1;1;;1;;;4;;1;;;1;;;2;;;1;1;;2;2;1;;;3;2;6;3;;;;2;;;5;2;1;;1;2;1;;;1;;8;;;4;;1;1;1;1;1;1;;;2;2;1;1;2;1;1;1;1;;;;;;4;3;;1;;;;1;1;;;4;1;;;;;;2;1;;;1;1;;;1;;1;1;1;1;;3;2;;1;1;;2;;;2;;;;1;;;;
30137-7118;2;10;1;1;8;4;32;1;4;2;;22;22;3;;;;1;;14;2;3;1;;1;;1;1;1;;3;2;2;2;;1;1;6;;2;;2;1;;2;1;;;2;3;1;;;4;;4;5;1;9;8;5;4;;2;1;1;4;1;1;;1;6;2;1;;1;;7;;;;;1;1;1;4;4;4;4;;5;4;4;;15;2;11;1;5;3;;;10;7;10;8;4;;;1;1;2;;;7;14;4;8;6;4;3;;3;3;3;;;5;2;;;;;;;1;;;3;3;1;;;1;1;;;1;;;1;;;;
29688-6398;1;13;;2;2;5;29;2;;;;17;17;3;;1;7;3;1;23;3;1;;1;1;1;1;1;;;;;;;3;1;1;12;;;1;;4;1;;5;;1;;2;1;2;1;;;1;1;1;3;2;1;1;2;6;1;;3;;;1;;4;;1;2;;;7;;1;;;1;;;;;;;;2;1;;;5;1;1;1;;;;;;;2;;;2;1;1;;1;;;;9;1;3;1;;;;1;;;;;5;2;1;;1;2;2;1;2;;;2;2;3;3;;3;;;;1;1;1;;1;;;
