aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;46>;48>;49>;2>2>;2>2>14>;2>2>31>;2>2>41>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>32>;2>32>31>;2>32>31>31>;2>41>;2>41>41>;2 3>;2 14>;2 14>2>;2 14>31>;2 14>32>;2 14>32>31>;2 14 31>;2 14 41>;2 31>;2 41>;3>2>;3>32>;3 14>;5 14>;6>6>;6>6>6>;6>6>6>6>;6>6>48>;6>48>;6 14>;6 41>;6 48>;7>5>;7>14>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>3>32>;14>7>;14>7>31>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>32>31>31>30>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14 30>;14 30>31>;14 30>31>30>;14 30>32>;14 30>32>31>;14 30>32>31>30>;14 30 31>;14 31>;14 31>2>;14 31>31>;14 31>32>;14 31>32>31>;14 31>41>;14 31 41>;14 32>;14 41>;14 41>3>;14 41>31>;14 41>41>;14 41>41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>3>;30>14>;30>14>2>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>32>31>30>;30>41>;30>48>;30>48>30>;30 31>;30 31>14>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>32>;31>32>31>;31>41>;31>41>41>;31>48>;31 41>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;32>31>31>30>;32>32>;41>2>;41>2>41>;41>3>;41>7>;41>14>;41>30>;41>31>;41>41>;41>41>2>;41>41>14>;41>41>31>;41>41>41>;41>41>41>14>;41>41>41>41>;41>41>41>41>41>;48>30>;48>48>;48>48>48>;49>49>;49>49>49>;
18208-7098;;4;1;;;;;8;;;;7;9;5;3;;4;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;3;;1;;;;3;3;1;2;;;;;;;1;1;1;;;;;4;;2;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;4;;2;1;;;2;1;;1;1;;;1;;;;;1;;;;5;;4;2;1;;;4;;1;1;2;2;;;1;;5;2;2;2;;;;;;;;;;;;;;;;;;;1;1;;;
23038-7274;;1;;;1;2;;6;;;;3;3;;5;;6;;1;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;2;;;;;;2;;3;;;1;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;1;;;;
22929-7118;;11;1;;2;2;;32;2;4;;12;17;1;21;;2;;2;1;;1;;5;2;1;1;1;;;;2;;;4;1;;;;;;;1;;;;;;;;;;2;1;;;;;2;1;5;1;2;;;;;;;3;9;2;2;2;;1;;;;;;4;1;;;;4;1;1;;;;1;8;2;3;;;;1;;9;;1;1;;;;1;;;;;1;4;1;1;1;;2;2;;;4;1;1;1;;;1;1;1;1;;;;1;1;3;;1;;2;2;;5;1;3;1;1;;;5;1;2;;;;;;2;3;;;;;;;2;;;;1;;3;4;1;;1;1;;1;;1;;;;;
22611-4130;;2;;;1;1;;3;;;;1;1;;1;;;;;;;;;1;;1;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
13298-7098;;;;2;;1;;7;;;;1;1;;7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13016-5468;;6;;4;;3;;17;1;1;1;15;12;;11;;6;1;;;;;;;;1;1;1;;;;1;1;;3;;;;;;1;;1;;;;1;;;;;;;;;3;;;;;1;;;;;;;1;;3;;;;;;;;;;;;2;;1;1;;3;;;;;;2;3;;;;;;;;4;;;;;2;1;;;1;1;;1;1;1;;;;4;1;;;4;;;;;;;;;;;;1;1;1;4;2;;;;3;;5;;2;;;;;;;;;;;;;1;1;;;;;;;;;;1;;1;1;2;;;;2;;;;2;1;1;;;
22460-7274;;1;;;;;;1;1;1;;4;3;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;1;;;;;;1;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19683-4605;;4;1;;;3;;12;1;2;;5;11;;1;;;;1;1;;;;2;1;1;1;;;;;;;1;2;;1;;;;;;;1;;;;;;;;;;;;;2;1;1;1;2;;2;;;;;2;1;;4;1;2;;;;;;;;;;;;;;;;;;;;;4;;1;;;;1;;1;;;;;;;;;;1;;1;1;1;1;;;2;;;;2;;;;;;1;1;;;;;;;;;;;;;1;1;5;2;1;;;;;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
15396-4130;1;3;1;;;;;10;;1;;4;7;;3;1;;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;1;4;;;;;;;;;;;2;;1;;;1;;;;;;;1;;;;;;;;2;;1;1;1;;;;;;;;1;1;1;;;;3;;;;1;1;;;;;;;;;;;1;;;2;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;1;;;;;;;;;
18700-5469;;9;9;;;;;15;;;;6;7;9;9;;1;;1;;;1;1;;;;;;2;2;1;3;1;;5;;;2;2;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;5;1;2;;;;;;;;;;7;4;2;2;2;;;;;;1;;;;;;1;3;;;1;1;;;1;3;3;;;;1;;;;;;;;;;;1;1;;;;;1;;;;;;2;1;;1;;;1;;;1;;;1;1;;;5;;1;;;1;;2;;2;1;1;1;;;;;5;3;;2;2;1;2;2;3;;;;;3;;;;;;;;;;;;;
