aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>14>;2>2>41>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>32>;2>32>31>;2>41>;2>41>41>;2 14>;2 14>2>;2 14 41>;2 31>;2 41>;3>2>;3>32>;3 14>;6>6>;7>5>;7>14>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>3>32>;14>7>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>38>;14>41>;14>41>41>;14>41>41>41>;14 30>;14 30>31>;14 30>31>30>;14 30>32>;14 30>32>31>;14 30 31>;14 31>;14 31>2>;14 31>31>;14 31>32>;14 31>32>31>;14 31 41>;14 32>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>41>;14 48>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>3>;30>14>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>30>30>;31>32>;31>32>31>;31>41>;31>48>;31 41>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;33>36>;33 36>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36 41>;38>14>;38>36>;38>41>;38 41>;39>38>;41>2>;41>2>41>;41>14>;41>14>41>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41 48>;46>2>;48>30>;48>48>;
18208-7098;;3;11;;;;;16;;;4;7;7;1;;6;8;2;;;;;;;;;;;;;1;1;1;1;;;1;;;;;1;3;5;;;;;;;;;3;;2;;;;;;;;;;;3;;;;;;;;;;2;;;;;;1;;3;1;;;;;;;;;;;2;1;;2;;1;;;;;;;;;;;2;;;;4;1;1;;;;;;;;;;;;;;3;2;;;;1;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
22513-4605;;9;1;;3;4;1;12;1;;3;9;;;;;;;5;;2;3;;;3;1;;;3;;3;2;;;;;4;2;;;;1;;;;;;1;;6;2;2;;;;1;1;;3;1;;;;;;;1;;;1;;;;;;2;1;;;;1;;;;;;3;;;1;1;;;;1;;;;;;;;;;2;1;;;;;;;;1;2;3;;;;;;2;1;1;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23038-7274;;4;1;;6;4;3;12;1;2;13;8;1;;;;2;;8;;3;;;;1;;1;;;;;;;;1;;1;;;;;;;1;;;1;1;2;1;1;;;;;1;3;1;2;1;;1;;;;;1;;;1;;;;;;2;;;;;1;;;;1;;3;;;;;;2;;;;;;2;;1;;;;3;;;;;;;1;1;;;6;;1;;;;2;;2;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;2;;1;1;;;;;;;;;1;;;1;
22929-7118;2;22;3;;1;1;;48;1;1;15;17;;3;1;12;10;;36;2;3;3;1;1;2;;1;;3;1;2;1;;;5;2;9;1;1;1;6;;;1;;;;1;;6;1;2;1;;;;3;;7;3;3;;;;;3;6;1;1;5;1;1;;;;4;;2;;;;;;2;2;1;16;2;1;1;;;1;;1;;3;;5;1;2;1;;;2;1;1;;;2;;;3;;1;7;1;5;2;1;;1;;2;;;;;;1;1;;;;;1;1;;1;1;4;;3;2;1;2;1;2;3;3;;4;1;2;1;;4;2;3;11;1;4;5;;;1;1;;;
13298-7098;;2;;;;;;6;;3;1;9;;;;;;;5;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;4;1;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22611-4130;;;;;;;;2;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13016-5468;1;13;2;8;;6;;36;1;1;17;15;;2;1;5;6;;23;1;8;1;;;;;;;1;;1;1;;;1;1;7;;2;;4;;;2;;5;;1;1;1;;;;;;;2;;;;;;;;;2;4;1;;4;;;;;2;4;;;;;1;;1;;1;;8;;3;;1;1;1;1;;;3;;6;1;2;1;;;;;;;;2;2;4;;;2;7;;3;1;;;;;;;;;;;;3;;;;;1;1;;;;1;;;;;;1;1;1;;;1;;;;1;1;1;3;2;;1;;;;1;1;2;1;
22460-7274;;;;1;;2;;3;;;2;5;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;;;;;;;;;1;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;1;;;;;;;
19683-4605;3;13;;;;1;;17;;;;2;;4;2;6;9;;13;3;1;;;;1;;;;2;1;;;;;2;;5;;1;;3;;;;;;;1;;;;;;;;;;;1;;;;;;;2;2;;;;;;;;;1;;;;;;;;;2;2;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;2;1;;1;;;;;;1;2;;1;3;;1;;1;1;;;;4;1;;;1;1;;1;1;;;
15396-4130;;;;2;;2;1;23;;;8;11;8;;1;11;4;1;9;;1;5;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;2;;;4;4;2;1;;3;1;1;4;;;1;1;;3;;1;;;;3;;1;2;1;5;1;;;;;;;;;;;2;;;;;;;;;1;1;;;;;;;4;;2;;;;;;3;1;1;;;2;;1;6;3;1;2;;;;;1;4;;3;2;2;;;;;1;1;;;;;;2;1;;3;;;1;;;;;;;
