aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>2>;2>2>31>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;2 14>;2 14>2>;2 14>3>;2 14>14>;2 14>31>;2 14>31>30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 48>;3>2>;5 14>;6>6>;6 14>;6 41>;6 48>;7>5>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>7>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>41>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>41>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 30>31>;16 31>;17>30>;17>31>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>41>;30>48>;30>48>30>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;31 41>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>13>;48>14>;48>29>;48>30>;48>31>;48>48>;48>48>48>;49>48>;49>49>;
18187-4605;;11;1;;2;5;;42;2;;5;32;31;11;;16;1;5;7;;;;;;;2;;3;3;1;1;;6;;;;2;2;1;2;1;2;2;;;;;1;1;;;1;3;;2;;1;;1;;3;1;7;6;3;2;2;7;1;;4;12;;;;1;;6;1;;1;9;;;2;;1;1;1;1;;;;;;;4;1;;7;2;3;3;2;;;;1;2;1;;;1;1;;5;;1;;1;1;13;;6;3;3;2;;;;;;1;1;1;;;;3;8;4;;;;3;2;1;3;;;;;;1;4;;;3;;3;;
21659-5388;;10;1;1;;2;;36;1;6;;14;19;;;18;;5;4;;;;;;;3;;1;;;;;7;;;2;1;;;;;1;1;;;;;;;;1;;1;;1;;1;;;1;4;;4;2;;;;2;1;1;2;7;;2;1;3;1;6;;;2;12;;;1;3;1;;;;1;2;2;;3;;;;1;1;;;;;;;;;2;1;;;;1;;5;;1;1;;3;3;;;;;;;;;;;2;;;;;;3;;;1;;1;;;;3;;1;;;;1;;;1;;;1;;
17540-5468;1;18;1;2;6;5;14;35;2;1;;6;17;2;;18;1;20;;;;3;;1;;5;;2;;;;;8;3;;;1;;;;;;1;5;1;;2;1;1;;1;;2;1;4;;2;1;;2;1;;5;2;1;;;3;;;;1;;;;1;1;3;;;2;9;3;1;1;6;2;1;1;1;;;;;1;;1;1;;1;1;;;;;;;;1;1;;1;;1;;1;;1;1;2;3;3;;1;;;;;;1;;1;1;1;1;;;;3;1;1;2;;;3;1;;1;;;;;9;2;;;;;;;;
18217-4605;;8;3;2;;1;;33;4;3;2;20;23;5;1;21;1;9;7;;;2;1;;;;;1;;;;2;2;;;;;;2;1;;3;1;;;1;;;;;1;;;;3;1;;1;3;;3;1;7;2;1;;;4;2;;3;5;1;1;;;;5;2;;1;10;1;1;1;4;1;2;1;1;2;;2;;;2;3;;2;4;1;1;;;;;;1;2;1;;;1;1;1;2;;1;2;;1;5;1;2;1;;;;;;;;2;;;1;1;1;1;3;2;2;;3;4;2;;5;1;2;1;;;2;2;1;;;;2;4;
14004-4604;1;9;1;4;;2;;21;1;;;8;16;3;;18;1;2;;;1;2;2;1;1;1;;1;1;;;3;5;2;;;;;1;1;1;1;1;;;2;;;;;1;1;;;4;2;;;;1;;;2;1;;;;3;1;;;2;;;;;2;4;;1;1;10;1;1;1;;1;;;1;;;;;;;;;;1;;;;;;;;;2;2;;2;;1;1;2;1;2;;2;;6;;;;;;;;2;1;;2;;1;1;1;1;2;;;1;1;;4;2;;5;;1;;;;;;1;;;;;;
22694-4604;1;4;;1;2;2;;6;;2;;2;5;;;4;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;2;;;2;2;;;;;;;;;;2;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
15217-7098;;7;;;1;1;;15;;;;3;4;;;9;;;;;;;;;;2;1;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;2;;2;;;1;1;;1;1;;;;3;2;1;;;;;;;;2;;;;3;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;1;;1;;;;1;;;;;2;2;;;;;;;;1;1;;;;;;;;;;;1;;3;;;;3;;1;;;;;;;;;;;;
22977-7118;1;13;2;2;5;5;;28;1;1;;8;14;;1;17;1;7;3;1;1;1;;;1;1;;3;3;1;1;;8;1;1;;2;2;;;;;1;;;1;;2;3;2;;1;2;1;4;;;;2;2;;;2;2;1;1;1;6;2;2;;3;1;;;;;6;;1;2;8;;;4;;;;;1;1;;;;;1;;;1;3;;2;1;;;;;;;;;;1;1;;;;;;;;5;;3;2;1;;;;;;;;;;1;;2;2;;;1;;3;1;1;1;8;1;3;2;1;;;;;;3;3;;1;
25130-4130;1;9;5;;1;1;;11;1;;;6;6;;;9;1;1;;1;1;2;1;1;2;;;2;1;;;;4;;2;;;;1;;1;2;1;;1;;;;;;;;;;1;1;;;3;;;;2;;;;;;;;;2;;;;;;2;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;1;;1;1;1;;;;;;;;1;;;1;1;;1;;1;;;;1;;;;;;2;1;1;;;;;;;;;;;;
24986-5469;;12;;2;;2;;33;4;4;;22;26;;1;13;;3;;;;1;;;;2;;5;3;;;1;7;1;;;3;2;;;;;2;;;1;;;;;1;;;1;4;;1;1;;1;3;2;9;4;1;;;3;1;;;6;1;1;;2;1;8;;;2;4;;;;1;3;1;1;3;2;;3;2;;2;4;;1;5;1;1;1;1;;;1;1;7;4;;2;;1;1;4;1;1;;;3;11;3;1;;;;;;5;4;;2;;;1;;1;4;;;1;;1;;;;1;;;;;;;;2;1;1;1;;;
22469-7274;;7;;;1;1;;12;;5;;10;11;;2;8;;7;;;;;;;;;;4;3;2;;;2;;;;;;;2;;;3;1;;;;1;;1;;;;;4;;;4;;1;;;1;;;;;1;1;1;;4;3;;;2;1;4;;;1;5;1;;1;2;;;;;3;;4;2;1;3;;;;4;;;;;;;;2;1;;;;;2;1;2;;1;;1;;3;;2;;;;;;;;;;;;;;;2;;;;;;1;;;1;;1;1;1;;;;2;;1;;;;
24108-4130;;8;;;;;2;12;;1;6;3;6;;;11;;7;1;;;1;;;;1;;2;;;;1;3;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;4;2;1;;;;;;;;;;;;;;;;;4;1;1;;3;;;;;;1;;;;;;;;2;;1;1;1;1;1;;1;;;;;1;1;;;;;;;;3;;2;1;1;1;1;1;;;;;;;;;1;;;;2;;;3;2;1;4;1;1;1;;1;;3;;;3;1;1;;
11848-7098;;3;1;;;;;8;;6;;6;7;1;;1;;;;;;2;1;1;;;;1;;;;;1;;;;;;;;1;;;;1;;;;;;;;;;1;1;;;;;;;2;1;1;;;;;;;4;;1;1;;;4;1;;;;;;;;;;;;1;1;2;1;4;;1;;;2;1;;;;;;;;1;1;1;;;;;;;1;;;;1;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
18030-4130;;3;;2;;2;;10;1;1;1;8;10;2;;1;;4;2;;;2;;2;;;;3;1;;;;;;;;;;;;;;;;;1;;;;;1;1;1;;2;1;;1;;1;1;;5;3;2;1;;;;;;2;;2;2;;;2;1;;;;;;;;1;1;1;;;;;;;1;1;1;;5;;4;2;;;;1;1;4;3;2;;;1;1;2;1;;;1;3;7;;5;3;1;;;;;;;1;;1;1;;;;1;1;;;;;;;;;;;;;;1;1;;;;2;1;
22034-4605;;4;;;1;3;;14;2;4;;7;13;;;5;;;;;;;;;;;;1;;;;;3;;;;;;1;1;;1;1;;;;;1;;;;;3;;1;;;1;;;1;1;1;;;;;2;;;;1;;;;;;6;;;2;3;;;;;1;1;;1;1;1;3;1;1;;;;1;2;;;;;;;1;;2;;;;;;;2;1;;;1;;1;;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
10127-5469;;4;;3;1;4;;14;;1;;13;12;;;13;;;;;;1;;;;;;1;1;1;1;1;2;;;;;;;2;;;2;;;;;1;1;;2;;1;2;1;;;;;2;;;3;1;;;;2;1;;;5;1;2;;1;;4;;1;1;6;;;1;;;;;;;1;1;;;1;;;;4;;3;2;2;2;2;1;;4;1;1;;2;;;1;;1;;;;6;;4;3;2;2;2;2;;;;;;;3;;;1;;;1;2;;2;2;2;4;;1;;;;;;;;;;;;
21888-7274;;6;1;;1;1;;14;;1;;7;4;;;11;;1;;;;;;;;1;;2;2;1;1;;2;;;;1;1;;2;;;3;;;;;1;;;;;;;2;;;1;;1;1;1;3;2;1;;;1;1;;;2;;;;;;;;;;6;1;1;;;;;;;1;;1;1;;;2;;;3;1;1;1;1;1;1;;;;;;;1;;;1;;;;;1;3;;2;1;1;1;1;1;;;;;;;;;;;;;2;1;;1;1;;3;;1;1;;;;;;;;;;;
22677-5469;;2;1;;;1;1;9;1;2;1;9;7;1;;5;;2;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;2;;;;2;1;;;;;;;;;;;;;3;1;1;1;1;;1;;1;1;;;;;;2;;1;1;;;;;;;;;;;;;;1;;2;;;;;1;5;1;1;;;;;;;;;;;;;;;;;;1;;;1;1;;3;1;;;;;;1;;;1;;;;
