aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;3 14>;6 14>;7>5>;7 14>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>33>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;46>1>;48>14>;48>29>;48>30>;48>48>;49>49>;
18187-4605;5;30;;2;;2;1;71;2;7;;25;27;;2;2;8;16;1;61;4;6;;3;2;4;4;2;;1;3;13;1;3;1;9;;;;1;;3;;;1;11;6;;;7;8;1;;6;1;;;2;3;;1;3;4;1;27;3;2;4;;2;5;4;3;;2;5;1;3;8;3;3;2;1;;1;4;1;;;3;;3;2;11;;4;3;2;1;;1;1;;4;7;2;;1;1;4;1;2;1;1;1;;2;;2;1;;1;6;;1;2;7;3;;8;2;2;2;1;;3;2;;
21659-5388;2;24;6;12;2;8;;77;1;10;8;38;51;1;7;7;17;20;4;35;2;15;8;;1;4;1;1;;2;1;13;;3;;5;;4;2;2;;1;1;2;5;11;8;4;3;8;8;5;8;5;2;2;;1;10;1;;2;4;;12;1;;1;6;1;6;3;3;3;;5;;3;15;2;7;4;1;1;5;13;10;1;2;4;16;1;7;19;;8;7;4;1;8;4;2;2;;2;1;1;5;6;10;6;5;3;2;1;1;3;2;;4;2;1;4;4;1;1;2;1;2;15;11;5;2;1;5;;;3;
17540-5468;1;29;;1;;4;;63;;5;1;22;43;;3;3;25;15;;51;2;7;2;1;;4;;10;6;5;1;12;4;1;2;2;;;;1;1;5;;1;;13;3;;;2;9;2;1;8;;;1;3;9;2;2;5;6;4;24;5;1;3;2;;2;;;2;7;2;;3;7;1;4;3;2;;1;2;1;1;3;;2;4;;12;;6;4;3;2;;5;;2;2;5;1;;2;2;10;2;6;3;2;2;2;1;2;5;1;;2;5;4;;1;11;3;;8;5;3;;;1;2;;1;
18217-4605;1;21;;;6;4;1;41;;6;3;14;16;3;2;1;15;9;;23;2;7;;;1;;1;;;1;;11;;2;3;3;;;2;;2;4;;1;;4;3;1;;2;;;;5;1;1;2;;7;1;1;5;2;2;13;;;;1;;;2;;2;1;1;;;4;;2;1;;;;1;1;;;;3;;1;3;;1;;;;;2;;;1;4;;1;1;;2;;1;;;;;;;2;;;;3;3;;;;;;1;1;;1;;2;1;;;
14004-4604;1;22;5;4;;2;;47;1;3;;22;33;4;;;;3;1;33;1;2;;;1;5;3;1;1;6;;9;;1;1;1;1;;;1;;7;;1;1;8;6;1;1;2;7;3;;5;;;;3;9;1;1;;;;15;3;3;1;;1;2;2;1;;2;1;;1;3;;1;;;;1;5;3;;;1;5;3;2;13;;1;1;;;4;5;2;3;1;4;1;;;;;;;;;;;;;;;;;;2;2;1;8;4;;9;3;;1;;;1;;;
15217-7098;1;11;;2;1;2;;28;;6;;28;14;;1;;1;8;;25;1;3;;;1;2;2;1;1;1;;6;;2;;3;;;;;;4;;2;1;4;1;;;1;5;1;;5;1;;;1;;;;1;3;1;12;3;1;3;;;3;5;2;;;3;;1;7;1;4;2;;;1;4;3;2;;1;3;3;1;9;;4;3;1;;2;1;;;;1;1;;1;;;;;;;;;;1;;2;;;2;2;2;2;5;2;2;6;4;;1;;;1;;;
27420-7274;1;7;;2;1;3;;14;1;;;4;6;;;;;;;8;1;2;;1;1;;;;;;;4;;1;;1;;;1;;3;3;;;;;;;;;1;;;2;;;;;2;;1;;;;6;;;1;2;;;;;;1;;;;1;;1;;;;;;;;;;;;;2;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;;;;
22694-4604;;4;3;;;;;18;1;5;;14;9;;2;1;2;3;;27;;;;;;1;;2;2;;;1;;1;;4;;;;;;;2;;3;2;2;2;;;2;;;5;;;;3;1;;;;1;;12;1;1;;;;;2;;;;2;;2;7;;5;4;4;3;3;3;2;1;;;;3;;7;;6;4;3;3;1;1;;;;2;1;;1;1;1;1;1;1;;;;1;;;;1;;1;2;2;1;3;2;;1;;;;;;;;;
22977-7118;;3;;2;;3;;26;;;;4;7;;2;2;21;12;1;10;;2;;;;;1;1;1;;;1;;;1;2;;;;1;1;;;3;1;2;;;;2;;;;2;1;;;;2;;1;2;2;;5;;;;2;;;;;;;2;1;;2;1;;;;;;1;;;;;;;1;1;1;;;;;;;;;;3;;;1;1;9;1;6;6;4;2;2;1;4;1;1;;3;1;;1;;1;1;1;;;;;;;;;;
25130-4130;1;9;1;6;;4;;22;;5;1;18;15;;2;1;9;5;;17;3;3;1;;;;;2;1;;1;4;;4;;5;;1;;3;;;;2;;7;5;1;1;1;2;;;5;3;2;1;1;4;1;3;3;1;1;8;2;2;1;1;;2;4;2;;1;1;1;1;3;;2;1;;;;3;2;;1;;2;3;;6;;1;1;1;;;1;1;1;;6;;;2;1;1;;1;;;;;;;1;;;;2;;;;2;2;1;1;;;1;1;1;;;;
24986-5469;1;27;;4;1;4;;50;4;1;;37;37;;2;1;3;7;1;34;2;5;;;1;4;;3;2;4;;12;1;2;3;3;;;;3;;4;;1;2;14;6;2;1;2;4;3;;15;4;1;3;2;12;4;4;1;2;;14;2;1;1;2;4;;1;;;1;3;;;12;2;10;8;5;4;;7;2;;2;;5;3;2;14;;6;5;4;4;1;6;3;4;2;6;1;;;1;2;1;2;2;2;2;2;;;;;2;1;;6;2;2;4;1;1;12;5;4;;;;;;;
