aluno;1>;2>;5>;6>;7>;14>;16>;17>;28>;29>;30>;31>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>30>;2>31>;2>31>2>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2>41>41>41>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 30 31>;2 31>;2 31>30>;2 41>;6>6>;6 14>;7>6>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>7>;14>14>;14>31>;14>31>2>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>31>48>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14 30>;14 30>2>;14 30>2>31>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>31>30>;14 31 41>;14 31 48>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 30 31>;16 31>;16 31>31>;16 41>;17>30>;17>30>14>;17>30>31>;17 30>;17 30>30>;17 30>30>31>;30>2>;30>2>31>;30>14>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>41>41>41>;30>48>;30>48>14>;30 31>;30 31>30>;30 31>31>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>48>;31>48>30>;31 41>;31 41>31>;31 48>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>48>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>41>;48>48>;48>48>48>;
18081-5468;;2;;1;1;4;2;;1;;5;3;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
13179-5388;;1;;;;1;;1;;;1;1;2;;;;;;;;;;;;1;1;1;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;1;;;;;;;;;
18163-4605;;4;2;1;3;7;;1;;1;3;4;1;;2;1;1;1;;;1;;1;;;;;2;;;;;;;;;;;;;;2;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
18926-4605;;6;;;;14;;1;;;6;6;9;1;2;1;3;;;;1;;1;1;;;;2;;1;;;;1;;;;;;;;;;2;1;;;;1;3;1;;2;2;2;1;;;2;2;;;;;;;;;;;3;1;1;;;7;;;1;1;;;;;;;;;;1;;;1;;;;;2;;;2;1;1;1;1;;;;;;;1;1;;1;;;;;;;;1;1;1;3;;;;2;2;1;1;1;1;;1;;1;1;1;1;1;;;;;2;1;;2;1;;1;3;1;2;1;1;;;;;;1;;;
18571-4604;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13016-5468;;9;;1;2;17;4;3;1;;12;20;11;;10;;1;;;;4;2;1;1;2;1;1;4;1;;;;2;;;;;4;;;;1;2;1;;;;;;6;;;3;1;;;;;;;;;;2;;;1;1;;;6;3;2;1;1;5;1;;;3;2;1;1;1;;;2;;1;1;1;1;;;1;;;6;1;;2;2;2;1;;1;;2;2;1;;1;1;1;3;;2;1;;;;3;2;1;;5;;;;3;1;1;;;;;;;3;2;1;;;;2;;2;1;;1;2;;;;3;;2;;2;1;;1;1;1;;2;1;
15073-5714;;3;;;;5;1;3;;;6;5;1;1;2;;;;;;3;;2;1;1;;;;;;;;;;;;;;;;;;;2;;;2;;;4;;;2;;;;1;1;;;;;;2;1;1;1;1;1;;1;1;1;;;;;;;;1;;;;;1;2;;;3;2;;2;1;1;1;;3;;1;1;1;;;;;;;2;1;;;;;;;1;;1;;;1;;2;2;3;1;;;1;1;1;;;;1;;;2;1;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;
19683-4605;;;;9;2;6;;1;;;4;4;3;;4;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;1;;;;;;;2;;;;;;;;1;;;;;;1;;;;;;;2;1;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;1;1;;;;;;1;;;1;;;;;;;;1;;;;;;
15396-4130;;6;;;;8;;2;;;8;7;;;1;;1;1;1;1;1;;;;;;;1;;;;1;;1;;2;1;;;;;;;2;1;1;;;;3;;;2;1;1;1;;1;;;;;;5;1;;3;2;;;2;;;;;;;;;1;;;;;;;2;1;;;;;2;;1;2;2;1;;;1;1;1;1;;;;;3;2;;;;;;;;;;;;1;;;;3;;1;1;1;1;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;
18047-6398;1;27;4;3;4;74;6;13;;3;52;56;56;1;10;;3;2;4;;5;1;;;5;2;1;11;2;1;1;2;1;2;;2;;4;1;1;;1;2;9;;2;2;1;2;20;;3;8;3;1;1;;1;10;2;4;1;;11;2;1;2;;2;1;13;;;3;;22;7;3;2;1;3;2;1;4;2;1;9;2;3;9;6;2;2;1;7;3;2;12;2;;2;2;1;1;1;3;2;2;8;4;3;2;1;;5;4;8;;;3;5;1;2;6;2;17;2;3;2;4;1;1;1;1;1;3;1;2;3;2;;3;1;;12;1;;3;1;3;11;4;3;1;11;;4;;;5;1;1;;;1;1;;
