aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;33>;34>;36>;38>;41>;46>;48>;49>;1>46>;1>46>2>;2>1>;2>2>;2>2>31>;2>7>;2>14>;2>14>31>;2>30>;2>31>;2>31>30>;2>38>;2>41>;2>46>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 31>30>;2 41>;6>6>;6 14>;7>5>;7>6>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 41>;14 41>2>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17>30>14>;17>30>31>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>2>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;31 48>;33 36>;34>36>;36>34>;36>36>;36>36>34>;36>36>36>;38>2>;38>14>;38>33>;38>38>;38>41>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>2>;48>14>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;
18081-5468;;5;1;3;;3;17;;1;;7;6;1;;1;4;11;;1;;;;;1;;;;;;;;1;;;4;1;;;;1;;;;1;;;2;;1;;1;2;;;;2;1;2;;2;;;;1;;;;3;;1;1;;1;1;;;;1;7;1;1;1;;;;;;1;;;1;1;;;;;;3;;2;1;1;;;1;1;;;;;;;1;;;;;4;;;;1;1;1;1;;;;;1;;;;;;;;;;;1;;;;2;1;1;;1;1;;;;;;;;;1;1;;;;
13179-5388;;2;;;;1;3;1;1;;5;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;1;;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;1;1;;1;1;1;1;;;;3;1;;;;;;;;;;;;;;;;;1;1;2;1;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18163-4605;1;13;;;;1;21;2;1;;6;15;;1;2;6;8;1;1;;;;;4;1;;;;;4;;3;;1;6;1;2;;;;;;;;;;;;;1;;6;2;;;;1;5;;;;1;1;;;;;1;;;;;;4;1;;;3;1;;;;;;1;;2;;;;;;;;;1;;2;;1;;;;;1;;1;1;;1;1;;;;3;1;;4;;;;1;;;;1;3;;;1;1;;;;;1;1;1;;3;1;;;;;;;;1;1;;;1;1;;;;;1;1;;;;
18926-4605;;5;;;9;2;11;1;5;;16;16;;;;;2;;4;;;;;2;2;;;;;4;2;;;;2;;1;;;;1;1;;;3;1;;1;;1;1;2;2;;;;;3;1;1;;;;;;;;3;1;1;1;;;3;1;;;;;;;;;1;1;1;;4;;;4;3;1;;;;;8;;6;;;4;;7;4;;;;2;1;;1;;;2;1;7;;;;4;2;;;;2;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
18571-4604;;;;;;;1;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13016-5468;1;20;1;;3;6;28;4;3;;20;24;;;;6;31;1;21;;1;1;;4;1;;;;1;4;1;;4;;8;3;;1;1;2;2;2;;6;;1;;1;;3;3;3;;;1;1;;3;;1;;;2;5;1;3;3;3;;;;1;1;6;1;1;;;10;2;1;1;4;5;1;3;1;1;;;;;;;;;;7;;4;4;4;;3;;;3;3;6;3;1;;2;4;2;;;3;;;;2;1;1;;;1;;1;2;2;;2;;;;;;;1;2;;1;2;1;3;;1;6;1;;1;9;3;5;5;1;1;2;2;2;7;5;
15073-5714;3;14;;;;;17;1;1;;7;8;1;1;1;4;11;3;4;2;3;2;1;1;;;2;;;3;3;;2;3;3;1;;;;;;;;2;;;;;;;;5;;1;2;;;2;;1;;;1;1;;;;1;;;;;;1;;;;1;4;1;;;;1;;;1;;;;1;;;;;;;;;;;;;;1;1;2;;2;;;;;;1;;;5;;;;;;;;1;1;;;;;;1;1;1;1;;;;1;1;;;1;;2;;;1;1;;;2;;1;;2;1;;;;;;
19683-4605;;6;;;12;3;14;1;1;1;13;14;;;;1;3;;2;1;;;;;;;;;1;2;;1;;;4;;1;1;1;1;1;2;1;1;2;2;;1;;;;;;;;2;1;7;;2;2;1;;;;;;5;;2;1;1;;1;;;;;2;;1;;;;1;;;;;;1;;1;2;1;;;4;;3;2;1;2;;4;2;;;1;3;;;;;;1;;5;;;;4;3;2;1;1;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;
15396-4130;2;12;;;;;23;1;;1;7;10;;;;1;15;2;2;;1;1;1;4;;;4;1;;1;;;;2;6;3;1;;;1;;;;1;;;;;;;;8;;3;;;2;3;;2;;1;1;5;;5;2;1;;;;;;4;;1;;;10;1;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;1;1;;4;;;;;;;;1;1;1;1;;3;1;;;;;;;;;1;;;;;1;1;1;;;;1;5;;2;2;1;;;;;;;
18047-6398;5;39;1;6;8;10;115;6;20;2;73;75;6;4;19;20;74;7;12;1;3;3;4;2;1;1;5;2;1;7;2;;2;;19;2;3;2;2;4;3;5;1;5;1;3;3;1;1;4;1;10;1;4;1;2;3;27;5;8;1;1;5;11;1;2;;24;3;5;;3;3;14;;5;3;5;33;;6;2;3;4;2;1;3;10;1;2;14;9;4;7;2;6;1;18;4;3;3;1;3;2;11;3;1;1;3;8;1;5;8;2;1;6;2;23;1;1;5;7;2;2;1;3;1;;1;1;14;4;;4;3;2;7;1;4;1;3;2;1;;8;1;2;4;10;4;3;2;9;1;3;1;3;3;1;;1;;;
