aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>14>;2>30>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>31>30>30>30>30>;2>41>;2 14>;2 14>2>;2 14>31>;2 14>31>30>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 30 31>;2 31>;2 31>30>;2 41>;6>6>;6>6>6>;6>31>;6 7>;6 14>;6 30>;6 31>;6 41>;6 48>;7>5>;7 14>;7 41>;14>2>;14>2>2>;14>2>31>;14>2>31>30>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>31>30>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;17 30>30>14>;17 30>30>30>;30>2>;30>2>31>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>14>31>;30>30>17>;30>30>17>30>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>14>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>30>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;30>48>30>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 48>;32>31>;41>2>;41>2>31>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>30>;48>31>;48>48>;49>49>;
18187-4605;;15;;2;7;2;32;1;3;21;26;;;11;;3;1;3;;;1;1;2;2;1;1;;1;9;2;1;1;2;1;1;2;;3;1;2;;;;;3;1;1;;1;1;1;1;3;;;;;2;7;3;;2;2;1;;1;2;1;1;1;;10;;3;1;;;;;8;;;;2;;;1;1;;;;1;;;;3;;3;1;1;;1;;;3;;;;1;1;5;2;;;;3;1;2;1;;;;;;1;1;;;5;1;;;;;;;;1;;;;;1;1;6;;1;1;2;2;1;;;;;;;2;;;1;;;1;1;;1;;;;;2;1;;;1;;1;1;;1;;;1;
21659-5388;1;18;;;7;3;37;2;4;27;27;;;15;3;2;;3;;;;;3;2;;;;2;10;3;1;;1;;2;1;;2;;2;2;1;;1;1;1;2;;1;;1;;4;;;;2;;10;5;;2;;;;;4;1;1;;;15;;7;3;2;1;4;1;7;;;1;8;2;2;1;;;;;1;;1;;;;;3;;;;1;1;;;;;;;4;;;;;;;;;;;;;;;;;;7;3;2;;;1;;1;1;6;1;;1;1;1;;8;;;;2;;;;;;;;;;;;;;1;1;1;;2;;1;1;;4;2;;;3;1;1;1;;1;;;;
17540-5468;;9;1;1;5;4;27;2;6;25;24;;;9;;6;4;2;;;;;2;;;;;;4;1;1;;;2;;;;4;;1;;;;1;2;;;2;;1;1;1;3;1;;;;;10;7;;1;1;1;;;1;;1;1;2;8;;2;2;1;;2;;7;2;2;;4;1;1;;5;2;2;1;2;2;;;3;3;;4;2;2;;;;6;2;2;2;2;2;7;5;1;1;1;5;2;3;1;1;1;;;;;;;;4;3;2;1;;2;;;;3;1;;;3;1;;12;;1;1;5;4;2;1;1;;;;;4;3;1;1;;;1;1;;;;;;1;3;3;1;;2;1;2;1;;1;;;2;
18217-4605;;17;2;3;;3;35;5;6;30;34;;1;26;;6;2;4;1;1;1;;4;4;2;1;1;4;9;1;1;1;;1;5;1;;1;;6;;;;;;;;;;2;;;5;3;1;1;;1;12;8;;5;2;1;;;4;1;1;;;7;1;4;2;2;;;;3;;;1;9;1;1;2;1;1;4;3;2;2;2;1;6;;2;3;3;;2;1;;1;;;;3;3;14;1;;1;1;9;1;6;;2;2;1;;;3;4;3;;11;8;4;3;3;1;1;1;1;2;1;;;1;1;2;22;;1;1;10;6;3;1;1;;;5;1;2;1;1;2;;3;4;;;4;1;2;;1;5;3;;;9;1;5;3;1;2;1;1;1;
21380-5714;;3;;;3;;11;1;3;16;14;;1;12;1;1;;;;;;;2;;;;;;1;;1;;;;;;;;;;1;;;;;;;1;;;;;1;;1;;;;4;2;;2;1;;;;;;;;;5;;1;;;;1;1;3;;;3;5;2;2;;;;;;1;;1;;1;;;3;1;;;;;1;1;;;;;6;;;;;3;;1;;1;;;;;1;1;;;2;;;;;1;1;;;3;;1;1;;;;4;1;;;3;2;;;;;;;;2;1;1;1;;1;5;;;;;;;1;2;2;2;1;1;;;;;;;;;
14004-4604;1;6;;2;3;2;17;;1;5;6;;1;9;1;5;4;;;;1;;2;;;;;;1;;1;;;;;;;;;;1;1;;;2;;;;;1;1;;2;;;;1;3;4;2;;1;1;1;1;;3;1;1;;2;1;;;;;;;;;;;;2;;;1;2;1;;;;;;;1;1;;1;1;1;;1;;2;;;;;;3;2;;;;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;;2;;;;1;1;1;1;1;1;1;;;;;;1;;;1;;;2;1;;1;1;1;;;;2;;;;2;;1;;1;
12526-6388;;3;;;1;3;6;;1;6;6;;;4;;2;;;;;;;1;;;;;;1;;;;1;;;2;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;3;;;;;1;;;2;;;1;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;1;;;;;1;1;1;;1;1;;;;;;;;;;;;;;;;;
18030-4130;;2;;;;;5;;1;4;3;;;2;;2;1;;;;;;1;;;;;;2;;1;;1;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;2;;;;;;2;;2;;;;1;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;
22034-4605;;5;2;1;;1;11;1;2;10;10;1;;5;;8;;;;;;;;;;;;;1;;;;;;;2;1;2;;1;;;;;;;;;;1;;;;;;;;1;3;1;;;;;;1;;;;;;2;;1;;;;;;1;;;1;1;;;;3;;1;1;;;1;1;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;2;;1;2;;;;2;;;;1;;;;;;;;;2;1;1;;;;4;;1;;;;;;;;;;;;;;3;;;;;
10127-5469;2;9;4;;;1;23;3;5;21;21;1;2;6;2;2;;2;1;1;2;;3;3;1;1;1;;3;1;;;;;;;;;;;;;;;;;;;;;1;;3;;2;2;;;9;6;;3;;;;;1;;1;;;6;1;2;2;2;;;1;3;;;;4;1;;;1;;2;1;2;1;;;4;;;4;4;;;2;2;2;;1;;1;;11;2;1;;;2;1;1;1;;;;;;;3;;;7;3;2;;;;;1;;1;1;;1;;1;;13;;1;;6;2;1;;;;;1;;1;1;1;1;1;1;1;;1;;;;;;2;1;1;1;1;1;;;;1;1;1;;
