aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>31>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 41>;2 30>;2 31>;2 41>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>31>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>38>;30>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 41>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>31>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41 48>;46>2>;48>14>;48>30>;48>48>;49>49>;
18187-4605;;20;;5;7;4;69;1;8;48;45;;3;1;10;16;2;31;;4;;;;3;;1;4;3;2;3;;11;2;2;2;3;3;3;4;;3;3;1;1;3;;;3;20;6;3;2;1;;1;4;6;1;;23;8;2;1;;;1;8;2;1;2;1;7;4;12;;;2;1;1;1;;4;;3;5;1;;3;;2;2;9;2;;5;4;2;2;;;2;13;3;2;2;;;4;1;;2;;1;1;14;;2;5;4;3;2;2;;1;4;;;2;;1;5;1;;;7;4;2;2;1;;;3;1;1;5;3;;1;4;3;1;1;;4;;2;1;;;;1;;;
21659-5388;3;38;;3;7;9;66;2;10;49;46;;2;1;7;5;;32;3;4;;2;2;6;2;;7;3;;2;1;18;5;2;1;1;4;7;4;2;4;1;4;;8;3;4;1;12;5;1;;;;1;;6;1;;25;5;1;;1;7;3;10;;2;2;1;3;2;15;2;2;2;1;;1;1;2;1;;7;;1;1;;2;2;5;;1;1;1;;;;;1;7;1;;;3;1;11;2;1;3;1;1;;11;;;2;1;;;;;1;3;;;;;1;4;;;1;;;;;1;;;;;;2;6;;;5;2;;;;5;1;1;;;;;1;;;
17540-5468;4;23;4;1;4;4;52;1;5;32;35;1;5;4;21;20;8;33;3;12;;3;1;4;;2;3;1;1;1;3;8;1;1;1;1;1;4;4;;1;1;;;4;1;2;1;10;7;2;1;1;1;1;5;4;3;;12;1;1;;;3;5;10;1;2;2;4;5;1;15;2;2;1;8;1;1;;2;2;;2;1;;3;2;3;2;8;2;1;4;3;2;1;;;;2;1;;;2;1;4;1;;6;3;1;;14;;2;7;4;2;2;1;;;5;2;2;4;3;1;4;1;2;1;5;3;3;2;1;4;2;2;1;2;2;2;;1;7;4;2;1;2;9;3;6;3;;2;;;;;
18217-4605;3;27;2;2;;4;54;5;10;48;47;1;2;2;29;22;;42;3;7;2;1;3;6;1;2;5;4;2;3;;14;1;2;1;7;1;1;8;;;1;;;8;2;1;2;10;9;6;3;2;1;;4;2;;;9;1;1;1;;;;4;;1;1;3;4;;12;1;1;;1;4;2;2;10;;2;5;5;1;3;1;5;5;22;2;3;12;8;3;3;3;1;6;9;8;4;4;1;2;3;2;1;1;3;2;2;33;1;1;15;9;5;2;2;2;5;3;2;2;3;;2;9;3;1;1;9;6;3;2;3;2;2;1;4;3;3;2;;3;8;5;;;2;9;2;5;4;1;;1;2;2;1;
21380-5714;1;10;;;7;6;24;3;7;28;23;;2;;4;4;1;23;1;4;1;1;1;3;1;1;4;1;;;;4;1;2;;1;1;1;3;1;1;;1;2;3;2;1;;6;1;;;;;;;3;2;;9;2;;;2;1;1;2;;1;1;1;1;;6;1;1;;;2;2;2;4;;2;6;3;;1;;1;1;7;;;3;1;1;;;;;3;;;;4;1;5;;1;3;;2;;6;1;;3;1;;;;;;2;2;1;;;2;3;;1;;1;1;1;;;3;;;;1;;1;2;;2;2;1;1;;5;;2;1;;1;;2;;;
14004-4604;1;14;1;3;4;7;49;1;4;18;22;3;1;;2;2;2;23;1;10;7;1;;;;5;4;2;1;1;1;5;;1;;1;;;1;1;2;2;2;;7;3;4;6;11;6;4;1;1;1;;;6;2;3;4;2;1;;;1;;3;1;1;;;1;;11;1;;2;3;1;;1;4;2;;3;3;1;4;1;;;9;3;;2;1;1;1;1;1;;2;1;;;;2;1;;;;;1;4;8;;;4;1;1;1;1;1;;3;;;3;2;2;3;;1;;2;1;;;;;;;;;;2;3;1;3;;;;;5;1;3;1;;1;3;4;;1;
12526-6388;;2;;;;1;4;;;3;2;;;;17;4;;8;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;2;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;1;1;1;;;;;;;;8;5;2;2;;1;4;;2;;;;;;;;;;;;;;;;;;;;;
22034-4605;2;25;10;5;;6;39;;;7;17;3;2;1;6;10;2;23;2;43;;2;2;6;2;1;2;;;2;;3;;;;;1;2;7;;;5;;2;3;;;5;3;1;;;;;1;;3;1;;3;1;;;;;;;;;;1;1;1;5;;;1;11;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;1;;2;;;;;;;;;;2;;;2;1;4;1;;;1;;;;;;1;1;1;1;;2;;3;;2;;;;1;5;1;2;1;5;1;18;;10;;
18030-4130;;8;;;;;13;1;1;16;12;;;;;;;7;;3;2;;;;;;2;1;;;;4;;1;3;1;4;2;2;;;;;;1;;;;2;1;;;;;;;1;;;5;;;;;4;1;6;;2;;;;;3;;;;2;1;;;;;;1;;;;;;;1;;;1;1;1;;;;;1;;;;;;6;;3;3;1;1;;3;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
10127-5469;2;11;5;;;2;29;3;5;24;25;1;1;1;5;5;;11;2;3;;;;3;1;3;3;3;1;;;4;1;;1;;1;;;;;;1;;3;2;1;;9;7;4;1;;;;1;1;1;;7;2;2;2;;;1;3;;;;;2;;6;;;;1;2;2;;4;;;4;4;2;2;1;1;;13;2;;3;1;;;;;3;7;3;2;1;;2;1;1;;1;;1;;15;;1;8;3;1;;;;1;1;1;1;;;1;2;;1;1;2;2;1;1;;;;;1;;1;;;;2;2;2;1;;2;1;;;;1;;1;1;;
