49;13346-4434;14 -1 41 -1 41 -2
50;13346-4434;14 -1 31 -2
51;13346-4434;16 -1 31 -1 31 -1 30 -1 48 -1 41 -1 41 -1 31 -2
52;13346-4434;14 -1 7 -1 5 -2
53;13346-4434;5 -2
54;13346-4434;14 -2
55;13346-4434;14 -1 2 -1 14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -2
56;13346-4434;14 -2
57;13346-4434;7 -1 31 -1 31 -1 31 -1 43 -1 44 -2
58;13346-4434;44 -1 14 -2
59;13346-4434;14 -2
60;13346-4434;14 -2
61;13346-4434;14 -1 2 -1 2 -1 14 -1 31 -1 41 -1 41 -1 31 -1 14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 7 -1 14 -1 41 -1 41 -1 41 -2
62;13346-4434;31 -1 30 -1 30 -1 30 -1 30 -1 14 -2
63;13346-4434;41 -1 41 -1 41 -1 2 -2
64;13346-4434;14 -2
619;14770-5489;14 -2
620;14770-5489;31 -2
621;14770-5489;14 -2
622;14770-5489;14 -1 41 -2
623;14770-5489;43 -1 44 -1 44 -1 44 -1 44 -2
624;14770-5489;44 -1 44 -1 44 -1 14 -2
625;14770-5489;31 -1 31 -1 30 -2
626;14770-5489;30 -2
627;14770-5489;41 -2
628;14770-5489;41 -2
629;14770-5489;41 -2
630;14770-5489;41 -2
631;14770-5489;31 -2
632;14770-5489;41 -2
633;14770-5489;41 -2
634;14770-5489;14 -2
635;14770-5489;14 -1 2 -2
636;14770-5489;46 -1 1 -1 2 -1 3 -1 2 -1 14 -1 41 -1 31 -1 14 -1 41 -2
637;14770-5489;41 -2
638;14770-5489;41 -1 41 -1 41 -2
639;14770-5489;14 -1 41 -2
640;14770-5489;2 -1 2 -1 14 -2
641;14770-5489;14 -1 2 -1 46 -1 1 -1 2 -1 3 -1 3 -1 3 -2
642;14770-5489;14 -1 14 -2
643;14770-5489;2 -1 3 -1 2 -1 2 -2
644;14770-5489;14 -1 14 -2
645;14770-5489;14 -1 14 -2
653;14932-4114;14 -1 41 -2
654;14932-4114;8 -2
655;14932-4114;14 -1 32 -1 31 -2
656;14932-4114;31 -2
657;14932-4114;30 -2
658;14932-4114;14 -1 49 -1 48 -2
659;14932-4114;32 -1 31 -2
660;14932-4114;16 -1 31 -1 30 -2
661;14932-4114;17 -1 30 -1 32 -1 14 -1 8 -1 7 -1 14 -1 31 -2
662;14932-4114;14 -1 31 -1 41 -2
663;14932-4114;14 -2
664;14932-4114;14 -2
665;14932-4114;41 -2
666;14932-4114;41 -2
668;15016-4433;14 -1 41 -1 41 -1 41 -1 43 -1 41 -1 41 -2
669;15016-4433;44 -1 44 -1 44 -1 44 -1 44 -1 44 -1 14 -1 43 -1 44 -1 44 -1 31 -1 31 -2
670;15016-4433;14 -1 41 -1 41 -1 41 -1 41 -1 43 -1 44 -1 43 -1 44 -1 44 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 2 -2
671;15016-4433;14 -1 2 -1 46 -1 1 -1 2 -2
672;15016-4433;14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 2 -1 31 -2
673;15016-4433;41 -2
674;15016-4433;41 -2
675;15016-4433;41 -2
676;15016-4433;14 -1 41 -2
677;15016-4433;41 -1 41 -1 41 -1 41 -1 41 -2
678;15016-4433;14 -1 2 -1 31 -2
679;15016-4433;14 -1 14 -1 31 -2
680;15016-4433;41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -2
681;15016-4433;2 -1 1 -1 46 -1 2 -2
1034;16014-5799;14 -1 45 -1 14 -2
1035;16014-5799;14 -1 14 -1 14 -2
1036;16014-5799;41 -2
1037;16014-5799;41 -2
1038;16014-5799;41 -2
1039;16014-5799;14 -1 2 -1 14 -1 3 -1 2 -1 14 -1 41 -2
1040;16014-5799;32 -2
1041;16014-5799;14 -1 3 -1 2 -1 14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 2 -1 14 -2
1042;16014-5799;42 -1 14 -1 45 -1 14 -1 32 -1 31 -1 48 -1 14 -1 32 -1 31 -1 30 -1 32 -1 31 -1 30 -2
1043;16014-5799;14 -2
1044;16014-5799;14 -1 41 -2
1045;16014-5799;14 -1 3 -1 2 -1 3 -1 2 -1 3 -1 2 -1 3 -1 14 -1 41 -2
1046;16014-5799;14 -1 3 -1 2 -1 3 -1 14 -1 41 -2
1047;16014-5799;41 -2
1048;16014-5799;14 -1 48 -1 29 -1 48 -2
1049;16014-5799;14 -1 14 -1 49 -1 48 -1 29 -1 14 -2
1050;16014-5799;14 -1 2 -1 14 -1 41 -2
1051;16014-5799;14 -1 3 -1 14 -1 41 -1 41 -2
1052;16014-5799;41 -1 41 -2
1053;16014-5799;41 -2
1054;16014-5799;41 -2
1055;16014-5799;14 -1 49 -1 48 -1 29 -1 14 -1 32 -1 14 -1 3 -1 2 -1 3 -2
1056;16014-5799;14 -2
1057;16014-5799;14 -1 3 -2
