1;10461-4428;14 -2
2;10461-4428;14 -2
3;10461-4428;41 -1 31 -1 31 -1 30 -2
4;10461-4428;41 -2
5;10461-4428;41 -2
6;10461-4428;31 -1 30 -1 48 -1 30 -1 30 -1 31 -2
7;10461-4428;30 -1 48 -2
8;10461-4428;48 -1 48 -1 30 -1 31 -1 48 -1 30 -2
9;10461-4428;30 -1 30 -2
10;10461-4428;14 -2
11;10461-4428;14 -1 31 -1 30 -1 16 -1 31 -1 30 -1 30 -1 30 -2
12;10461-4428;14 -1 14 -2
13;10461-4428;41 -1 41 -2
14;10461-4428;14 -2
15;10461-4428;14 -2
16;10461-4428;41 -2
17;10461-4428;31 -2
18;10461-4428;14 -2
19;10461-4428;14 -1 31 -1 41 -1 41 -2
20;10461-4428;31 -1 30 -1 31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 41 -2
21;10461-4428;41 -2
22;10461-4428;31 -1 30 -1 30 -1 30 -1 30 -1 30 -2
23;10461-4428;41 -2
24;10461-4428;41 -2
25;10461-4428;31 -1 41 -1 41 -1 31 -2
26;10461-4428;30 -1 31 -1 30 -1 30 -1 30 -1 16 -1 31 -1 30 -2
27;10461-4428;28 -1 30 -1 31 -1 30 -1 30 -1 30 -1 30 -1 30 -1 30 -1 14 -2
28;10461-4428;14 -1 31 -1 31 -2
29;10461-4428;14 -2
30;10461-4428;14 -1 31 -1 30 -1 41 -2
31;10461-4428;14 -1 41 -1 41 -1 31 -1 31 -2
32;10461-4428;14 -1 41 -1 31 -1 31 -2
33;10461-4428;14 -1 31 -2
34;10461-4428;14 -1 41 -2
35;10461-4428;14 -2
36;10461-4428;14 -1 41 -2
37;10461-4428;41 -2
38;10461-4428;14 -1 31 -2
39;10461-4428;14 -1 31 -2
40;10461-4428;41 -2
41;10461-4428;14 -1 41 -2
42;10461-4428;41 -2
43;10461-4428;14 -1 31 -2
44;10461-4428;17 -1 31 -2
45;10461-4428;31 -1 14 -2
46;10461-4428;14 -1 31 -2
47;10461-4428;14 -1 31 -2
48;10461-4428;14 -1 31 -2
49;10461-4428;14 -1 31 -2
50;10461-4428;14 -1 41 -2
51;10461-4428;14 -1 41 -2
52;10461-4428;14 -1 41 -1 41 -2
53;10461-4428;41 -2
54;10461-4428;41 -1 41 -1 41 -1 38 -2
55;10461-4428;31 -2
56;10461-4428;41 -2
57;10461-4428;31 -2
58;10461-4428;32 -1 14 -1 14 -1 31 -2
59;10461-4428;16 -1 31 -1 30 -2
60;10461-4428;32 -1 31 -1 14 -2
61;10461-4428;14 -1 41 -2
62;10461-4428;38 -1 33 -2
63;10461-4428;34 -1 36 -1 37 -2
64;10461-4428;38 -1 33 -2
65;10461-4428;34 -1 36 -1 37 -1 38 -1 14 -1 14 -1 31 -1 30 -1 30 -1 30 -2
66;10461-4428;14 -1 38 -1 37 -2
67;10461-4428;14 -1 31 -1 30 -1 14 -2
68;10461-4428;14 -2
69;10461-4428;14 -1 31 -1 30 -2
70;10461-4428;14 -1 31 -1 30 -2
71;10461-4428;14 -2
72;10461-4428;14 -1 14 -1 41 -2
73;10461-4428;14 -1 2 -2
74;10461-4428;41 -1 41 -1 31 -1 41 -2
75;10461-4428;14 -2
76;10461-4428;2 -2
77;10461-4428;41 -2
78;10461-4428;41 -1 2 -2
79;10461-4428;31 -2
80;10461-4428;14 -1 31 -2
81;10461-4428;14 -1 31 -2
82;10461-4428;14 -2
83;10461-4428;14 -1 31 -1 30 -2
84;10461-4428;41 -1 7 -1 5 -1 5 -2
85;10461-4428;14 -1 2 -2
86;10461-4428;1 -1 46 -1 2 -1 14 -2
87;10461-4428;14 -2
88;10461-4428;14 -2
89;10461-4428;14 -1 2 -2
90;10461-4428;14 -1 11 -1 41 -2
91;10461-4428;11 -2
92;10461-4428;14 -1 11 -1 11 -1 9 -1 48 -1 14 -2
93;10461-4428;14 -1 31 -2
94;10461-4428;14 -1 14 -1 41 -2
95;10461-4428;31 -1 41 -1 41 -1 41 -1 41 -2
96;10461-4428;41 -2
97;10461-4428;41 -2
98;10461-4428;41 -2
99;10461-4428;14 -1 41 -2
100;10461-4428;41 -2
101;10461-4428;41 -1 41 -2
102;10461-4428;41 -2
103;10461-4428;41 -2
104;10461-4428;41 -1 41 -2
105;10461-4428;41 -2
106;10461-4428;38 -1 33 -2
107;10461-4428;14 -2
108;10461-4428;31 -2
109;10461-4428;17 -1 31 -2
110;10461-4428;14 -1 31 -2
111;10461-4428;14 -2
112;10461-4428;11 -2
113;10461-4428;48 -1 48 -1 48 -1 48 -1 48 -2
114;10461-4428;48 -1 14 -2
115;10461-4428;38 -1 37 -2
116;10461-4428;14 -2
117;10461-4428;14 -1 31 -2
118;10461-4428;14 -1 14 -2
119;10461-4428;14 -1 14 -1 31 -2
120;10461-4428;2 -2
121;10461-4428;14 -2
122;10461-4428;14 -2
123;10461-4428;14 -1 38 -1 36 -2
124;10461-4428;34 -1 36 -1 37 -2
125;10461-4428;38 -2
126;10461-4428;14 -1 38 -1 11 -2
127;10461-4428;14 -2
128;10461-4428;14 -1 38 -1 38 -1 37 -2
129;10461-4428;14 -1 31 -2
130;10461-4428;14 -2
131;10461-4428;14 -1 41 -2
132;10461-4428;14 -1 41 -2
133;10461-4428;41 -2
134;10461-4428;41 -1 41 -1 41 -2
135;10461-4428;41 -1 41 -1 41 -2
136;10461-4428;41 -1 31 -2
137;10461-4428;14 -1 31 -2
138;10461-4428;38 -1 33 -2
139;10461-4428;36 -1 34 -1 38 -1 38 -1 38 -1 33 -2
140;10461-4428;36 -1 34 -1 38 -1 37 -1 38 -1 38 -1 14 -1 38 -1 37 -1 38 -1 37 -2
141;10461-4428;14 -1 39 -2
142;10461-4428;14 -1 31 -1 31 -2
143;10461-4428;14 -2
144;10461-4428;31 -2
145;10461-4428;16 -1 31 -1 30 -1 14 -1 31 -1 41 -1 41 -2
146;10461-4428;41 -1 31 -2
147;10461-4428;41 -2
148;10461-4428;31 -2
149;10461-4428;48 -2
150;10461-4428;14 -1 31 -1 30 -2
151;10461-4428;17 -1 30 -1 14 -1 7 -2
152;10461-4428;31 -1 30 -2
153;10461-4428;19 -1 30 -2
154;10461-4428;17 -1 30 -2
155;10461-4428;30 -1 14 -1 31 -1 30 -1 30 -2
156;10461-4428;46 -1 17 -1 30 -2
157;10461-4428;48 -2
158;10461-4428;17 -1 46 -1 30 -1 30 -2
159;10461-4428;31 -1 30 -2
160;10461-4428;14 -1 14 -1 31 -2
161;10461-4428;14 -2
162;10461-4428;14 -1 31 -2
163;10461-4428;14 -1 31 -1 30 -1 31 -2
164;10461-4428;14 -2
165;10461-4428;31 -2
166;10461-4428;17 -1 31 -2
167;10461-4428;32 -1 31 -1 14 -2
168;10461-4428;14 -2
169;10461-4428;31 -1 31 -2
170;10461-4428;14 -2
171;10461-4428;31 -2
172;10461-4428;30 -2
173;10461-4428;14 -2
174;10461-4428;14 -2
175;10461-4428;14 -2
176;10461-4428;14 -2
177;10461-4428;14 -2
258;10546-4428;14 -1 31 -1 31 -1 41 -1 41 -2
259;10546-4428;31 -2
260;10546-4428;30 -1 30 -2
261;10546-4428;16 -1 31 -1 48 -1 30 -1 30 -1 30 -2
262;10546-4428;14 -1 41 -1 31 -1 31 -1 32 -2
263;10546-4428;14 -1 31 -1 30 -1 41 -2
264;10546-4428;41 -1 41 -2
265;10546-4428;41 -1 31 -1 14 -2
266;10546-4428;14 -2
267;10546-4428;14 -1 31 -1 41 -2
268;10546-4428;41 -2
269;10546-4428;41 -2
